SERVICE DESCRIPTION,SERVICE CHARGE CODE,Gross Charge,M'caid  CPT,M'care  CPT,W'Comp  Cpt,Other  CPT
BENZODIAZEPINES QUAL,4309325,$37.00,80101,G0431,80101,80101
BENZONATATE 100MG,4401604,$6.00,,A9270,,
BENZONATATE 200MG CA,4401596,$8.00,,A9270,,
BENZTROPINE 0.5MG TA,4400734,$6.00,,A9270,,
BENZTROPINE 1MG TAB,4401572,$6.00,,A9270,,
BENZTROPINE 2MG TAB,4400238,$6.00,,A9270,,
"BETA HCG, SERUM QUAL",4301139,$80.85,84703,84703,84703,84703
"BETA HCG, SERUM QUAN",4301141,$151.20,84702,84702,84702,84702
BETA HYDROX,4309511,$111.00,82010,82010,82010,82010
BETA LACTAMASE EXT,4309362,$102.00,87185,87185,87185,87185
BETA-2 MICROGLOBULIN,4306039,$133.35,82232,82232,82232,82232
BETAMET/CLOTRIMAZ CR,4500925,$333.75,,A9270,,
BETAMETHASONE 0.05%,4402106,$422.50,,A9270,,
BETAMETHASONE VALERA,4400736,$24.25,,A9270,,
BETHANECHOL 25MG,4401676,$7.00,,A9270,,
BETHANECOL 10MG TAB,4402044,$8.00,,A9270,,
BETOPTIC OPHTH SUSP,4400738,$95.75,,A9270,,
BIAXIN 500MG TAB,4400739,$39.25,,A9270,,
BIAXIN XL 500MG,4400743,$24.00,,A9270,,
BICILLIN C-R,4402295,$329.10,J0561,J0561,J0561,J0561
BICILLIN CR 1.2MU,4400197,$169.00,J0561,J0561,J0561,J0561
BICILLIN CR 600MU,4400198,$79.00,J0561,J0561,J0561,J0561
BICILLIN LA 1.2MMU,4400199,$57.52,J0561,J0561,J0561,J0561
BICILLIN LA 2.4MMU,4400200,$433.00,J0561,J0561,J0561,J0561
BICILLIN LA 600MU,4400201,$122.00,J0561,J0561,J0561,J0561
BICITRA,4400744,$8.00,,A9270,,
BI-LAYER MATRIX,4005848,"$7,332.50",Q4104,Q4104,Q4104,Q4104
BILIRUBIN RE-CHECK,3601022,$45.00,88720,88720,88720,88720
BILIRUBIN TOT TRANS,3601021,$93.00,88720,88720,88720,88720
"BILIRUBIN, DIRECT",4301143,$65.50,82248,82248,82248,82248
"BILIRUBIN, TOTAL",4301151,$84.00,82247,82247,82247,82247
BIO INTFERENCE SCREW,4002200,$426.00,C1713,C1713,C1713,C1713
BIO PSHLCK W/MTL TIP,4001168,"$1,425.00",C1713,C1713,C1713,C1713
BIO PUSHLOCK 3.5MM,4005073,"$1,330.00",C1713,C1713,C1713,C1713
BIO RCI,4002187,$491.40,C1763,C1763,C1763,C1763
BIO TENODESIS SCREW,4002202,$998.20,C1713,C1713,C1713,C1713
BIO-COMPOSITE IMPLNT,4006075,"$6,090.00",C1762,C1762,C1762,C1762
BIO-CORKSCREW,4002314,"$1,033.20",,C1713,,
BIOIMPLANT,4002239,"$9,432.50",C1763,C1763,C1763,C1763
BIOMET REV HIP,4006727,"$28,840.00",C1776,C1776,C1776,C1776
BIOMET REV SHOULDER,4006661,"$44,625.00",C1776,C1776,C1776,C1776
BIOMET TSA REVISION,4006804,"$29,750.00",C1776,C1776,C1776,C1776
"BIOPSY, NEEDLE",3110305,$409.20,SURG,SURG,SURG,SURG
BIORPTR 2.3 PK ST AN,4001161,$913.50,C1713,C1713,C1713,C1713
BIOTENDONESIS SCREW,4001182,"$1,225.00",C1713,C1713,C1713,C1713
BIPAP/CPAP CONTINUOU,4532814,$499.65,94660,94660,94660,94660
BIPAP/CPAP INITIAL,4538031,$499.65,94660,94660,94660,94660
BIPOLAR CUP,4000499,"$4,597.00",C1776,C1776,C1776,C1776
BISACODYL EC 5MG TAB,4400976,$6.00,,A9270,,
BISACODYL SUPP,4400745,$25.00,,A9270,,
BISMUTH SUBSAL 262MG,4401122,$6.00,,A9270,,
BISOPRO/HCTZ 2.5/6.5,4401741,$6.00,,A9270,,
BISOPRO/HCTZ 5/6.25M,4401740,$6.00,,A9270,,
BISOPROLOL 5MG TAB,4400864,$9.00,,A9270,,
BISOPROLOL FUM 10MG,4401418,$6.00,,A9270,,
BISOPROLOL/HCTZ 10/6,4401742,$6.00,,A9270,,
BK VIRUS PCR,4308832,$994.00,87799,87799,87799,87799
BLADDER CHEMO,3112530,$271.70,51720,51720,51720,51720
BLADDER TUMOR ANTIGE,4309178,$135.00,86294,86294,86294,86294
BLASTOMYCOSIS ANTIBO,4308120,$71.00,86612,86612,86612,86612
BLD ADM > 4 HOURS,4306052,$773.30,36430,36430,36430,36430
BLD ADM. 2-3 HOURS,4306050,$663.30,36430,36430,36430,36430
BLD ADMIN 1-2 HOURS,4306049,$608.30,36430,36430,36430,36430
BLD ADMIN UP TO 1 H,4306048,$579.70,36430,36430,36430,36430
BLD. ADM. 3-4 HOURS,4306051,$718.30,36430,36430,36430,36430
"BLEEDING TIME, IVY",4302704,$82.95,85002,85002,85002,85002
BLOCK CORTICAL 9MM,4005769,"$3,398.00",C1776,C1776,C1776,C1776
BLOCK: LT KNEE(ADD),4158261,"$1,630.14",64450,64450,64450,64450
BLOCK: SI JOINT (L5),4158275,"$1,716.54",64493,64493,64493,64493
BLOCK:LT KNEE(SNGL),4158260,"$1,630.14",64450,64450,64450,64450
BLOCK:RT KNEE(ADD),4158258,"$1,630.14",64450,64450,64450,64450
BLOCK:RT KNEE(SING),4158257,"$1,630.14",64450,64450,64450,64450
BLOCK:SI JOINT (S1),4158276,"$1,630.14",64450,64450,64450,64450
BLOCK:SI JOINT (S2),4158277,"$1,630.14",64450,64450,64450,64450
BLOOD ADMINISTRATION,3091221,$579.70,36430,36430,36430,36430
BLOOD ADMINISTRATION,4106213,$579.70,36430,36430,36430,36430
BLOOD ADMINISTRATION,4138045,$579.70,36430,36430,36430,36430
BLOOD ADMINISTRATION,4606009,$579.70,36430,36430,36430,36430
BLOOD ADMINISTRATION,3101221,$579.70,36430,36430,36430,36430
BLOOD ADMINISTRATION,400652,$93.75,36430,36430,36430,36430
BLOOD ADMINISTRATION,4000652,$579.70,36430,36430,36430,36430
BLOOD ADMINISTRATION,4090652,$579.70,36430,36430,36430,36430
BLOOD ADMINISTRATION,4301111,$902.70,36430,36430,36430,36430
BLOOD BANK PHYS RVW,4309395,$173.25,86077,86077,86077,86077
BLOOD DIRECTED DONA,4303814,$600.74,P9016,P9016,P9016,P9016
BLOOD DRAW FEE,4306856,$29.70,99001,99001,99001,99001
BLOOD PATCH W/O FL,4158204,"$1,568.61",62273,62273,62273,62273
BLOOD SCREEN (ETO,4307090,$56.10,82055,82055,82055,82055
BLOOD SMEAR,4309280,$58.30,85060,85060,85060,85060
"BLOOD TYPE, RH",4303022,$42.00,86901,86901,86901,86901
"BLOOD, AUTOLOGOUS DO",4303812,$381.15,86890,86890,86890,86890
BLOXIVERZ 1MG/ML,4402236,$167.50,J2710,J2710,J2710,J2710
BLS EMERGENT,3092002,$692.00,A0429,A0429,A0429,A0429
BLS NON EMERGENT,3092007,$437.00,A0428,A0428,A0428,A0428
BMC PROCEDURE,4158254,"$3,202.00",0263T,0263T,0263T,0263T
BODY POS GOAL STATUS,467097,$1.00,,G8982,,
BOLT,4002369,$33.60,C1713,C1713,C1713,C1713
BOLT - SCHANTZ SCREW,4002363,$760.20,C1713,C1713,C1713,C1713
BOLT EYE,4002358,$322.00,C1713,C1713,C1713,C1713
"BOLT, WIRE SLOTTED",4002370,$144.20,C1713,C1713,C1713,C1713
BON SCR SEL TAP 6.5M,4000443,$485.80,C1713,C1713,C1713,C1713
BONE BIOPSY (DEEP),4158221,"$2,321.55",20225,20225,20225,20225
BONE CEMENT- TOBRA,4000884,$866.25,C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4000353,"$1,050.00",C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4001074,$416.00,C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4002158,$350.00,C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4430016,"$1,037.00",C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4005317,$385.00,C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4005345,"$2,800.00",C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4005405,$442.89,C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4005643,"$5,390.00",C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4005824,"$7,812.00",C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4005895,"$5,810.00",C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4005896,"$6,900.00",C1763,C1763,C1763,C1763
BONE CEMENT/FILLER,4006713,$286.00,C1763,C1763,C1763,C1763
BONE CEMENT-SIMPLEX,4000883,$200.00,C1763,C1763,C1763,C1763
BONE CUBES 15CC,4000671,"$1,149.40",C1762,C1762,C1762,C1762
BONE GRAFT,4000638,"$12,600.00",,C1763,,
BONE GRAFT,4002233,"$7,606.20",,C1762,,
BONE GRAFT,4002388,"$4,200.00",C1763,C1763,C1763,C1763
BONE GRAFT,4002403,"$6,575.00",C1763,C1763,C1763,C1763
BONE GRAFT,4002491,"$18,928.00",C1762,C1762,C1762,C1762
BONE GRAFT,4430001,"$3,300.00",,C1762,,
BONE GRAFT,4010342,"$17,150.00",C1762,C1762,C1762,C1762
BONE GRAFT,4006495,"$6,632.50",C1763,C1763,C1763,C1763
BONE GRAFT - JACKET,4002717,"$11,970.00",Q4113,Q4113,Q4113,Q4113
BONE GRAFT - JACKET,4005425,"$3,815.00",Q4113,Q4113,Q4113,Q4113
BONE GRAFT - JACKET,4005426,"$6,300.00",Q4113,Q4113,Q4113,Q4113
BONE GRAFT - JACKET,4006685,"$8,200.00",Q4113,Q4113,Q4113,Q4113
BONE GRAFT - SUBST,4002293,"$15,737.40",,C1763,,
BONE GRAFT - SUBST,4005243,"$9,000.00",C1762,C1762,C1762,C1762
BONE GRAFT - SUBST,4005328,"$1,771.00",,C9359,,
BONE GRAFT - SUBST,4005614,"$2,187.50",,C1763,,
BONE GRAFT - SUBST,4005672,"$4,564.00",,C1763,,
BONE GRAFT - SUBST,4005686,"$13,440.00",,C1763,,
BONE GRAFT - SUBST,4005792,"$3,430.00",C1763,C1763,C1763,C1763
BONE GRAFT - SUBST,4005900,"$6,125.00",,C1763,,
BONE GRAFT - SUBST,4005836,"$4,727.00",,C1763,,
BONE GRAFT - SUBST,4005892,"$16,585.00",,C1763,,
BONE GRAFT - SUBST,4010351,"$11,559.00",,C1763,,
BONE GRAFT - SUBST,4006076,"$2,082.50",C1763,C1763,C1763,C1763
BONE GRAFT - SUBST,4006746,"$3,510.50",C1763,C1763,C1763,C1763
BONE GRAFT - SUBST,4006811,"$9,887.47",C1763,C1763,C1763,C1763
BONE GRAFT - SUBST,4006816,"$24,913.00",C1763,C1763,C1763,C1763
BONE GRAFT MEDM KIT,4002077,"$17,125.50",C1762,C1762,C1762,C1762
BONE GRAFT-MAGNIFUSE,4005834,"$3,115.00",C1763,C1763,C1763,C1763
BONE GRAFT-MAGNIFUSE,4006001,"$8,500.00",C1763,C1763,C1763,C1763
BONE GRAFT-MAGNIFUSE,4010299,"$4,830.00",,C1763,,
BONE GRAFT-MAGNIFUSE,4010352,"$4,165.00",,C1763,,
BONE GRAFT-MAGNIFUSE,4010372,"$12,880.00",C1763,C1763,C1763,C1763
BONE GRAFT-MAGNIFUSE,4006163,"$6,772.50",C1763,C1763,C1763,C1763
BONE MARROW,4309608,$519.78,85097,85097,85097,85097
BONE MARROW AS W BX,4309360,"$2,018.87",38221,38221,38221,38221
BONE MARROW ASP WOBX,4309359,$320.00,38220,38220,38220,38220
BONE MARROW INTER,4309618,$970.00,85097,85097,85097,85097
BONE MARROW SMR INT,4309357,$650.47,85097,85097,85097,85097
BONE PLUG,4005088,$367.50,C1763,C1763,C1763,C1763
BONE PLUG,4005157,$200.25,C1763,C1763,C1763,C1763
BONE PLUG,4001104,$590.80,C1763,C1763,C1763,C1763
BONE PLUG,4005481,"$1,571.50",C1763,C1763,C1763,C1763
BONE PLUG,4006150,$290.00,C1763,C1763,C1763,C1763
BONE PLUG,4006151,$363.00,C1763,C1763,C1763,C1763
BONE PLUG,4006177,$428.75,C1763,C1763,C1763,C1763
BONE PLUG,4006536,$122.50,C1763,C1763,C1763,C1763
BONE PLUG,4006641,$140.00,C1763,C1763,C1763,C1763
BONE PLUG,4006780,$175.00,,C1763,,
BONE SCR SEL TAP,4000442,$660.80,C1713,C1713,C1713,C1713
BONE SCR SEL TAP 6.5,4000441,$391.00,C1713,C1713,C1713,C1713
BONE SCREW 6.5X15MM,4001014,$355.55,C1713,C1713,C1713,C1713
BONE TUNNEL PLUG,4005400,$72.00,C1763,C1763,C1763,C1763
BONE TUNNEL PLUG,4006702,$24.50,C1763,C1763,C1763,C1763
BONE TUNNEL PLUG,4006703,$61.25,C1763,C1763,C1763,C1763
BONE TUNNEL PLUG,4006745,$216.65,C1763,C1763,C1763,C1763
BONIVA 150MG TAB,4402030,$407.12,,A9270,,
BOOT TRACTION UNIVER,4421085,$41.85,A9900,A9900,A9900,A9900
BORDETELLA DFA,4309368,$46.81,87265,87265,87265,87265
BORDETELLA DNA PCR,4309367,$362.00,87798,87798,87798,87798
BORDETELLA PERTUSSIS,4301146,$56.70,86615,86615,86615,86615
BOTOX,4400022,$20.00,J0585,J0585,J0585,J0585
BRACE IMPLANT SYSTEM,4006632,"$4,126.50",C1889,C1889,C1889,C1889
BRACE IMPLANT SYSTEM,4006704,"$3,762.50",C1889,C1889,C1889,C1889
"BRACE,HINGED KNEE UV",4425015,$317.00,L1810,L1810,L1810,L1810
BREATH ALCOHOL TESTI,4308161,$59.85,82075,82075,82075,82075
BREVITAL 500MG,4401992,$220.00,,A9270,,
BRIDION 100MG/ML,4402297,$182.14,,A9270,,
BRIMODIDINE OPTH SO1,4401543,$130.50,,A9270,,
BRUCELLA AB IGG,4309349,$146.00,86622,86622,86622,86622
B-TYPE NATRIURETIC P,4308891,$290.00,83880,83880,83880,83880
BUFFERIN,4400751,$6.00,,A9270,,
BUMEX 1MG TAB,4400206,$12.50,,A9270,,
BUPIVACAINE PRESFREE,4402287,$6.00,,A9270,,
BUPRENEX 0.3MG/1ML,4402035,$58.25,J0592,J0592,J0592,J0592
BUPROPION 100MG,4401719,$7.75,,A9270,,
BUPROPION SR 100MG,4401720,$6.75,,A9270,,
BUPROPION SR 150MG,4401721,$7.75,,A9270,,
BUSPAR 10MG TAB,4400754,$6.00,,A9270,,
BUSPAR 5MG TAB,4400753,$6.00,,A9270,,
BUTALBITAL/ASA/CAFFE,4400756,$10.00,,A9270,,
BUTORPHANOL 1MG/ML,4400024,$27.00,J0595,J0595,J0595,J0595
BUTORPHANOL 2MG/ML,4400023,$22.00,J0595,J0595,J0595,J0595
BUTTON - BICEP,4005311,"$1,032.50",C1713,C1713,C1713,C1713
BUTTON - DOG BONE,4005612,"$1,225.00",C1713,C1713,C1713,C1713
BUTTON - DOG BONE,4006705,"$1,522.50",C1713,C1713,C1713,C1713
BUTTON - ENDOBUTTON,4000694,$787.50,C1713,C1713,C1713,C1713
BUTTON - ENDOBUTTON,4001025,$481.60,C1713,C1713,C1713,C1713
BUTTON - ENDOBUTTON,4001026,$816.20,C1713,C1713,C1713,C1713
BUTTON - ENDOBUTTON,4002066,$795.20,C1713,C1713,C1713,C1713
BUTTON - ENDOBUTTON,4002380,"$1,072.40",C1713,C1713,C1713,C1713
BUTTON - ENDOBUTTON,4006496,"$1,104.00",C1713,C1713,C1713,C1713
BUTTON - EXTENDO,4005326,$420.00,C1713,C1713,C1713,C1713
BUTTON - PROXIMAL,4005883,"$1,522.50",C1713,C1713,C1713,C1713
BUTTON - RETROLOOP,4002085,$823.20,C1713,C1713,C1713,C1713
BUTTON - RETROLOOP,4005417,"$1,067.50",,C1713,,
BUTTON - TIGHTROPE,4005976,$787.50,,C1713,,
BUTTRESS L-PLATE,4005777,"$1,078.00",C1713,C1713,C1713,C1713
BX EACH ADDL LESION,4607001,$179.00,SURG,SURG,SURG,SURG
BX SKIN LESION,4607000,$179.00,SURG,SURG,SURG,SURG
BYETTA 2.4ML SYRINGE,4401490,$53.50,,A9270,,
BYETTA 5MCG PEN,4500939,"$1,250.00",,A9270,,
BYSTOLIC 10MG TAB,4402057,$19.00,,A9270,,
BYSTOLIC 5MG,4402300,$10.56,,A9270,,
C DIFF BY PCR/NAA,4309470,$171.15,87493,87493,87493,87493
C DIFFICILE ANTIBODY,4305055,$139.00,87230,87230,87230,87230
C SECTION,4132022,"$5,438.00",SURG,SURG,SURG,SURG
C/D NUT SPACERS,4005696,$294.00,C1713,C1713,C1713,C1713
C/T-DISCOGRAM INJ-EA,4158215,"$1,902.61",62291,62291,62291,62291
C1 INHIBITOR FUNCTIO,4301096,$94.50,86161,86161,86161,86161
C1 INHIBITOR PROTEIN,4301095,$51.60,86160,86160,86160,86160
C3 COMPLEMENT,4308128,$51.60,86160,86160,86160,86160
C3 NEPHRITIC FACTOR,4309366,$93.19,86161,86161,86161,86161
C4 COMPLEMENT,4308131,$51.60,86160,86160,86160,86160
C7 SERUM,4308134,$74.00,86160,86160,86160,86160
CA 125,4308138,$135.45,86304,86304,86304,86304
CA 15-3,4308136,$171.00,86300,86300,86300,86300
CA 19-9,4308137,$170.00,86301,86301,86301,86301
CA 27.29,4301215,$162.75,86300,86300,86300,86300
CABLE/SLEEVE SET,4005144,"$1,110.00",,C1776,,
CABLE/SLEEVE SET,4001107,$647.50,,C1776,,
CABLE/SLEEVE SET,4001108,$954.80,,C1776,,
CABLE/SLEEVE SET,4002443,"$2,779.00",,C1776,,
CABLE/SLEEVE SET,4002493,"$1,950.00",,C1776,,
CABLE/SLEEVE SET,4006700,"$1,120.00",,C1776,,
CAD-DIAGNOSTIC (MAMO,4241076,$49.50,76082,76082,76082,76082
CADMIUM - BLOOD,4309513,$11.00,82300,82300,82300,82300
CADMIUM - URINE,4309512,$55.84,82300,82300,82300,82300
CADMIUM URINE,4308707,$91.00,82300,82300,82300,82300
CAD-SCREENING (MAMOG,4241077,$49.50,76083,76083,76083,76083
CAFFEINE,4308141,$117.60,80155,80155,80155,80155
CAL SCREW 9MM X 25MM,4000508,"$1,188.60",,,,
CALAXO SCR 8MMX30MMS,4000827,"$1,117.20",C1713,C1713,C1713,C1713
CALAXO SCREW,4000510,"$1,058.40",C1713,C1713,C1713,C1713
CALAXO SCREW,4000183,"$1,229.20",C1713,C1713,C1713,C1713
CALCANEAL PLATE,4002194,"$1,864.80",C1713,C1713,C1713,C1713
CALCITONIN,4306090,$215.00,82308,82308,82308,82308
CALCIUM CHLORIDE,4400210,$43.25,,A9270,,
CALCIUM GLUCONATE,4400211,$20.00,J0610,J0610,J0610,J0610
"CALCIUM, 24 HR URINE",4308746,$57.00,82340,82340,82340,82340
"CALCIUM, IONIZED",4308143,$97.65,82330,82330,82330,82330
"CALCIUM, SERUM",4301153,$59.85,82310,82310,82310,82310
"CALCIUM, SERUM",4301285,$30.80,82310,82310,82310,82310
"CALCIUM,URINE RANDOM",4308747,$45.15,82340,82340,82340,82340
CALDOLOR 800MG/8ML,4408091,$30.00,J1741,J1741,J1741,J1741
CALIBRATED REAM ROD,4002148,$324.00,C1713,C1713,C1713,C1713
CALPROTECTIN,4309447,$84.36,83993,83993,83993,83993
CAMPRAL 333MG TABLET,4401622,$6.00,,A9270,,
CAN SCREW,4000118,"$1,058.40",C1713,C1713,C1713,C1713
CAN SCREW TH 16M 75,4000119,$982.80,C1713,C1713,C1713,C1713
CANAGLIFLOZIN 300MG,4408109,$58.08,,A9270,,
CANC BONE CUBES 15CC,4000813,$725.00,C1776,C1776,C1776,C1776
CANC BONE CUBES 30CC,4000814,$937.50,C1776,C1776,C1776,C1776
CANC BONE SCREW,4000407,$446.60,C1713,C1713,C1713,C1713
CANC BONE SCREW,4005529,"$1,336.23",C1713,C1713,C1713,C1713
C-ANCA TITER,4301219,$57.77,83520,83520,83520,83520
CANCELLOUS BONE,4000505,"$1,486.80",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4005065,"$1,575.00",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4000672,"$1,312.50",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4002068,"$1,827.81",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4002195,"$1,365.00",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4002306,"$3,141.60",,C1762,,
CANCELLOUS BONE,4002421,"$2,350.60",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4002438,"$2,100.00",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4005782,$650.00,C1762,C1762,C1762,C1762
CANCELLOUS BONE,4005800,"$2,357.00",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006144,$752.50,C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006145,$875.00,C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006146,$962.50,C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006147,"$1,050.00",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006148,"$1,225.00",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006149,"$1,662.50",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006526,"$1,925.00",C1762,C1762,C1762,C1762
CANCELLOUS BONE,4006670,$441.00,C1762,C1762,C1762,C1762
CANCELLOUS BONE CHIP,4005757,"$2,356.97",C1762,C1762,C1762,C1762
CANCELLOUS SCREW,4005779,$140.00,C1713,C1713,C1713,C1713
CANDIDA ANTIBODY,4306652,$61.00,86628,86628,86628,86628
CANNUL SCREW,4005342,"$1,131.20",C1713,C1713,C1713,C1713
CANNULA,4000316,$168.00,C1713,C1713,C1713,C1713
CANNULA - PUSHLOCK,4002053,$63.00,,,,
CANNULA - TWIST-IN,4000317,$62.50,,,,
CANNULA 7MM X 76MM,4002024,$34.50,,,,
CANNULATED SCREW,4000117,$982.80,C1713,C1713,C1713,C1713
CANNULATED SCREW,4002087,$736.40,C1713,C1713,C1713,C1713
CANNULATED SCREW 4M,4000124,$787.50,C1713,C1713,C1713,C1713
CAP HIP RESURFACING,4002782,"$26,250.00",C1776,C1776,C1776,C1776
CAPILLARY BLOOD STIC,4307185,$14.00,36416,36416,36416,36416
CAPTOPRIL 12.5MG TAB,4400762,$6.00,,A9270,,
CAPTOPRIL 25MG TAB,4400763,$6.00,,A9270,,
CARBAMAZ 200MG TAB,4400761,$6.25,,A9270,,
CARBAMAZE 100MG CHEW,4401956,$6.00,,A9270,,
CARBAMAZEPINE 200MG/,4400767,$6.00,,A9270,,
CARBAMIDE PEROX OTIC,4430003,$10.00,,A9270,,
CARBATROL 300MG CAP,4401780,$6.00,,A9270,,
CARBOFED DM DROPS,4401927,$96.00,,A9270,,
CARBON DIOXIDE,4301167,$45.15,82374,82374,82374,82374
CARBON DIOXIDE,4301300,$27.50,82374,82374,82374,82374
CARBON FIBER ROD 350,4002096,$765.00,C1713,C1713,C1713,C1713
CARBOXY HGB QT,4308148,$124.00,82375,82375,82375,82375
CARCINOEMBRYONIC AG.,4308151,$173.25,82378,82378,82378,82378
CARD STRESSTEST ONLY,4533570,$438.90,93017,93017,93017,93017
CARDEC DM DROPS,4400769,$6.00,,A9270,,
CARDEC DM ELIX,4400768,$7.00,,A9270,,
CARDEN 25MG AMPULES,4500942,$9.75,,A9280,,
CARDENE SR 30MG CAP,4400770,$6.00,,A9270,,
CARDIAC EXERCISE NON,4667613,$90.20,93797,93797,93797,93797
CARDIAC MONITOR EXER,4669608,$94.60,93798,93798,93798,93798
CARDIAC STRESS TEST,4483569,$190.30,93018,93018,93018,93018
CARDIAC STRESS TEST,4533568,$438.90,93017,93017,93017,93017
CARDIOTEK RX TABS,4401456,$6.00,,A9270,,
CARDIOVERSION,4538032,"$1,245.00",92960,92960,92960,92960
CARDIZEM CD 240MG,4400774,$6.00,,A9270,,
CARDURA 8MG TAB,4400780,$6.75,,A9270,,
CARIMUNE 12G,4401886,$167.10,J1566,J1566,J1566,J1566
CARISOPRODOL 350MG T,4400781,$6.00,,A9270,,
CARNITINE PROFILE,4309204,$72.48,82379,82379,82379,82379
CAROTENE,4306100,$35.00,82380,82380,82380,82380
CAROTENE,4308153,$72.60,82380,82380,82380,82380
CARRIAGE VAR SCREW,4002765,"$1,827.00",C1713,C1713,C1713,C1713
CARRY D/C: 0% IMP,4657119,$1.00,,G8986,,
CARRY D/C: 100% IMP,4657125,$1.00,,G8986,,
CARRY D/C: 1-19% IMP,4657120,$1.00,,G8986,,
CARRY D/C:20-39% IMP,4657121,$1.00,,G8986,,
CARRY D/C:40-59% IMP,4657122,$1.00,,G8986,,
CARRY D/C:60-79% IMP,4657123,$1.00,,G8986,,
CARRY D/C:80-99% IMP,4657124,$1.00,,G8986,,
CARRY GOAL: 0% IMP,4657112,$1.00,,G8985,,
CARRY GOAL: 100% IMP,4657118,$1.00,,G8985,,
CARRY GOAL: 1-19%,4657113,$1.00,,G8985,,
CARRY GOAL: 20-39%,4657114,$1.00,,G8985,,
CARRY GOAL:40-59%,4657115,$1.00,,G8985,,
CARRY GOAL:60-79%,4657116,$1.00,,G8985,,
CARRY GOAL:80-99%,4657117,$1.00,,G8985,,
CARRY STATUS: 0%,4657105,$1.00,,G8984,,
CARRY STATUS: 100%,4657111,$1.00,,G8984,,
CARRY STATUS: 60-79%,4657109,$1.00,,G8984,,
CARRY STATUS: 80-99%,4657110,$1.00,,G8984,,
CARRY STATUS:1-19%,4657106,$1.00,,G8984,,
CARRY STATUS:20-39%,4657107,$1.00,,G8984,,
CARRY STATUS:40-59%,4657108,$1.00,,G8984,,
CASODEX 50MG TAB,4400783,$69.25,,A9270,,
CASPOFUNGIN 50MG INJ,4401325,"$1,688.50",J0637,J0637,J0637,J0637
CASPOFUNGIN 70MG INJ,4401326,"$1,688.50",J0637,J0637,J0637,J0637
CAST APP - SHORT ARM,4607081,$354.00,29075,29075,29075,29075
CAST APP- LONG ARM,4607080,$354.00,29065,29065,29065,29065
CAST APP-LONG LEG,4607063,$448.00,29355,29355,29355,29355
CAST APP-SHORT LEG,4607079,$354.00,29425,29425,29425,29425
CATAPRES-TTS-1,4400784,$276.00,,A9270,,
CATAPRES-TTS-2,4400786,$399.00,,A9270,,
CATAPRES-TTS-3,4400787,$644.50,,A9270,,
CATECHOLAMIN BL FRAC,4306024,$94.50,82384,82384,82384,82384
CATECHOLAMIN UR FRAC,4308155,$76.15,82384,82384,82384,82384
"CATECHOLAMINE, URINE",4308708,$169.40,82384,82384,82384,82384
CATH - DIALYSIS,4000919,"$1,450.00",C1752,C1752,C1752,C1752
CATH DIALYSIS 15X11,4000995,"$1,582.00",C1752,C1752,C1752,C1752
CATH DIALYSIS 15X24C,4005010,"$1,582.00",C1752,C1752,C1752,C1752
CATH DIALYSIS 15X28C,4005011,"$1,582.00",C1752,C1752,C1752,C1752
CATH DIALYSIS 15X32C,4005012,"$1,582.00",C1752,C1752,C1752,C1752
CATH DIALYSIS 15X55C,4005013,"$1,503.60",C1752,C1752,C1752,C1752
CATH DIALYSIS 23X40,4001033,"$1,803.20",C1752,C1752,C1752,C1752
CATH DIALYSIS 28X45,4001034,"$1,803.20",C1752,C1752,C1752,C1752
CATH DIALYSIS 55X72,4001032,"$1,604.40",C1752,C1752,C1752,C1752
CATH GROSHONG SL 8FR,4005139,"$1,550.85",C1751,C1751,C1751,C1751
CATH ISP PORT GRSHNG,4005141,"$1,610.00",C1751,C1751,C1751,C1751
CATH SUPRAPUBIC SET,4001054,$305.00,,,,
CATH- THERMO/EMBO,4001031,$77.50,,,,
CATHETER - DIALYSIS,4006817,"$2,968.00",C1881,C1881,C1881,C1881
"CATHETER, FOLEY 22FR",4420451,$756.00,,,,
"CATHETER, S/PUBIC #0",4420705,$184.00,C2627,C2627,C2627,C2627
