Description ,  Charge $   , Department 
CROSS MATCH 37 UNIT #12,$121 ,Laboratory
CROSS MATCH AHG UNIT #1,$117 ,Laboratory
CROSS MATCH AHG UNIT #2,$117 ,Laboratory
CROSS MATCH AHG UNIT #3,$117 ,Laboratory
CROSS MATCH AHG UNIT #4,$117 ,Laboratory
CROSS MATCH AHG UNIT #5,$117 ,Laboratory
CROSS MATCH AHG UNIT #6,$117 ,Laboratory
CROSS MATCH AHG UNIT #7,$117 ,Laboratory
CROSS MATCH AHG UNIT #8,$117 ,Laboratory
CROSS MATCH AHG,$117 ,Laboratory
CROSS MATCH AHG UNIT #10,$117 ,Laboratory
CROSS MATCH AHG UNIT #11,$117 ,Laboratory
CROSS MATCH AHG UNIT #12,$117 ,Laboratory
FRESH FROZEN PLASMA UNIT 2ND,$248 ,Laboratory
FRESH FROZEN PLASMA UNIT 3RD,$248 ,Laboratory
FRESH FROZEN PLASMA UNIT 4TH,$248 ,Laboratory
FRESH FROZEN PLASMA UNIT 5TH,$248 ,Laboratory
FRESH FROZEN PLASMA UNIT 6TH,$248 ,Laboratory
PLATELET PHERESIS UNIT #1,$33 ,Laboratory
PLATELET PHERESIS UNIT 2ND,$33 ,Laboratory
PLATELET PHERESIS UNIT 3RD,$33 ,Laboratory
PLATELET PHERESIS UNIT 4TH,$33 ,Laboratory
PLATELET PHERESIS UNIT 5TH,$33 ,Laboratory
PLATELET PHERESIS UNIT 6TH,$33 ,Laboratory
"PRE-RX RBCS W/CHEMICALS, EACH",$72 ,Laboratory
SHIGA TOXIN GN BROTH,$38 ,Laboratory
CYCLOSPORA,$38 ,Laboratory
"CULTURE,CERVIX FULL",$71 ,Laboratory
"CULTURE,CSF",$71 ,Laboratory
"CULTURE,SPUTUM",$91 ,Laboratory
CULTURE,$71 ,Laboratory
"CULTURE,EYE",$71 ,Laboratory
"CULTURE, OTHER",$72 ,Laboratory
"CULTURE,SPUTUM",$71 ,Laboratory
"CULTURE, THROAT FULL",$71 ,Laboratory
"CULTURE,WOUND",$71 ,Laboratory
"CULTURE, JOINT FLUID",$71 ,Laboratory
BODY FLUID CULTURE,$71 ,Laboratory
"CULTURE, MRSA SCREEN",$71 ,Laboratory
"CULTURE, AEROBIC AT QUEST LABS",$71 ,Laboratory
VRE SCREEN,$71 ,Laboratory
"CULTURE,THROAT BSS",$64 ,Laboratory
"CULTURE,THROAT RAPID",$64 ,Laboratory
"CULTURE,CLOTEST,H PYLORI",$64 ,Laboratory
"CULTURE,CERVIX BSS",$64 ,Laboratory
ANAEROBIC ID: 2ND ORG-BILL ONL,$77 ,Laboratory
ANAEROBIC ID: 3RD ORG-BILL ONL,$77 ,Laboratory
AEROBIC ID: 2ND ID,$79 ,Laboratory
AEROBIC ID: 3RD ID,$79 ,Laboratory
AEROBIC ID ONLY,$79 ,Laboratory
B. PERTUESSIS CULTURE,$81 ,Laboratory
"CULTURE,CLOTEST, H PYLORI",$81 ,Laboratory
"CULTURE, CX BSS",$81 ,Laboratory
"CULTURE, LEGIONELLA",$53 ,Laboratory
NEISSERIA GONORRHOEAE (GC) CX,$53 ,Laboratory
CDIFF CULTURE BY QUEST LABS,$53 ,Laboratory
MRSA SCREEN CULT,$72 ,Laboratory
BROTH ENRICHMENT,$53 ,Laboratory
FUNGAL CX MISC SOURCE,$48 ,Laboratory
CHLAMYDIA,$102 ,Laboratory
"CULTURE,IMMUNO EACH ANTISERUM",$18 ,Laboratory
FUNGAL IDENTIFICATION,$143 ,Laboratory
"SUSCEPTIBILITY, AEROBIC",$54 ,Laboratory
BETA LACTAMASE,$76 ,Laboratory
YEAST ID AND SUSCEPTABILITY,$486 ,Laboratory
ANTIFUNGAL SUSCEPTIBILTIY,$694 ,Laboratory
"AEROBIC SUSCEPTIBILITY,QUEST",$129 ,Laboratory
SENSI 2ND ORGANISM,$76 ,Laboratory
"CULTURE,WBC STAIN",$45 ,Laboratory
"CULTURE,GRAM STAIN",$45 ,Laboratory
ISOSPORA,$43 ,Laboratory
"CULTURE,KOH",$65 ,Laboratory
"CULTURE,WET MOUNT",$65 ,Laboratory
"CULTURE,FERNING",$65 ,Laboratory
"CULTURE,WBC WET",$74 ,Laboratory
CULTURE - PINWORM SCREEN,$36 ,Laboratory
TISSUE EXAM FOR ECTOPARASITES,$56 ,Laboratory
"HERPES,VARICELLA RAPID CULT",$180 ,Laboratory
VARICELLA CX,$180 ,Laboratory
"B. PARAPERTUSSIS, DFA",$50 ,Laboratory
HIV 1&2 4TH GEN CONFIRM QUEST,$120 ,Laboratory
SHIGA TOXIN CONC,$51 ,Laboratory
NOROVIRUS ANTIGEN,$396 ,Laboratory
"LEGIONELLA ANTIGEN,URIN,EIA",$231 ,Laboratory
CAMPYLOBACTER AG EIA,$135 ,Laboratory
"CHLAMYDIA TRACHOMATIS DNA, SDA",$97 ,Laboratory
"CHLANYDIA TRACHOMATIS RNA,TMA",$197 ,Laboratory
CHLAMYDIA TRACHOMATIS THROAT,$197 ,Laboratory
CHLAMYDIA TRACH PCR,$197 ,Laboratory
C DIFF--EPI,$98 ,Laboratory
HEPATITIS B VIRAL DNA PCR,$503 ,Laboratory
HEP C VIRAL RNA BY QUAL TMA,$321 ,Laboratory
"HEPATITIS C VIRUS, RNA BY PCR",$310 ,Laboratory
"HERPES SIMPLEX 1 DNA, PCR",$272 ,Laboratory
"HERPES SIMPLEX 2 DNA, PCR",$272 ,Laboratory
HIV-1 RNA QUAL TMA,$498 ,Laboratory
HIV 1 RNA QN BDMA,$478 ,Laboratory
HIV 1 QUANTIFICATION,$478 ,Laboratory
TB PCR RESPIRATORY,$261 ,Laboratory
"NEISERRIA GONORRHOEAE DNA,SDA",$197 ,Laboratory
"NEISERRIA GONORRHOEAE RNA,TMA",$197 ,Laboratory
NEISSERIA GONORRHOEAE THROAT,$197 ,Laboratory
NEISSERIA GONORRHOEAE PCR,$197 ,Laboratory
TRICHOMONAS VAG RNA TMA FEMALE,$168 ,Laboratory
"THEPONEMA PALLIDUM DNA, PCR",$483 ,Laboratory
TROPHERYMA WHIPPLEI,$483 ,Laboratory
VARICELLA ZOSTER AB CSF,$197 ,Laboratory
ADENOVIRUS DAN PCR,$334 ,Laboratory
"PARAINFULENZA TYPE 1, RNA PCR",$334 ,Laboratory
"PARAINFLUENZA TYPE 2, RNA PCR",$334 ,Laboratory
"PARAINFLUENZA TYPE 3, RNA PCR",$334 ,Laboratory
"RSV RNA, PCR",$334 ,Laboratory
JC VIRUS DNA PCR,$237 ,Laboratory
"NOROVIRUS RNA, PCR",$315 ,Laboratory
EPSTEIN BARR DNA QUAL PCR,$315 ,Laboratory
MUMPS VIRUS PCR,$204 ,Laboratory
"PARAINFLUENZA TYPE 4, RNA PCR",$334 ,Laboratory
"B. PERTUSSIS, DNA BY PCR",$510 ,Laboratory
BK VIRUS,$307 ,Laboratory
EPSTEIN BARR VIRUS QUANT/PCR,$307 ,Laboratory
ADENOVIRUS AB CSF,$105 ,Laboratory
"BK VIRUS PCR, URINE",$307 ,Laboratory
GENPROBE FEMALE CT/GC DNA,$76 ,Laboratory
GENPROBE MALE CT/GC DNA,$76 ,Laboratory
LYME DISEASE PCR,$355 ,Laboratory
INFLUENZA A,$67 ,Laboratory
INFLUENZA B,$67 ,Laboratory
SHIGA TOXINS 1,$70 ,Laboratory
SHIGA TOXIN 2,$70 ,Laboratory
CAMPY AG,$70 ,Laboratory
RAPID STREP PNEUMO AG UA/CSF,$70 ,Laboratory
HCV GENOTYPE 1 NS5A RESISTANCE,$930 ,Laboratory
NONGYN CONCENTRATE,$75 ,Laboratory
NONGYBN LIQ B TP,$168 ,Laboratory
PAP SUREPATH,$114 ,Laboratory
SMEARS; SCR INT,$60 ,Laboratory
FNA INTERP REP,$108 ,Laboratory
KAPPA CHAIN INTENSITY,$162 ,Laboratory
CD57+/CD3 % LYMPHS,$203 ,Laboratory
CHROMOSOME ANALYSIS,$892 ,Laboratory
LEUKEMIA MARKERS X 15,$900 ,Laboratory
LEUK/LYMPHOMA SECOND MARKER,$60 ,Laboratory
LEUK/LYMPHOMA THIRD MARKER,$60 ,Laboratory
LEUK/LYMPHOMA FOURTH MARKER,$60 ,Laboratory
LEUK/LYMPHOMA FIFTH MARKER,$60 ,Laboratory
LEUK/LYMPHOMA SIXTH MARKER,$60 ,Laboratory
CD57+/CD8 % LYMPHS,$60 ,Laboratory
CD57+/CD3-/CD8- % LYMPHS,$60 ,Laboratory
KAPPA-LAMBDA INTERP,$162 ,Laboratory
LEUK/LYMPHOMA INTERETATION,$111 ,Laboratory
CHROMOSOME ANALYSIS NEONATAL,$431 ,Laboratory
CHROMOSOME MOSAICISM,$341 ,Laboratory
CHROMOSOME ANALYSIS BLOOD,$135 ,Laboratory
CHROMOSOME ANALYSIS KARYOTYPES,$431 ,Laboratory
CHROMOSOME ANALYSIS KARYOTYPES,$135 ,Laboratory
FISH MOLECULAR DNA PROBE,$114 ,Laboratory
FISH MOLECULAR DNA PROBE 2,$114 ,Laboratory
CLL DNA PROBE 3,$114 ,Laboratory
CLL DNA PROBE 4,$114 ,Laboratory
CLL DNA PROBE 5,$114 ,Laboratory
FISH IN SITU HYBRIDIZATION,$106 ,Laboratory
CLLINSTITU FISH2,$106 ,Laboratory
CLLINSITU FISH3,$106 ,Laboratory
CLLINSITU FISH4,$106 ,Laboratory
CLLINSITU FISH5,$106 ,Laboratory
ADDED KARYOTYPES,$129 ,Laboratory
CYTOG FISH INTP,$159 ,Laboratory
CHROMOSOME ANALYSIS INTERPRETN,$85 ,Laboratory
CHROMOSOME MOSAICISM DIAGNOSIS,$85 ,Laboratory
TISSUE EXAM LEVEL I,$60 ,Laboratory
TISSUE EXAM LEVEL II,$188 ,Laboratory
TISSUE EXAM LEVEL III,$190 ,Laboratory
TELEDERM ASL4,$170 ,Laboratory
TELEDERM BSL4,$170 ,Laboratory
"MUSCLE BIOPSY FROZEN, UW",$498 ,Laboratory
EM THICK SECTION,$498 ,Laboratory
TISSUE EXAM LEVEL IV,$180 ,Laboratory
TISSUE EXAM LEVEL V,$321 ,Laboratory
TISSUE EXAM LEVEL VI,$327 ,Laboratory
DECAL,$11 ,Laboratory
SPECIAL STAIN/GROUP 1 TELEDERM,$144 ,Laboratory
SPECIAL STRAIN/GROUP 1,$144 ,Laboratory
SPEC STAIN GR 1,$111 ,Laboratory
SPECIAL STAIN A,$570 ,Laboratory
SPECIAL STAINS B,$570 ,Laboratory
SPEC STAIN GR 2,$111 ,Laboratory
SPECIAL STAINS HISTOCHEMICAL A,$852 ,Laboratory
SPECIAL STAINS HISTOCHEMICAL B,$852 ,Laboratory
SPECIAL STAINS HISTOCHEMICAL C,$852 ,Laboratory
HC IMHISTOCHEM/CYTOCHEM A,$540 ,Laboratory
DETERMINATIVE HCHEM/CCHEM ID A,"$1,431 ",Laboratory
DETERMINATIVE HCHEM/CCHEM ID B,"$1,431 ",Laboratory
DETERMINATIVE HCHEM/CCHEM ID C,"$1,431 ",Laboratory
DETERMINATIVE HCHEM/CCHEM ID D,"$1,431 ",Laboratory
DETERMINATIVE HCHEM/CCHEM ID E,"$1,431 ",Laboratory
DETERMINATIVE HCHEM/CCHEM ID F,"$1,431 ",Laboratory
NPM AMPD ADENYLAE DEAMINASE,"$1,431 ",Laboratory
PHOSPHOFRUCTOKINASE HISTOCHEM,"$1,431 ",Laboratory
TELEDERM SLIDES-CONSULT,$180 ,Laboratory
CON SURG FROZEN,$51 ,Laboratory
FROZ SEC ADD,$19 ,Laboratory
TOUCH PREP SURG,$56 ,Laboratory
TOUCH PREP ADD,$35 ,Laboratory
IHC ADDITIONAL AB 1,$83 ,Laboratory
HC IMHISTOCHEM/CYTOCHEM E,$540 ,Laboratory
IHC ADDITIONAL AB 2,$83 ,Laboratory
IHC ADDITIONAL AB 3,$83 ,Laboratory
IHC ADDITIONAL AB 4,$83 ,Laboratory
IHC ADDITIONAL AB 5,$83 ,Laboratory
IHC ADDITIONAL AB 6,$83 ,Laboratory
IHC ADDITIONAL AB 7,$83 ,Laboratory
IHC ADDITIONAL AB 8,$83 ,Laboratory
IHC ADDITIONAL AB 9,$83 ,Laboratory
IHC ADDITIONAL AB 10,$83 ,Laboratory
IHC ADDITIONAL AB 11,$83 ,Laboratory
IHC ADDITIONAL AB 12,$83 ,Laboratory
IHC ADDITIONAL AB 13,$81 ,Laboratory
IHC ADDITIONAL AB 14,$81 ,Laboratory
IHC ADDITIONAL AB 15,$81 ,Laboratory
IHC ADDITIONAL AB 16,$81 ,Laboratory
IHC ADDITIONAL AB 17,$81 ,Laboratory
IHC ADDITIONAL AB 18,$81 ,Laboratory
IHC ADDITIONAL AB 19,$81 ,Laboratory
IHC ADDITIONAL AB 20,$81 ,Laboratory
IHC ADDITIONAL AB 21,$81 ,Laboratory
IHC ADDITIONAL AB 1 CYTOLOGY,$81 ,Laboratory
HC IMHISTOCHEM/CYTOCHEM A,$540 ,Laboratory
HC IMHISTOCHEM/CYTOCHEM B,$540 ,Laboratory
HC IMHISTOCHEM/CYTOCHEM C,$540 ,Laboratory
HC IMHISTOCHEM/CYTOCHEM D,$540 ,Laboratory
PROSTATE BIOPSY 10+,$690 ,Laboratory
CD 68 (KP-1),$555 ,Laboratory
HLA CLASS I FS ICC NCL HLA IN,$555 ,Laboratory
SPEC STAIN GR 3,$180 ,Laboratory
TELEDERM MICHEL'S TECHINCAL,$150 ,Laboratory
TELEDERM MICHEL'S PROFESSIONAL,$120 ,Laboratory
WEST NILE VIRUS HANDLING FEE,$16 ,Laboratory
DRUG SCREEN HANDLING FEE,$20 ,Laboratory
DRG HANDLING AFTER CONTACT HR,$68 ,Laboratory
DRUG SCREEN CONFIRMATION,$44 ,Laboratory
LEGAL SAMPLE COLLECTION,$37 ,Laboratory
DRUG SCREEN HANDLING FEE QUEST,$32 ,Laboratory
DRUG SCREEN HANDLING ESCREEN,$37 ,Laboratory
HANDLING FEE PATERNITY,$37 ,Laboratory
"DRUG SCREEN HANDLING, PAML",$47 ,Laboratory
"DRUG SCREEN HANDLING, DRUG FRE",$20 ,Laboratory
"DRUG SCREEN HANDLING, MEDCOR",$47 ,Laboratory
PORTAMEDIC COLLECTION,$32 ,Laboratory
OCC CANNABINOIDS,$12 ,Laboratory
PSA SCREENING,$103 ,Laboratory
HEMOCCULT-NEOPLASM SCREEN,$71 ,Laboratory
PROSTATE BIOPSY 10+,$690 ,Laboratory
HIV SCREENING MCR,$113 ,Laboratory
HIV SCREENING MCR CVH,$110 ,Laboratory
HIV SCREENING MCR,$113 ,Laboratory
BLOOD - UNIT STORAGE,$376 ,Laboratory
BLOOD PLASMA FROZEN STORAGE EA,$234 ,Laboratory
PLATELET PHORESIS,"$1,155 ",Laboratory
"PLATELETS,PHERESIS,LEUKOREDUCE",$771 ,Laboratory
TRAVEL ALLOWANCE,$19 ,Laboratory
MED SURG ROOM,"$1,725 ",Med/Surg
BLOOD ADMINISTRATION 1 HR IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 2 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 3 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 4 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 5 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 6 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 7 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 8 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 9 HRS IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 10 HR IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 11 HR IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 12 HR IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 13 HR IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 14 HR IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 15 HR IP,"$1,441 ",Med/Surg
BLOOD ADMINISTRATION 16 HR IP,"$1,441 ",Med/Surg
ADVANCE CARE SEMI PRIVATE ROOM,"$2,590 ",Med/Surg
PICC LINE INSERT INPT,"$1,276 ",Med/Surg
NEWBORN SERVICE LEVEL 1,$896 ,Nursery
NEWBORN SERVICE LEVEL 2,"$1,544 ",Nursery
AUDITORY REHAB EVALUATION,$54 ,Nursery
ACOUSTIC REFLEX TESTING,$78 ,Nursery
NEWBORN RESUSCITATION,$666 ,Nursery
BLOOD ADMIN 1ST HOUR OBSERVATI,"$1,441 ",Observation 
BLOOD ADMIN 2 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 3 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 4 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 5 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 6 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 7 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 8 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 9 HOURS OBSERVATIO,"$1,441 ",Observation 
BLOOD ADMIN 10 HRS OBSERVATION,"$1,441 ",Observation 
BLOOD ADMIN 11 HRS OBSERVATION,"$1,441 ",Observation 
BLOOD ADMIN 12 HRS OBSERVATION,"$1,441 ",Observation 
BLOOD ADMIN 13 HRS OBSERVATION,"$1,441 ",Observation 
BLOOD ADMIN 14 HRS OBSERVATION,"$1,441 ",Observation 
OBS NON COV PER HOUR,$71 ,Observation 
OBS TRACKING ONLY PER HOUR,$71 ,Observation 
OBSERVATION 1 HOUR FIRST DAY,"$1,095 ",Observation 
OBSERVATION 2 HOURS FIRST DAY,"$1,121 ",Observation 
OBSERVATION 3 HOURS FIRST DAY,"$1,147 ",Observation 
OBSERVATION 4 HOURS FIRST DAY,"$1,173 ",Observation 
OBSERVATION 5 HOURS FIRST DAY,"$1,198 ",Observation 
OBSERVATION 6 HOURS FIRST DAY,"$1,224 ",Observation 
OBSERVATION 7 HOURS FIRST DAY,"$1,249 ",Observation 
OBSERVATION 8 HOURS FIRST DAY,"$1,276 ",Observation 
OBSERVATION 9 HOURS FIRST DAY,"$1,301 ",Observation 
OBSERVATION 10 HOURS FRST DAY,"$1,326 ",Observation 
OBSERVATION 11 HOURS FRST DAY,"$1,352 ",Observation 
OBSERVATION 12 HOURS FRST DAY,"$1,377 ",Observation 
OBSERVATION 13 HOURS FRST DAY,"$1,429 ",Observation 
OBSERVATION 14 HOURS FRST DAY,"$1,387 ",Observation 
OBSERVATION 15 HOURS FRST DAY,"$1,455 ",Observation 
OBSERVATION 16 HOURS FRST DAY,"$1,480 ",Observation 
OBSERVATION 17 HOURS FRST DAY,"$1,504 ",Observation 
OBSERVATION 18 HOURS FRST DAY,"$1,532 ",Observation 
OBSERVATION 19 HOURS FRST DAY,"$1,558 ",Observation 
OBSERVATION 20 HOURS FRST DAY,"$1,583 ",Observation 
OBSERVATION 21 HOURS FRST DAY,"$1,613 ",Observation 
OBSERVATION 22 HOURS FRST DAY,"$1,645 ",Observation 
OBSERVATION 23 HOURS FRST DAY,"$1,675 ",Observation 
OBSERVATION 24 HOURS FRST DAY,"$1,725 ",Observation 
OBSERVATION ADV HR 1 FRST DAY,"$1,307 ",Observation 
OBSERVATION ADV 2 HRS FRST DAY,"$1,362 ",Observation 
OBSERVATION ADV 3 HRS FRST DAY,"$1,415 ",Observation 
OBSERVATION ADV 4 HRS FRST DAY,"$1,470 ",Observation 
OBSERVATION ADV 5 HRS FRST DAY,"$1,523 ",Observation 
OBSERVATION ADV 6 HRS FRST DAY,"$1,578 ",Observation 
OBSERVATION ADV 7 HRS FRST DAY,"$1,632 ",Observation 
OBSERVATION ADV 8 HRS FRST DAY,"$1,685 ",Observation 
OBSERVATION ADV 9 HRS FRST DAY,"$1,740 ",Observation 
OBSERVATION ADV 10 HRS FST DAY,"$1,794 ",Observation 
OBSERVATION ADV 11 HRS FST DAY,"$1,848 ",Observation 
OBSERVATION ADV 12 HRS FST DAY,"$1,902 ",Observation 
OBSERVATION ADV 13 HRS FST DAY,"$1,957 ",Observation 
OBSERVATION ADV 14 HRS FST DAY,"$2,010 ",Observation 
OBSERVATION ADV 15 HRS FST DAY,"$2,064 ",Observation 
OBSERVATION ADV 16 HRS FST DAY,"$2,119 ",Observation 
OBSERVATION ADV 17 HRS FST DAY,"$2,172 ",Observation 
OBSERVATION ADV 18 HRS FST DAY,"$2,227 ",Observation 
OBSERVATION ADV 19 HRS FST DAY,"$2,281 ",Observation 
OBSERVATION ADV 20 HRS FST DAY,"$2,335 ",Observation 
OBSERVATION ADV 21 HRS FST DAY,"$2,389 ",Observation 
OBSERVATION ADV 22 HRS FST DAY,"$2,443 ",Observation 
OBSERVATION ADV 23 HRS FST DAY,"$2,497 ",Observation 
OBSERVATION ADV 24 HRS FST DAY,"$2,590 ",Observation 
OBSV HOUR 1-SECOND & THIRD DAY,$71 ,Observation 
OBSV 2 HRS SECOND & THIRD DAY,$141 ,Observation 
OBSV 3 HRS SECOND & THIRD DAY,$212 ,Observation 
OBSV 4 HRS SECOND & THIRD DAY,$282 ,Observation 
OBSV 5 HRS SECOND & THIRD DAY,$353 ,Observation 
OBSV 6 HRS SECOND & THIRD DAY,$424 ,Observation 
OBSV 7 HRS SECOND & THIRD DAY,$495 ,Observation 
OBSV 8 HRS SECOND & THIRD DAY,$565 ,Observation 
OBSV 9 HRS SECOND & THIRD DAY,$636 ,Observation 
OBSV 10 HRS SECOND & THIRD DAY,$706 ,Observation 
OBSV 11 HRS SECOND & THIRD DAY,$777 ,Observation 
OBSV 12 HRS SECOND & THIRD DAY,$847 ,Observation 
OBSV 13 HRS SECOND & THIRD DAY,$918 ,Observation 
OBSV 14 HRS SECOND & THIRD DAY,$988 ,Observation 
OBSV 15 HRS SECOND & THIRD DAY,"$1,059 ",Observation 
OBSV 16 HRS SECOND & THIRD DAY,"$1,129 ",Observation 
OBSV 17 HRS SECOND & THIRD DAY,"$1,200 ",Observation 
OBSV 18 HRS SECOND & THIRD DAY,"$1,271 ",Observation 
OBSV 19 HRS SECOND & THIRD DAY,"$1,342 ",Observation 
OBSV 20 HRS SECOND & THIRD DAY,"$1,412 ",Observation 
OBSV 21 HRS SECOND & THIRD DAY,"$1,483 ",Observation 
OBSV 22 HRS SECOND & THIRD DAY,"$1,553 ",Observation 
OBSV 23 HRS SECOND & THIRD DAY,"$1,624 ",Observation 
OBSV 24 HRS SECOND & THIRD DAY,"$1,725 ",Observation 
OBS ADV 1ST HOUR-2ND & 3RD DAY,$106 ,Observation 
OBS ADV 2 HOURS-2ND & 3RD DAYS,$212 ,Observation 
OBS ADV 3 HOURS-2ND & 3RD DAYS,$319 ,Observation 
OBS ADV 4 HOURS-2ND & 3RD DAYS,$424 ,Observation 
OBS ADV 5 HOURS-2ND & 3RD DAYS,$530 ,Observation 
OBS ADV 6 HOURS-2ND & 3RD DAYS,$636 ,Observation 
OBS ADV 7 HOURS-2ND & 3RD DAYS,$743 ,Observation 
OBS ADV 8 HOURS-2ND & 3RD DAYS,$848 ,Observation 
OBS ADV 9 HOURS-2ND & 3RD DAYS,$954 ,Observation 
OBS ADV 10 HOURS-2ND & 3RD DAY,"$1,060 ",Observation 
OBS ADV 11 HOURS-2ND & 3RD DAY,"$1,166 ",Observation 
OBS ADV 12 HOURS-2ND & 3RD DAY,"$1,272 ",Observation 
OBS ADV 13 HOURS-2ND & 3RD DAY,"$1,378 ",Observation 
OBS ADV 14 HOURS-2ND & 3RD DAY,"$1,484 ",Observation 
OBS ADV 15 HOURS-2ND & 3RD DAY,"$1,589 ",Observation 
OBS ADV 16 HOURS-2ND & 3RD DAY,"$1,696 ",Observation 
OBS ADV 17 HOURS-2ND & 3RD DAY,"$1,802 ",Observation 
OBS ADV 18 HOURS-2ND & 3RD DAY,"$1,907 ",Observation 
OBS ADV 19 HOURS-2ND & 3RD DAY,"$2,013 ",Observation 
OBS ADV 20 HOURS-2ND & 3RD DAY,"$2,120 ",Observation 
OBS ADV 21 HOURS-2ND & 3RD DAY,"$2,226 ",Observation 
OBS ADV 22 HOURS-2ND & 3RD DAY,"$2,331 ",Observation 
OBS ADV 23 HOURS-2ND & 3RD DAY,"$2,437 ",Observation 
OBS ADV 24 HOURS-2ND & 3RD DAY,"$2,590 ",Observation 
RESUSCITATION OBS,"$1,109 ",Observation 
OBS ADV PER HOUR,$103 ,Observation 
OBS ADV TRACKING ONLY PER HOUR,$103 ,Observation 
VACCINE ADMIN INITIAL OBSV,$55 ,Observation 
VACCINE ADMIN SUBSEQUENT OBSV,$21 ,Observation 
IV HYDRATION FIRST HOUR OBSERV,$350 ,Observation 
IV HYDRATION EACH ADD HR OBSER,$182 ,Observation 
IV THERAP INFUSION 1ST HR OBSV,$500 ,Observation 
IV THER INFUSION EA ADD HR OBS,$95 ,Observation 
IV THERAP SEQ INFUSIONS OBSV,$207 ,Observation 
IV THERAP SEQ INFUSIONS OB OBS,$142 ,Observation 
IV THERAP CONCUR INFUSION OBSV,$209 ,Observation 
THERAP/DX INJ SQ/IM OBSERV,$87 ,Observation 
IV PUSH SINGLE/INITIAL OBSERV,$171 ,Observation 
EA ADD SEQ IVPUSH NEW DRG OBSV,$118 ,Observation 
EA ADD IVPUSH SUBSEQUENT OBSV,$62 ,Observation 
CHEMO INJ SQ/IM OBSERVATION,$118 ,Observation 
GROUP THERAPY,$41 ,Occupational Therapy
"MUSC TEST EVAL BODY, INC HANDS",$100 ,Occupational Therapy
OT RANGE OF MOTION HAND,$30 ,Occupational Therapy
COGNITIVE PERF TEST OT,$218 ,Occupational Therapy
THERAPEUTIC EXERCISE 15 MIN OT,$102 ,Occupational Therapy
NEUROMUSCULAR REEDUCATION OT,$118 ,Occupational Therapy
MASSAGE OT 15 MIN,$79 ,Occupational Therapy
COGNITIVE FUNCTION SKILL OT,$90 ,Occupational Therapy
MANUAL THERAPY OT  15 MIN,$118 ,Occupational Therapy
GROUP THERAPY,$41 ,Occupational Therapy
OCC THER EVAL LOW,$252 ,Occupational Therapy
OCC THER EVAL MODERATE,$252 ,Occupational Therapy
OCC THER EVAL HIGH,$252 ,Occupational Therapy
OCC THER RE EVALUATION,$118 ,Occupational Therapy
THERAPEUTIC ACTIVITIES OT,$107 ,Occupational Therapy
SENSORY INTEGRATIVE OT,$108 ,Occupational Therapy
SELF CARE/HOME MANAGE  OT,$122 ,Occupational Therapy
COMMUNITY WORK TRAINING OT,$100 ,Occupational Therapy
WHEELCHAIR MANAGEMENT,$79 ,Occupational Therapy
WOUND CARE OT,$53 ,Occupational Therapy
ASSISTIVE TECH  OT 15 MINUTES,$100 ,Occupational Therapy
ORTHOTIC MANAGEMENT OT 15 MIN,$125 ,Occupational Therapy
PROSTETIC TRAINING OT 15 MIN,$125 ,Occupational Therapy
"ORTHODIC MANAGEMENT, 15 MINS",$94 ,Occupational Therapy
INCISION & DRAINAGE COMPLEX,$952 ,Other O/P Services
CHEST TUBE PLACEMENT,$464 ,Other O/P Services
INCISION & DRAINAGE SIMPLE,$277 ,Other O/P Services
WOUND/ULCER DEBRIDE LEVEL 3,$445 ,Other O/P Services
CENTRAL LINE PLACEMENT,$646 ,Other O/P Services
LUMBAR PUNCTURE,$526 ,Other O/P Services
PARACENTESIS ABDOMINAL,"$1,229 ",Other O/P Services
WHIRLPOOL THERAPY,$69 ,Other O/P Services
CENTRAL LINE PLACEMENT,$580 ,Other O/P Services
CHEST TUBE PLACEMENT,$481 ,Other O/P Services
PARACENTESIS ABDOMINAL,$688 ,Other O/P Services
URINARY CATHETER INSERTION,$56 ,Other O/P Services
