OUTPATIENT SERVICES,Average Charge for each Outpatient Service
VENIPUNCTURE,$17.50
INI PRVNT SCREEN EKG TRACE,$41.25
INSERTION SWAN GANZ,"$1,786.00"
IABP INSERTION,"$2,398.00"
CARDIOVERSION,"$1,383.25"
OXYGEN SATURATION,$89.25
SINGLE CHAMBER TEMP PACEMAKER,"$19,124.00"
CATHETER 6FR AR I,$51.00
TERUMO SHEATH 10CM,$42.00
WIRE WHOLEY-FLOPPY,$248.00
IAB KIT W/BALLOON 34CC,"$2,177.00"
IAB KIT W/BALLOON 40CC,"$2,177.00"
CATHETER SWAN GANZ,$110.25
CATHETER THERMODILUTION,$169.50
PACK TRAY,$211.50
SYRINGES MED-RAD,$24.50
TERUMO SHEATH 25CM,$50.50
PERICARDIOCENTESIS TRAY,$380.25
WIRE 3MM J .025 145CM,$41.75
GUIDEWIRE .035 145CM STRAIGHT,$39.64
SET-UP COVERS,$10.75
CARDIAC CATH OBSERVATION ROOM,$46.00
SINGLE CHAMBER PACER ANALYSIS,$175.00
DUAL CHAM PACE ANAL W/REPRO,$121.50
PACEMAKER PACK,$219.50
PACEMAKER DISPOSABLE CABLES,$87.00
CATHETER 6FR AL III,$51.00
FEMORAL DRAPE,$25.00
CAPSURE SCREW IN 5568,"$2,095.00"
CAPSURE NOVUS 4592,"$1,954.50"
WRENCH KIT 5873W,$171.25
MEDTRONIC STYLET KIT,$152.25
LEAD END CAP 5867-3M,$95.50
PINCH ON TOOL 6056,$95.50
REMOVAL PACER GENERATOR,"$19,124.00"
REMOVAL SINGLE PACER LEAD,"$6,689.00"
REMOVAL DUAL PACER LEADS,"$6,689.00"
REVISION/RELOC SKIN POCKET,"$2,540.25"
IMPLANT EVENT RECORDER,"$18,221.00"
REMOVE EVENT RECORDER,"$1,523.25"
IMPLANTABLE LOOP RECORDER,"$11,245.25"
WIRE AMPLATZ SUPER STIFF 180CM,$144.00
INJECT VENOGRAM,$116.00
VENOGRAM SINUS/JUGULR S&I,"$1,389.00"
WIRE 3 MM J .035CM GLIDE,$119.00
CAPSURE FIX NOVUS 5076,"$1,984.75"
CAPSURE SP NOVUS 5592,"$1,684.75"
CAPSURE SP NOVUS 5092,"$1,684.75"
LEAD REPOSITION,"$2,783.00"
SINGLE CHAMBER INSERT VENT,"$26,915.50"
DUAL CHAMBER PPM INSERT,"$26,915.50"
DUAL LEAD REPAIR,"$8,204.25"
SINGLE CHAMBER GENERATOR RPLMT,"$13,164.75"
DUAL CHAMBER GENERATOR RPLMT,"$24,575.75"
SINGLE CHAMBER LEAD REPLACEMNT,"$16,845.00"
INSERT 2 ELECTRODES PM/DEFIB,"$18,387.25"
BS FINELINE LEAD,"$1,626.50"
CAPSURE NOVUS 5092-52CM.,"$1,626.50"
5 FR MICROPUNCTURE KIT,$91.00
PERICARDIOCENTESIS INITIAL,"$1,964.50"
US PERICARDIOCENTESIS,$450.50
CAPSURE SP 4076,"$1,774.75"
L VENTRIC PACING LEAD ADD-ON,"$16,272.00"
SINGLE CHAMB LEAD REPAIR,"$9,926.00"
FLOW WIRE,"$4,629.25"
FLOW WIRE EACH ADDL VESSEL,"$2,647.25"
CPR,$961.50
CORONARY THROMBECTOMY,"$6,464.50"
ENDOLUMINL IVUS OCT C 1ST,"$4,629.25"
INTRAVAS ULTRASOUND EA ADL VES,"$3,203.25"
"STENT,ION RX DES","$5,674.75"
"STENT,VERIFLEX BARE METAL","$2,034.75"
"GUIDEWIRE,WHOLEY 0.35CM 260CM",$260.00
"WIRE, FILTER EZ 190CM","$2,773.25"
"GUIDEWIRE, HT WHISPER 190CM",$249.25
"GUIDEWIRE, DOC",$249.25
PERCLOSE,$657.25
IVUS ATLANTIS CATHETER,"$1,460.50"
THROMBECT/EMBOLECTOMY CATH,"$3,581.75"
"KIT, 2-PORT MANNIFOLD",$61.50
TORQUE DEVICE,$22.00
INSERTION TOOL,$11.25
Y-ADAPTER,$71.75
"GUIDE CATHETER,6FR VL 5.0",$160.50
"GUIDE CATHETER,6FR VL 3.5",$160.50
"GUIDE CATHETER,6FR VL 4.0",$160.50
CLOSURE DEV PLACE ARTER OR VEN,"$1,122.75"
"CATH,LANGSTON DUAL LUMEN 6F",$342.50
ARROW SHEATH 6 FR,$59.75
ARROW SHEATH 5 FR,$62.75
ARROW SHEATH 7 FR,$62.75
LOCM 370MG PER ML,$3.50
"GUIDE CATHETER,CORDIS 6F JL3.5",$143.25
"GUIDE CATH, CORDIS 6F JL4.5",$143.25
"GUIDE CATH, CORDIS 6F JL 5.0",$143.25
"GUIDE CATH, CORDIS 6F JR3.5",$143.25
"GUIDE CATH,CORDIS 6FR JR 4.0",$143.25
"GUIDE CATH,CORDIS 6FJR4.0SH",$143.25
"GUIDE CATH,CORDIS 6FXB3",$143.25
"GUIDE CATH,CORDIS 6FXB 3.5",$143.25
"GUIDE CATH,CORDIS 6FXB4",$143.25
"GUIDE CATH,CORDIS 6FALI",$143.25
"GUIDE CATH,CORDIS 6FALII",$143.25
"GUIDE CATH,CORDIS 6FALIII",$136.25
"GUIDE CATH,CORDIS 6FARI",$143.25
"GUIDE CATH,CORDIS 6FARII",$127.50
"GUIDE CATH, CORDIS 6F HS",$143.25
"GUIDE CATH,CORDIS 6F MPA",$143.25
"GUIDE CATH,CORDIS 6F3DRC",$143.25
"GUIDE CATHETER,CORDIS 6F IM",$143.25
"GUIDE CATH, CORDIS 6F RCB",$143.25
"GUIDE CATH,CORDIS 6F XB 3.5SH",$143.25
"GUIDE CATH, CORDIS 7F JR 4.0",$143.25
"GUIDE CATHETER,CORDIS 7FXB3",$143.25
"GUIDE CATH,CORDIS 7FXB3.5",$143.25
"GUIDE CATH, CORDIS 7FARI",$143.25
"GUIDE CATHETER,6FR VL 3.0",$160.50
"GENERATOR,ADAPTA ADDR01","$13,848.75"
"GENERATOR, SENSIA SESR01","$10,087.75"
VERSA DR01,"$12,626.50"
GLIDEWIRE 0.35 ANG 260CM,$127.50
"GLIDEWIRE, 0.35 STR 260CM",$127.50
"CATHETER, CORDIS 5F 3DRC",$32.25
CORDIS DIAGNOSTIC CATHETER,$32.25
"10""CONTRAST INJ TUBING",$8.25
ANGIO INTERNAL MAMMARY,"$1,389.00"
"GUIDEWIRE, 0.35 J (150-260CM)",$30.50
IVUS SLED,$93.00
CATHETER TRANSIT 150CM,$949.50
FEMSTOP,$200.00
FLUORO UP TO 1 HOUR,$528.25
"GUIDE CATH,CORDIS 6FXBLAD 3.5",$143.25
TEMP PACING CATHETER RH,$300.25
RET DEV INSERTABLE,"$1,325.25"
"GUIDE CATH, CORDIS 6F AR1 SH",$136.25
"GUIDE CATH, CORDIS 6F 3DRC SH",$143.25
"GUIDE CATH,CORDIS 6F HS SH",$143.25
"GUIDE CATH,CORDIS 6F MPA SH",$143.25
VISION BARE METAL STENT,"$2,248.50"
NSERT PACE-DEFIB W/LEAD,"$68,770.00"
1ST ORD ABD PELV LOW EXTR LT,"$3,499.50"
1ST ORD ABD PELV LOW EXTR,"$3,499.50"
2ND ORD ABD PELV LOW EXTR LT,"$5,087.00"
2ND ORD ABD PELV LOW EXTR,"$5,087.00"
3RD ORD ABD PELV LOW EXTR LT,"$5,742.50"
3RD ORD ABD PELV LOW EXTR RT,"$5,742.50"
AORTA NON SELECTIVE PROC,"$3,947.75"
ANGIO SELECT EA ADDL VESSEL SI,"$1,680.75"
"GUIDEWIRE,PILOT 50",$227.00
"GUIDEWIRE, PILOT 150 190CM",$227.00
"GUIDEWIRE, BMW 190CM",$227.00
"GUIDEWIRE, ALLSTAR 190CM",$227.00
"GUIDEWIRE,BOSTON SCIENTIFIC",$227.00
CAPSURE SP NOVUS 4092-52,"$1,358.00"
STATLOCK,$61.75
VOYAGER OTW BALLOON,$683.25
"GUIDEWIRE,MIRACLEBROS 3 180CM",$467.50
ESSENTIALS KIT,$111.00
TERUMO OBTURATOR,$17.50
LEAD 1882TC-46,"$1,844.00"
LEAD 1888TC-46,"$1,844.00"
LEAD 1888TC-52,"$1,756.50"
ZEPHYR DR 5820,"$12,422.50"
ZEPHYR SR 5620,"$10,288.25"
ZEPHYR XL DR 5826,"$12,422.50"
"SUTURE, SILK 2.0 CURVED",$5.50
DEXTRUS 4135,"$1,455.75"
DEXTRUS 4136,"$1,455.75"
DEXRUS 4137,"$1,455.75"
JOSTENT,"$4,648.25"
CATHETER PROTECTOR,$20.00
CAPSURE FIX 5568-53,"$1,455.75"
CAPSURE SP NOVUS 4592-53,"$1,358.00"
CAPSURE FIX NOVUS 5076-58,"$1,601.00"
ADAPTA ADSR01,"$10,277.50"
"CATH,GUIDE 7FR JL 4.0",$136.25
SMART NEEDLE 2 2/4 IN,$237.00
SAFEGUARD WEDGE,$124.75
7FR PWC,$127.00
CORDIS BRITETIP 6FR JL 4.0 ST,$143.25
TERUMO.035GLIDEWIRE REG ST150C,$119.25
BOSTON SCI IMPULSE 6FR JR 4.0,$26.50
HIGH PRESSURE STOP COCK,$10.75
"48""CONTRAST INJ. LINE TUBING",$5.00
RUNWAY CLS 6FR 3.5,$139.50
CATHETER GUIDING/BS,$139.25
CATHETER GUIDING/BS,$139.25
BERENSTEIN 5FR CATHETER,$113.75
ADAPTA PACEMAKER,"$11,373.50"
"48"" F-M PRESSURE TUBING",$24.25
GUIDANT-BIPOLAR 4458-52,"$1,358.75"
.035 CORE PTFE STR. 260CM WIRE,$24.75
.025 FIXED CORE J (260CM),$24.75
RUNWAY 6FR CLS 3.5,$139.25
RUNWAY 6FR CLS 4.0,$139.25
BS ALTRUA 60 DR,"$13,772.00"
MEDTRONIC 6FR EBU 3.5,$314.00
GUIDE WIRE/ABBOTT,$362.25
AV BMW UNIVERSAL (190CM),$217.50
AV TRAVERSE 190CM,$217.50
GUIDEWIRE/AV,$198.00
TRANSDUCER,$18.00
MEDTRONIC ADAPTA PACEMAKER,"$10,834.25"
BOSTON SCIENTIFIC CLS 6FR 3.75,$132.75
IMPL PACE NOT SGL/DU CHAMB/MED,"$16,508.50"
MEDTRONIC GENERATOR ADAPTA DR,"$10,648.00"
MEDTRONIC PIN PLUG,$229.50
GUIDANT BIPOLAR LEAD,"$1,294.25"
FILTERWIRE EZ (190CM) 2.25MM,"$2,478.00"
GUIDE WIRE/AV PROWATER FLEX,$217.50
CAPSURE FIX NOVUS LEAD,"$1,340.75"
BS 6FR ANG. PIG,$25.75
BS 6FR JL 4.0,$25.75
BS 6FR JL 4,$120.75
BS 6FR JL 4SH,$120.75
BS 5FR FL 4,$25.75
7 FR SKATER,$190.75
SAFETY PARACENTESIS TRAY,$96.50
BS INDEFLATOR KITS,$174.25
VOYAGER NC BALLOONS,$600.75
BOSTON SCI 6FR AL1,$25.75
BOSTON SCI 6FR AL2,$25.75
BOSTON SCI 6FR AR MOD,$25.75
BOSTON SCI 6FR FL 3.5,$25.75
BOSTON SCIENTIFIC 6FR JL 4.5,$25.75
BOSTON SCIENTIFIC 6FR JL 5,$25.75
BOSTON SCIENTIFIC 6FR JL 6,$25.75
BOSTON SCIENTIFIC 6FR JR 3.5,$25.75
BOSTON SCIENTIFIC 6FR JR 5,$25.75
BOSTON SCI 6FR IM,$25.75
BOSTON SCI 6FR MPA 100CM.,$25.75
BOSTON SCI 6FR RCB,$25.75
BOSTON SCI 6FR LCB,$25.75
BOSTON SCI 6FR MPA2 125CM.,$25.75
MEDTRONIC REVEAL XT,"$8,596.25"
BS WRENCH KIT,$120.75
BS LEAD CAP,$64.75
BS 5FR AL1,$25.75
BS 5FR AL2,$25.75
BS 5FR AL3,$25.75
BS 5 AR MOD,$25.75
BS 5FR JL 3.5,$25.75
BS 5FR JL 4.5,$25.75
BS 5FR JL 5.0,$25.75
BS 5FR JR 3.5,$25.75
BS 5FR JR 4.0 RB,$25.75
BS 5FR JR 6.0,$25.75
BS 5FR LCB,$25.75
BS 5FR MP A-2,$25.75
BS 5FR MPA,$25.75
BS 5FR RCB,$25.75
BS 5FR IM,$25.75
BS 6FR STR PIG,$25.75
BS LBU 4.0,$120.75
BS LBU 3.75,$120.75
BS LBU 3.5,$120.75
BS 6FR LCB 100CM GUIDE,$120.75
D STAT DRY WRAP,$142.00
THROMBECT/EMBOLECTOMY CATH/VAS,"$1,146.25"
BS 6FR AR2,$125.25
BS CORONARY CUTTING BALLOONS,"$2,004.50"
TRANSLU ANGIOP NON-LAS CATH/BS,$571.50
BS FR CLS 3.5SH,$125.25
BS 8FR CLS 3.5,$125.25
BS 8FR FL 4,$125.25
BS 8FR FR 3.5,$125.25
BS 8 FR FR 4,$125.25
BS 8 FR AR 1 SH,$125.25
MYNX,$446.25
5FR PIGTAIL ANG 145,$25.75
ACCENT RF DR,"$11,503.75"
ACENT RF SR,"$9,526.00"
AV PILOT 50 J 300CM WIRE,$201.25
PROMUS DES,"$2,187.50"
1944/46 ISOFLEX OPTIM US DIST,"$1,453.00"
1948/52 ISOFLEX OPTIM US,"$1,453.00"
D-STAT FLOWABLE HEMOSTAT,$236.25
GUARDIAN KIT,$93.00
GUIDELINER CATHETER 6FR,$885.50
GUIDELINER CATHETER 7FR,$885.50
ANGIOSEAL,$565.25
THORACIC AORTOGRAM,"$6,162.75"
ABDOMINAL AORTOGRAM,"$6,162.75"
ABD AORTA PLUS BILAT RUNOFF,"$6,162.75"
EXTREMITY ANGIO UNILAT LT S&I,"$3,518.00"
EXTREMITY ANGIO UNILAT RT S&I,"$3,518.00"
EXTREMITY ANGIO BILAT S&I,"$6,162.75"
VISCERAL ANGIO SELECTIVE S&I,"$1,680.75"
EXTREMITY ACCESS,"$3,431.25"
1ST ORDER THORACIC AORTA,"$3,948.50"
2ND ORDER THORACIC AORTA,"$4,844.75"
3RD ORDER THORACIC AORTA,"$5,767.25"
ADDL 2ND OR 3RD ORD THOR AO,"$5,742.50"
0.018X40CM NIT/SS GUIDEWIRE,$46.50
.035 BALLOON EXPAND STENT,"$1,825.00"
.018 Bal Expand Stents (Renal),"$1,979.00"
.035 Self-Expnd Nitinol Stents,"$1,955.75"
B/S PERIPHERAL BALLOON,$674.25
Encore 26 Inflation Device,$68.25
Peripheral OTW Cut Bal,"$1,360.25"
Periph Guide Cath (Renal),$196.50
BS IMAGER II SELECT CATHETERS,$27.00
Stiff Zipwire guidewire,$98.00
Magic torque wire,$112.00
Bentson guidewire,$52.00
Thruway renal guidewire,$233.00
Amplatz wires,$82.00
V-18 control wire,$186.25
GlideCath 4F,$146.50
GlideCath 5F,$109.25
Outback LTD re-entry cath,"$3,188.00"
Raabe Sheath,$163.75
5fr Rim Catheter 65cm,$157.00
INJECTOR,$31.25
HAND CONTROLLER SHEATHS,$16.75
DISPLAY UNIT SHEATHS,$16.75
"TUBINS 65""",$65.25
NC QUANTUM APEX,$430.00
VACUTRAK PERIPHERAL BALLOON,"$1,091.75"
LIFESTENT 6X40,"$3,101.50"
LIFESTENT 6X60,"$3,101.50"
LIFESTENT 6X80,"$4,741.50"
LIFESTENT 6X100,"$4,741.50"
LIFESTENT 6X120,"$5,725.50"
LIFESTENT 6X150,"$6,851.75"
ALTRUA 60 DDDR IS-1,"$11,141.75"
MEDTRONIC DES,"$2,275.00"
VACUTAPE RADIOPAQUE TAPE,$96.00
SUPER SHEATHS 5FR/11CM/RO MARK,$71.00
SUPER SHEATH 6FR/11CM/RO MARK,$71.00
TORQUES VISES .025-.038,$13.50
.035X180 STIFF STRAIGHT WIRE,$108.25
ARTERIAL MECH THROMBECTOMY,"$4,048.00"
ART MECH THROMBECTOMY ADTL VES,"$4,048.00"
2ND ART MEC THROMBECTOMY ADDON,"$4,048.00"
5 FR KIMNEY RADIAL CATHETER,$21.75
KINETIX .014 GW J TIP 185CM,$194.75
LIFESTENT 7X40X130,"$2,128.25"
LIFESTENT 7X80X130,"$3,250.75"
PTA BALLOON CATH 8MMX2CMX80CM,$536.00
DOR PTA BAL DIL CATH 5X4X135,$536.00
DOR PTA BAL DIL CATH 5X10X135,$536.00
ANGIOSCULPT CORONARY EX BALLOO,"$1,211.00"
ST JUDE PACEMAKER LEAD,"$1,290.25"
ZUMA GUIDE CATHETER 6 FR,$105.25
CLOSURE DEVICE PERCLOSE,$496.00
ASAHI GRNDSLM WIRE .014 300CM,$181.75
HEMOSTATIC CLOSURE DEVICE,$113.25
ALTRUA DUAL CHAMBER PACER GENR,"$10,413.50"
INSERT 1 ELECTRODE PM-DEFIB,"$18,213.25"
DIAGNOSITC CORONARY CATHETER,$20.25
VENOGRAM EXTR;UNIL S&I,"$1,471.25"
RIGHT HEART CATH,"$8,588.50"
CORONARY ARTERY ANGIO S&I,"$8,772.25"
L HRT ARTERY/VENTRICLE ANGIO,"$8,667.00"
R&L HRT ART/VENTRICLE ANGIO,"$8,772.25"
INJECT R VENTR/ATRIAL ANGIO,"$5,187.75"
LEFT HRT CATH W/VENTRICLGRPHY,"$5,187.75"
INJECT SUPPVLV AORTOGRAPHY,"$3,855.25"
R HRT CORONARY ARTERY ANGIO,"$8,677.25"
R&L HRT CATH W/VENTRICLGRPHY,"$5,187.75"
R HRT ART/GRFT ANGIO,"$5,187.75"
R&L HRT ART/VENTRICLE ANGIO,"$6,962.00"
L HRT ART/GRFT ANGIO,"$8,258.50"
CORONARY ART/GRFT ANGIO S&I,"$8,772.25"
DRUG ADMIN & HEMODYNMIC ME,$248.50
INS TUNNELED CV CATH AGE 5/>,"$2,046.50"
SC/DC ICD GEN CHGE;INSERT,"$44,524.00"
FEM/POPL REVAS W/PTA,"$12,876.25"
FEM/POPL REVASC W/STENT,"$26,756.50"
TIB/PER REVASC STENT & ATHER,"$40,971.75"
ILIAC REVASC W/STENT ADD-ON,"$26,756.50"
TIB/PER REVASC W/TLA,"$26,756.50"
TIB/PER REVASC ADD-ON,"$26,756.50"
FEM/POPL REVASC STNT & ATHER,"$40,971.75"
ILIAC REVASC,"$12,876.25"
TIB/PER REVASC STNT & ATHER,"$37,247.00"
ILIAC REVASC ADD-ON,"$11,705.75"
REVSC OPN/PRQ TIB/PERO STENT,"$37,247.00"
TIB/PER REVASC W/STENT,"$40,971.75"
ILIAC REVASC W/STENT,"$26,756.50"
TRLUML PERIP ATHRC BRCHIOCPH,"$13,242.75"
TRLUML PERIP ATHRC VISCERAL,"$13,242.75"
TIB/PER REVASC W/ATHER,"$40,971.75"
FEM/POPL REVASC W/ATHER,"$26,756.50"
TRLUML PERIP ATHRC ABD AORTA,"$14,600.25"
TIBPER REVASC W/ATHER ADD-ON,"$40,971.75"
TRLUML PERIP ATHRC RENAL ART,"$13,242.75"
TRLUML PERIP ATHRC ILIAC ART,"$13,242.75"
EP INTRA FIX-CUR GUI INTR/SHE,$157.25
INTRO/SHEATH NON-LASER STIFF,$86.25
IMPL DUAL CHAMB RR PACEMAKER,"$8,518.75"
OTHER PACEMAKER LEAD,"$1,433.50"
ST JUDE ANTHEM RF CRT PM#3210,"$12,842.75"
INTRO/SHEATH RADIAL ACCESS KIT,$86.25
SQ REM SC/DC ICD GENERATOR,"$4,965.00"
AICD DUAL CHAMBER/MEDTRONIC,"$32,351.50"
AICD OTHER THAN SING/DUAL/MED,"$36,719.50"
AICD SINGLE CHAMBER/MEDTRONIC,"$27,415.75"
AAI PACER INSERt ATRIAL LEAD,"$26,996.75"
6FR SHEATH 45CM TERUMO IVR,$253.00
"BS WIRE, 0.018 X 260CM PLAT",$152.00
5 FR JACKY RADIAL,$105.25
BIV PM CONSULTRA  CRT-P C4TR01,"$12,195.75"
EP EVAL CD; W GENERATOR TEST,$643.00
CATHETER SWAN 5 FR SWAN GANZ,$49.50
INTEGRITY BM STENT,$908.75
BS MUSTANG BALLOONS 20-100MM,$401.00
FORTIFY VR CD1231,"$25,720.00"
MINNIE CROSS CATHETER,$235.25
ST JUDE ICD DUAL COIL LEADS,"$6,919.50"
REMV&REPLC CVD GEN MULT LEAD,"$72,568.75"
REMV&REPLC CVD GEN DUAL LEAD,"$72,568.75"
REMV&REPLC CVD GEN SING LEAD,"$72,568.75"
INS CATH REN ART 2ND+ BILAT,"$13,602.50"
INS CATH REN ART 1ST BILAT,"$13,602.50"
INS CATH REN ART 2ND+ UNIL LT,"$6,801.00"
INS CATH REN ART 2ND+ UNIL RT,"$6,801.00"
INS CATH REN ART 1ST UNIL LT,"$8,229.00"
ST JUDE ICD SINGLE COIL LEADS,"$6,919.50"
INS CATH REN ART 1ST UNIL RT,"$8,229.00"
ST JUDE FORTIFY DR ICD CD2231,"$29,214.75"
REMV&REPLC PM GEN MULT LEADS,"$23,778.00"
REMV&REPLC PM GEN DUAL LEAD,"$21,616.25"
REMOVE&REPLACE PM GEN SINGL,"$19,723.75"
IOBAN 13X13,$10.00
UPGRADE IMPL PACEMKR; SC TO DC,"$28,960.00"
INSRT PULSE GEN W/DUAL LEADS,"$72,568.75"
INSRT PULSE GEN W/MULT LEADS,"$72,568.75"
CATHETER GUIDING/MEDTRONIC,$576.25
ATTAIN CATHETER DELIVERY SYS,$880.75
MEDTRONIC VENOGRAM BALLOON CAT,$182.50
SPRINT QUATTRO SECURE LEAD,"$7,358.25"
SPRINT QUATTRO SECURE S LEAD,"$7,358.75"
MEDTRONIC COUGAR GUIDEWIRE,$237.75
UNIVERSAL II SLITTER,$41.25
TRANSVALVULAR INSERTION TOOL,$43.50
MEDTRONIC  LV LEADS,"$3,324.00"
SAFESHEATH SEALING ADAPTER,$98.50
ST JUDE LV LEAD,"$5,521.75"
ST JUDE LV LEAD QUARTET,"$6,919.50"
ST JUDE CPS COURIER,$157.00
ST JUDE UNIFY QUADRA CRT,"$40,187.75"
CPS DIRECT SL II,$864.00
ST JUDE CPS AIM SL,$592.75
ST JUDE VENOGRAPHY BALLOON CAT,$191.75
ATTAIN HYBRID GUIDE WIRE,$328.00
ST JUDE SLITTER (SLII),$91.00
ST JUDE WRENCH KIT,$64.00
EV3 TURBOHAWK PLAQUE EXC SYS,"$4,659.25"
BS EPIC VAS SELF-EXP STENT SYS,"$1,730.75"
COMP EP EVAL WO A INDUCTION,"$10,714.50"
COMP EP EVAL W INDUCTION,"$13,278.50"
ICC ABLATION AV NODE,"$12,964.50"
INTRACARDIAC ECG AT OP,$478.00
MAP TACHYCARDIA ADD-ON,$750.00
STIM & PACING S/P IV DRUGS,$725.50
COMP EP EVAL W LV RECORDING,$511.50
COMP EP EVAL W RA RECORDING,$381.25
CATH EP 19 OR FEW ELECT,$260.50
CATH EP 19 OR FEW ELECT DIR,$732.00
CATH EP 19 OR FEW ELECT QUAD,$267.00
CATH EP 20 OR MORE ELEC,"$1,797.25"
CATH EP OTHR THAN COOL-TIP,"$1,597.50"
CATH EP OTHR THAN COOL-TIP BS,"$2,163.25"
EP INTRA FIX-CUR GUID INTR/SH,$356.00
B/S EP CABLES,$434.25
ST JUDE EP CABLE,$330.00
AICD DUAL CHAMBER B/S ENERGEN,"$27,956.75"
B/S RELIANCE GORE COIL LEAD,"$7,322.00"
B/S GROUND PAD,$29.00
INTRA-ATRIAL RECORDING,"$13,070.00"
RIGHT VENTRICULAR RECORDING,"$2,263.00"
BUNDLE OF HIS RECORDING,"$13,070.00"
INTRA-ATRIAL PACING,"$13,070.00"
INTRAVENTRICULAR PACING,"$13,070.00"
AICD SINGLE CHAMBER B/S ENERGE,"$27,956.75"
B/S LV LEAD CORONARY VENUS,"$7,508.25"
CATH EP 19 OR FEW ELECT BW,"$1,254.00"
BIOSENSE WEBSTER CABLES,$425.50
ST JUDE EP TUBING SET,$173.75
B/S INGENIO SR,"$7,654.75"
TRANSLUM ANGIOPL NON-LAS CATH,$286.50
CATHETER OCCLUSION B/S,$87.00
CATHETER GUIDING B/S,$990.00
CATH EP COOL-TIP/ST JUDE MED,"$1,996.75"
IMPL DUAL CHAMB RR PACER/BS,"$8,625.00"
AICD DUAL CHAMBER/SJ MEDICAL,"$27,098.00"
AICD SINGLE CHAMBER/SJ MEDICAL,"$23,936.25"
GUIDE WIRE B/S,$243.00
SJM/ENSITE NAVX SURF ELEC KIT,"$1,391.25"
TELFA ISLAND DRESSING KENDALL,$2.25
EP EVAL CD; W PACING,"$2,384.25"
AICD OTHER THAN SING/DUAL,"$35,944.50"
ELECTROPHYS MAP 3D ADD-ON,"$1,778.00"
DRAGONFLY IMAGNG CATHETER,"$1,065.00"
GUIDE WIRE/PRESSURE WIRE,$832.00
L HRT CATH TRNSPTL PUNCTURE,"$9,844.25"
POLYSORB SUTURES,$19.00
ICE XTRA CATHETER D0807031,"$3,128.50"
SJM TRANSSEPTAL NEEDLE,$416.75
SWARTZ SL TRANSSEPTAL GUIDE,$537.75
PLACE CATH SUBCLAVIAN ART,"$4,342.25"
PLACE CATH VERTEBRAL ART,"$7,101.25"
PRQ CARDIAC ANGIOPLAST 1 ART,"$11,304.50"
PRQ CARDIAC ANGIO ADDL ART,"$11,304.50"
PRQ CARD ANGIO/ATHRECT 1 ART,"$31,456.00"
PRQ CARD ANGIO/ATHRECT ADDL,"$9,342.50"
PRQ CARD STENT W/ANGIO 1 VSL,"$16,519.25"
PRQ CARD STENT W/ANGIO ADDL,"$16,519.25"
PRQ REVASC BYP GRAFT 1 VSL,"$16,519.25"
PRQ REVASC BYP GRAFT ADDL,"$13,652.25"
PRQ CARD REVASC MI 1 VSL,"$16,519.25"
PRQ CARD REVASC CHRONIC 1VSL,"$15,017.50"
PRQ CARD REVASC CHRONIC ADDL,"$13,652.25"
EP & ABLATE SUPRAVENT ARRHYT,"$32,487.25"
EP & ABLATE VENTRIC TACHY,"$32,487.25"
ABLATE ARRHYTHMIA ADD ON,"$32,487.25"
TX ATRIAL FIB PULM VEIN ISOL,"$32,487.25"
TX L/R ATRIAL FIB ADDL,"$32,487.25"
ACUITY BREAK-AWAY INNER GUIDE,$338.75
ANGIOSCULPT PERIPHERAL BALLOON,"$1,298.00"
SJM/SAFIRE BLU DUO A088109,"$2,795.75"
PERC DRUG-EL COR STENT SING,"$27,777.75"
PERC DRUG-EL COR STENT BRAN,"$27,777.75"
PERC D-E COR REVASC T CABG S,"$27,777.75"
PERC D-E COR REVASC T CABG B,"$25,252.50"
PERC D-E COR REVASC W AMI S,"$27,777.75"
PERC D-E COR REVASC CHRO SIN,"$27,777.75"
PERC D-E COR REVASC CHRO ADD,"$22,956.75"
CATH EP 19 OR FEW ELECT AFOCUS,"$1,324.50"
STENT NON-COA/NON-COV W/DEL,"$1,730.75"
CATHETER GUIDING/CORDIS,$211.75
B/S CATH GUIDE 6F RDC PERIP,$166.75
EMBOLIZ PROTECT SYS,"$1,730.75"
GUIDE WIRE/ABBOTT VAS,$315.00
WRISTSPLINT/VAS SOL,$59.75
STERILE SLEEVE/MEDTRONIC,$31.25
GUIDE WIRE/ANGIO DYNAMICS,$25.75
CATHETER GUIDING/ARROW,$75.25
REM SC/DC ICD LEAD; TV EXTRACT,"$5,214.25"
EP STEERABLE GUID INTRO/SHEATH,"$2,203.00"
CATHETER GUIDING/ANGIODYNAMICS,$136.50
CATHETER GUIDING/ANGIODYNAMICS,$37.75
STENT COAT/COV W/DEL SYS/ATRIU,"$5,354.00"
STENT NONCOA/NON-COV W/DEL/EV3,"$2,691.50"
CATHETER GUIDING/EV3,$409.25
GUIDE WIRE/TERUMO,$607.50
IVC/SVC CATH,"$3,050.00"
1SR ORDER VENOUS,"$3,050.00"
2ND / 3RD ORDER VENOUS,"$3,947.75"
CATH THOR AORTA IMG ARCH/NECK,"$5,753.00"
CATH CAROTID/INOM ART IMG EXTR,"$7,285.25"
CATH CAROTID/INOM ART IMG INTR,"$7,285.25"
CATH INTERNAL CAROTID IMG INTR,"$8,804.50"
CATH EXT CAROTID ART IMG EXTR,"$1,302.25"
CATH INTRACRANIAL ART W/IMAG,"$1,608.00"
EA ADDL ABD AORTA,"$5,292.75"
CVC NON TUNNELED >= 5YEAR,"$2,046.50"
REPAIR CVP,$804.25
