CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
1960,PATELLA  38MM 96-0112 DEPUY,"$3,080.25 "
1961,TRAY 129435140 DEPUY ORTHO,"$25,982.77 "
1962,FEMORAL COMP 960082 DEPUY ORTHO,"$28,698.30 "
1963,STEM 867420 DEPUY ORTHO,"$8,584.88 "
1964,CUP BIOMET #11-165230,"$2,925.00 "
1965,SCREW 2.0 X 18MM  #201.818,$145.94 
1966,SCREW #201.814,$145.94 
1967,SCREW #201.812,$167.22 
1968,SCREW #201.648,$216.00 
1969,SCREW #201.644,$233.28 
1970,SCREW #201.642,$216.00 
1971,MESH PARIETEX #PC012X,"$1,742.80 "
1972,TUBE EAR #1056016,$68.76 
1973,SCREW #815355040,$471.96 
1974,DERMABOND ADHESIVE,$74.61 
1975,METAGLENE 1307-60-000 DEPUY,"$6,051.96 "
1976,SCREW #1307-90-042,$570.96 
1977,SCREW #1307-90-024,$753.75 
1978,SCREW #1307-90-036,$570.73 
1979,GIENOSPHERE 42MM 1307-60-142 DEPUY,"$6,391.12 "
1980,ROD CARBON 350MM,"$1,174.50 "
1981,DRILL BIT #03.010.104,$762.75 
1982,SCREW #201.662,$249.08 
1983,SCREW #294.71,$378.00 
1984,SCREW #212.205,$754.06 
1985,SCREW #212.211,$658.13 
1986,SCREW SHOULDER REV   #320-20-18,$517.50 
1987,DRILL BIT 321-20-00 EXACTECH,"$1,743.75 "
1988,SCREW REV SHOULDER  LOCKING   #320-20-38,$517.50 
1989,SCREW #212.128,$563.62 
1990,SHELL 11-165220 BIOMET,"$2,925.00 "
1991,TRAY TIBIAL BIOMET #154725,"$7,875.00 "
1992,HEAD BIOMET 28MM  #163661,"$2,925.00 "
1993,CUP BIOMET #11-165214,"$2,925.00 "
1994,BRA COMPRESSION 40 #1019602 USE,$170.64 
1995,SCREW #214.032,$99.23 
1996,TIBIAL SLEEVE 45MM DEPUY,"$14,099.40 "
1997,STEM 16MM DEPUY,"$6,912.00 "
1998,STEM 20MM DEPUY,"$6,912.00 "
1999,MESH VENTRALIGHT 20X15 #5991520,"$4,511.25 "
2000,SCREW #04.005.426,$814.05 
2001,CAP END #04.001.002S,$901.13 
2002,BIOMET FEMUR #183128,"$10,912.50 "
2003,HEMOCLIP WECK #523300,$42.75 
2004,LIGACLIP SM #LT100,$32.08 
2005,SCREW #201.646,$249.08 
2006,SCREW #201.650,$216.00 
2007,K-WIRE #5601-0228,$135.00 
2008,DRILL BIT #5601-3200,"$1,125.00 "
2009,LAPAROSCOPIC INSTRUMENT POUCH #1018,$4.73 
2010,PLATE #222.658,"$7,060.50 "
2011,SCREW #212.201,$754.07 
2012,SCREW #202.012,$135.81 
2013,STAPLER VERSATACK #174023,"$1,015.65 "
2014,CORNEAL PROTECTOR # E5699,$32.22 
2015,TUBE SILICONE VENT,$50.31 
2016,STEM HUMERAL 300-01-11 EXACTECH,"$8,775.00 "
2017,SCREW #04.005.424S,"$1,009.13 "
2018,NAIL #04.001.228S,"$8,642.70 "
2019,CUP BIOMET #11-165218,"$2,925.00 "
2020,DEVICE ATTACHMENT 498.806S,"$8,751.38 "
2021,PLATE 9H VOLAR RT  #02.110.330,"$3,769.88 "
2022,SCREW #CO-3260,$400.50 
2023,PLATE #PLCL10LR,"$3,127.50 "
2024,LINER 40X56 1221-40-156 DEPUY,"$4,500.00 "
2025,HEAD 40 +1.5 1365-05-000 DEPUY,"$4,050.00 "
2026,PLATE #8141-31-109,"$5,012.46 "
2027,SHUNT CAROTID 8FR E2013-10,"$3,460.50 "
2028,BIOMET FEMUR #183073,"$10,912.50 "
2029,SCREW #1217-35-500,$337.50 
2030,CUP 121732062 DEPUY,"$5,400.00 "
2031,HEAD 142-28-00 EXACTECH,"$3,150.00 "
2032,ENDOPROSTHESIS 102-20-49,"$2,700.00 "
2033,NAIL ELASTIC #475.925S,"$1,542.38 "
2034,SCREW #AT2-M18-S,"$2,322.00 "
2035,MESH PARIETEX #PC09X,"$1,270.88 "
2036,BIOMET HEAD #12-139014,"$1,350.00 "
2037,BIOMET HEAD #12-39024,"$1,300.50 "
2038,SCREW #1307-90-030,$570.96 
2039,STEM DEPUY 130710000,"$6,387.75 "
2040,GLENOSPHERE 130760138 DEPUY,"$6,391.13 "
2041,GUIDE PIN 2307-87-004 DEPUY,$353.43 
2042,DRILL BIT #2307-90-005,$354.29 
2043,PIN LEGEND 2490-95-000 DEPUY,$904.50 
2044,POLY +3 130738203 DEPUY,"$4,560.75 "
2045,EPIPHYSIS SZ1 130720101 DEPUY,"$11,761.34 "
2046,PLATE #70-0036,"$3,312.00 "
2047,SLEEVE FEMORAL 129453246 DEPUY,"$14,126.40 "
2048,POST AUG 4MM 960866 DEPUY,"$4,419.90 "
2049,TRAY MBT 129435120,"$21,552.84 "
2050,INSERT TC3 SZ3 962343 DEPUY,"$15,370.87 "
2051,STEM 867428 DEPUY,"$7,619.40 "
2052,BIOMET FEMUR #183013,"$9,112.50 "
2053,DRILL BIT #829029070,$416.70 
2054,SCREW #8150-37-016,$123.12 
2055,SCREW #8150-37-018,$123.12 
2056,SCREW #8153-41-016,$165.46 
2057,SCREW #8150-37-032,$281.61 
2058,PLATE #8162-03-006,"$5,614.16 "
2059,DRILL BIT #214227070,$477.09 
2060,SCREW #816135038,$383.49 
2061,SCREW #816135046,$383.49 
2062,SCREW #8161-35-026,$383.49 
2063,ALLOMATRIX #86DR-0300 WRIGHT MEDICAL,"$4,365.00 "
2064,DRILL BIT #315.28,$519.75 
2065,COLLAR STOUT MIAMI J LARGE MJR200L,$616.45 
2066,SCREW #7207682,$920.57 
2067,PIN 909-14NS DISTRACTION 14MM  FRONTIER,$121.50 
2068,CATHETER POWERPORT#1808000,"$1,161.00 "
2069,LINER EP-105915 BIOMET,"$7,425.00 "
2070,BIOMET FEMUR #432165,"$11,943.00 "
2071,BIOMET BEARING #189046,"$4,050.00 "
2072,POST AUG 960908 DEPUY,"$4,419.90 "
2073,POST AUG 8MM 960902 DEPUY,"$4,168.80 "
2074,FEMORAL COMP 960084 5 LT DEPUY,"$26,030.70 "
2075,INSERT 962365 5X20 DEPUY,"$12,258.00 "
2076,LINER 40 X 60 122140160 DEPUY,"$4,500.00 "
2077,SCREW #121750500,$337.50 
2078,BIOMET FEMUR #183033,"$9,112.50 "
2079,STENT 6x26 #5616026,$216.00 
2080,MINI BIO-SUTURE KIT AR-1322DSC,$904.50 
2081,ZZZ SUTURE PROLENE 0-30  delete,$28.12 
2082,LINER 40X58 1221-40-158 DEPUY,"$7,200.00 "
2083,FALOPE KIT FRB-30,$391.50 
2084,SCREW #1515-50,$500.49 
2085,SCREW #1515-40,$502.97 
2086,GUIDE PIN 1401214 DEPUY,$551.40 
2087,SCREW 2.0MM X 8MM #201.638,$222.75 
2088,SCREW #201.640,$216.00 
2089,SLEEVE 29MM 129454000,"$16,037.77 "
2090,SUTURE PERMA 0 #C021D,$27.00 
2091,BIOSURE 7X20 72201771,$959.40 
2092,HEAD UNIPOLAR SZ 43 depuy,"$2,025.00 "
2093,STEM FEMORAL SZ 6 1570-01-120 DEPUY,"$11,250.00 "
2094,SCREW #214.752,"$1,134.00 "
2095,BIOMET BEARING #189122,"$4,050.00 "
2096,KIT TROCAR AND CANNULA #4216,$146.03 
2097,ENDO CLIP 5MM #176630,$720.13 
2098,HEAD 163660 BIOMET,"$2,925.00 "
2099,SOLYX #850-700,"$5,926.28 "
2100,CUP ACETABULAR,"$2,925.00 "
2101,SUTURE PDS #Z493G,$28.56 
2102,CUP BIOMET  #11-165210,"$3,360.00 "
2103,STEM BIOMET BIPOLAR 12-151309,"$4,950.00 "
2104,K-WIRE #DSDS-1009,$157.50 
2105,STEM 14MM  DEPUY 867414,"$8,582.62 "
2106,SLEEVE CULLY POROCOAT 1294-53-216,"$18,398.25 "
2107,SCREW #201.808,$145.94 
2108,SCREW #201.816,$180.23 
2109,ENDOCATCH GENICON MED 550-000-003,$183.33 
2110,ANCHOR TISSUE RETRIEVAL BAG 10MM,$382.50 
2111,MESH PROCEED #PVPM,"$1,955.70 "
2112,AUGMENT DISTAL SIGMA SZ2 4MM RIGHT,"$4,168.80 "
2113,FEMORAL SIGMA TC3 CEMENTED SZ 2 RIGHT,"$24,305.40 "
2114,AUGMENT DISTAL SIGMA SZ2 8MM RIGHT,"$4,168.80 "
2115,SCREW #217.065,$146.79 
2116,SUTURE MAXON 6-0 #SMM-5516,$18.23 
2117,STAPLER ABSORBATACK 30 #ABSTACK30,"$2,690.28 "
2118,FEMORAL HEAD 57.5MM LEFT BIOMET,"$10,912.50 "
2119,GUIDE LOCKING 3.5MM #MSLDG35,$657.00 
2120,SCREW #COL-3400,$513.00 
2121,STEM FEMORAL SZ 5 145MM DEPUY,"$5,928.75 "
2122,NEEDLE PAK 8670015,$606.06 
2123,GUIDEWIRE BLUNT 8670001,$236.34 
2124,CUP BIPOLAR ACETABULA BIOMET  #11-165208,"$2,475.00 "
2125,CABLE WITH TI CRIMP 1.7MMX750MM,"$2,210.63 "
2126,WIRE CERCLAGE 1.5MM,$308.79 
2127,BASEPLATE GLENOSPHERE SHOULDER 25 M BIOM,"$9,225.00 "
2128,AUGMENT DISTAL SZ4 10MM,"$5,269.50 "
2129,BIOSURE PK SCREW 7X20MM,"$1,057.50 "
2130,TFN NAIL 10MMX380MM,"$7,063.20 "
2131,CAP END 12MM 04.003.001S,$958.50 
2132,HEAD MODULAR 32MM + 6MM,"$2,925.00 "
2133,RESERVOIR 100 MIL 720185-01,"$9,621.00 "
2134,ANCHOR BIORAPTOR CURVED 2.3 # 2,"$1,498.50 "
2135,FEMORAL ROTATING HINGE RT XSM,"$26,738.10 "
2136,HEAD FEMORAL VERAMIC 36MM,"$5,400.00 "
2137,MACROPLASTIQUE IMPLANT (UROPLASTY)2.5ML,"$2,450.25 "
2138,UROPLASTY NEEDLE,$135.00 
2139,STAPLER MULTIFIRE RELOAD 35 NARROW,$77.40 
2140,STEM POROUS BIOMET 15X155 STD,"$9,562.50 "
2141,NAIL FEMORAL DEPUY 13MM X 38CM,"$5,301.86 "
2142,ENDCAP UNIVERSAL DEPUY,"$1,350.00 "
2143,SCREW #14022-42,$112.86 
2144,PLATE #70-0071,"$4,522.50 "
2145,SCREW #COL-3080,$513.00 
2146,PIN 2.8MM SOUTHERN ORTHO,$378.00 
2147,SCREW #CO-3400,$400.50 
2148,KIT PIN #K000-1288,"$1,503.00 "
2149,HEAD MODULAR 32MM BIOMET,"$2,925.00 "
2150,SCREW #PLSL3014,$922.50 
2151,SCREW #PLSL3010,$922.55 
2152,INSERT TC3 SIGMA SZ 5,"$15,370.87 "
2153,PLATE #70-0296,"$4,599.00 "
2154,PLATE #224.571,"$2,041.79 "
2155,PLATE #224.601,"$2,457.00 "
2156,STAPLER EGIAUSTND ENDO use 11070594,$521.91 
2157,RELOAD PURPLE 60 (EGIA60AMT),"$1,225.35 "
2158,GUIDE PIN 3.2X320MM BIOMET,$715.50 
2159,SCREW #14-405046,"$1,064.34 "
2160,CAPSTON 10X26MM,"$14,320.80 "
2161,SCREW #815355060,$471.96 
2162,AUGMENTATION POSTERIOR COMBO 8MM,"$4,419.90 "
2163,INSERT TC3 SX 2.5MM DEPUY,"$12,258.00 "
2164,STEM UNIVERSAL FLUTED REVISION DEPUY,"$6,390.90 "
2165,FEMORAL TC3 2.5MM LEFT DEPUY,"$26,030.70 "
2166,AUGENTATION POSTERIOR COMBO 8MM LT,"$4,419.90 "
2167,SCREW #COT-2310,$535.50 
2168,HEAD BIPOLAR SELF CENTERING,"$2,700.00 "
2169,SCREW #1020-90,$589.10 
2170,PLATE #70-0297,"$5,625.00 "
2171,FEMORAL COMPONENT DISTAL XSM,"$47,813.22 "
2172,BLADE BEAVER #0696375910,$69.71 
2173,PLATE #02.112.084,"$4,629.15 "
2174,HEAD BIPOLAR 1035-47-000,"$2,700.00 "
2175,STEM FEMORAL  DEPUY SIZE 4 #1570-05-100,"$6,750.00 "
2176,IMPLANT IFUSE 7.0X45MML,"$17,662.50 "
2177,IMPLANT IFUSE 7.0X40MML,"$17,775.00 "
2178,DRILL BIT #500076,"$2,344.50 "
2179,PINK STEINMANN 3.2MM SI BONE,$234.00 
2180,PINK PUSH 32MM SI BONE,$432.00 
2181,CAPS WHITE (FOR SYNTHES SCREW),$18.23 
2182,PLATE #226.601,"$2,845.13 "
2183,NECK MODULAR PROFEMUR PLUS SHORT/NEU,$900.00 
2184,SCREW #1808-0300,$643.50 
2185,PLATE #02.112.083,"$4,843.80 "
2186,SCREW #14022-40,$112.86 
2187,SCREW #1515-55,$502.97 
2188,SCREW #1515-60,$502.97 
2189,BLADE SAW #6221-137-090,$222.52 
2190,BLADE SAW #6125-119-090,$222.52 
2191,MESH FLEX HD #472225,"$73,832.85 "
2192,CATHETER HEMODIA  #CS-15282-VSP 23CM,"$1,353.92 "
2193,FIBER OPTIC LIGHT PANEL #88-1006K VM,$353.26 
2194,DRILL BIT SHORT DISTAL 4.3MM,$582.75 
2195,NAIL #8145-11-400,"$8,505.00 "
2196,SCREW #8145-10-105,"$2,362.50 "
2197,DISTRATION PINS 12MM,$121.50 
2198,SUTURE PROLENE 2-0 #8533H,$34.16 
2199,NAIL #8146-11-360,"$8,505.00 "
2200,SCREW #8153-08-085,$825.30 
2201,NECK PROFEMUR PLUS,$900.00 
2202,BLADE SAW #6113-119-090,$222.52 
2203,Y-CONNECTOR CHANNEL ADAPTER 100137,$26.78 
2204,SCREW #HCA-L5335-S,$846.00 
2205,STEM TL SZ 4 PROFEMUR,"$7,483.50 "
2206,ADAPTER BIPOLAR GLADIATOR GLBP-2843,"$5,180.00 "
2207,LINER CONSTRAINED SZ 23MM,"$18,427.50 "
2208,PLATE #242.07,$459.00 
2209,SCREW #201.810,$145.94 
2210,TIBIAL VERSANAIL 11MMX34.5CM,"$4,212.59 "
2211,SCREW #1515-70,$500.27 
2212,SCREW #14022-46,$112.86 
2213,SCREW #202.022,$135.81 
2214,LENS TORIC #SN6AT9,"$2,124.00 "
2215,LENS TORIC #SN6AT6,"$2,124.00 "
2216,CUP ACETABULAR SZ 23X54MM BIOMET,"$9,000.00 "
2217,DRILL BIT #14-440041,"$1,151.28 "
2218,SCREW #14-405038,"$1,064.34 "
2219,SCREW #14-405024,"$1,064.34 "
2220,SCREW #14-405065,"$1,064.34 "
2221,BOLT LOCKING SYNTHES 28MM,"$1,111.73 "
2222,PLATE #02.124.205,"$6,473.25 "
2223,SCREW #212.328,$635.85 
2224,SCREW #212.329,$617.63 
2225,KYPHON FIRST FRACT KIT KPX153RB,"$12,581.87 "
2226,KYPHON 1ST FRACTURE KIT KPX203RB,"$12,581.86 "
2227,LENS TECNIS #ZCB00,$603.00 
2228,FEMUR POSTERIOR SZ 2.5 LT,"$6,300.00 "
2229,PUTTY DBM ACCELL EV03 2.5CC,"$3,204.00 "
2230,NAIL #8145-11-180,"$5,985.00 "
2231,SCREW #8145-10-100,"$2,362.50 "
2232,SCREW #8145-50-036,$661.50 
2233,PLATE #249.926,"$1,611.90 "
2234,TOURNIQUET XL STRYKER,$133.47 
2235,LINER HUMERAL SHOULDER +0MM,"$3,600.00 "
2236,HEAD MODULAR TAPERED,"$8,316.00 "
2237,HEAD CERAMIC FEMORAL REV 040MM +8.5,"$9,825.30 "
2238,TOURNIQUET 12  STERILE,$168.57 
2239,SCREW #1307-70-018,$450.00 
2240,CUP HUMERAL STANDARD 38/+6,"$4,560.75 "
2241,DRILL BIT #72203160,$702.00 
2242,STEM PRESSFIT SZ 8 DEPUY,"$6,750.00 "
2243,HIP BALL MODULAR DEPUY,"$2,025.00 "
2244,TROCAR NONBLADED12MM #CTF73,$121.50 
2245,TROCAR NONBLADED 5MM  #CTF03,$76.50 
2246,SLEEVE 12MM #CTS22,$60.75 
2247,SCREW #1020-80,$589.10 
2248,HEAD MODULAR 36MM BIOMET THA,"$2,925.00 "
2249,SCREW HEADLESS MICRO 16MM  #AT2-C16-S,"$2,322.00 "
2250,PLATE #70-0287,"$4,599.00 "
2251,BIPOLAR GLADIATOR 46MM WRIGHT MEDICAL,"$5,535.00 "
2252,ADAPTER HUMERAL REVERSE SHOULDER +5MM,"$8,100.00 "
2253,STRAP ANKLE FOOT DISTRACTOR,$140.71 
2254,INSERT TC3 SIGMA RP SZ 5 DEPUY,"$15,370.88 "
2255,REV POSTERIOR AUG 4MM #960906,"$4,419.90 "
2256,REV MBT 5 #129435150,"$25,982.33 "
2257,REV SLEEVE DEPUY 129454120,"$16,037.78 "
2258,REV POST AUG 960908 DEPUY,"$5,437.58 "
2259,REV ADAPTER 5 #960781,"$10,796.17 "
2260,REV BOLT FEMORAL  #96-0784,"$1,629.22 "
2261,REV SLEEVE FEMORAL 129453246 DEPUY,"$18,398.25 "
2262,PLATE #70-0356,"$4,869.00 "
2263,SCREW #COS-2322,$486.00 
2264,REV STEM 16MM DEPUY,"$8,584.88 "
2265,REV SLEEVE 37 #129454100,"$16,037.77 "
2266,TIBIAL INSERT ROTATING PLATFORM 4 12.5MM,"$5,400.00 "
2267,ORTHOCORD SUTURE DEPUY MITEK 223104,$171.00 
2268,SCREW #10-01-6545-1,"$7,065.00 "
2269,STEM PRIM MINI REV SHOULDER 10X83 LONG,"$17,100.00 "
2270,BEARING HUMER STD REVER SHOULDER 44-36CU,"$4,500.00 "
2271,REVISION DRILL BIT 3.2MM,$661.50 
2272,REVISION PIN 32MM 9 INCH STEINMANN,$570.50 
2273,REVISON  DRILL 2.7MM PERIPHERAL SCREW,$841.50 
2274,REV BASEPLATE GLENOID 28MM BILL ONLY,"$9,000.00 "
2275,REVISION COMPONENT GLENOSPHERE 115310,"$7,542.00 "
2276,REVISION ADAPTER HUMERAL #118001,"$1,008.00 "
2277,SCREW #8145-10-095,"$2,362.50 "
2278,NAIL #8146-11-380,"$8,505.00 "
2279,SCREW #10-01-6550-1,"$7,065.00 "
2280,TROCAR NONBLADED BLUNT 12MM #COR47,$121.50 
2281,SHAVER BONECUTTER ELECTROBLADE 4.5,"$1,440.00 "
2282,SCREW #8161-35-042,$383.49 
2283,PLATE #14355-7,$266.76 
2284,SCREW #8150-37-036,$203.94 
2285,SCREW #8161-35-032,$383.49 
2286,PLATE #8162-02-006,"$5,614.15 "
2287,SHELL ACETABULAR PINNACLE 60MM,"$5,400.00 "
2288,VERSANAIL #1813-13-340 DEPUY,"$5,301.86 "
2289,SCREW #212.203,$658.13 
2290,REV DRILL BIT 2.3 CURVED SMITH & NEPHEW,$702.00 
2291,STEM #3 TL WRIGHT MEDICAL,"$7,483.50 "
2292,HEAD 28MM X 3.5MM WRIGHT MEDICAL,"$3,825.00 "
2293,ADAPTER BIPOLAR 45MM,"$5,827.50 "
2294,TUBING SMOKE NEPTUNE 3/8 X 10,$80.89 
2295,TROCAR 12MM  W/BALLOON,$607.37 
2296,HEAD FEMORAL REV CERAMIC BIOLOX 40MM,"$5,400.00 "
2297,HEAD CERAMIC FEMORAL REV 040MM +5,"$5,400.00 "
2298,RELOAD  STAPLE 60MM WHITE EGIA60AVM,$600.75 
2299,STEM 7TL WRIGHT MEDICAL,"$5,877.00 "
2300,GLADIATOR BIPOLAR IMPLANT,"$3,150.00 "
2301,SCREW #02.207.490,"$1,227.15 "
2302,HEAD FEMORAL CERAMIC 36MM,"$10,781.10 "
2303,REV AUG POST 4MM 960886 DEPUY,"$4,419.90 "
2304,REV STEM 867418 DEPUY,"$7,033.50 "
2305,SCREW FULL THREAD CONICAL 75MM,$707.67 
2306,PLATE 6H PROXIMAL TIBIAL SYNTHES,"$6,473.25 "
2307,SCREW #214.050,$99.23 
2308,RELOAD EGIA60AXT  BLACK,$684.85 
2309,SCREW 3.0MM CANNULATED LONG THREAD,$894.38 
2310,SCREW 1.5MM X 10MM MODULE SET,$156.92 
2311,SCREW 1.5MM X 11MM MODULE SET,$156.82 
2312,STAPLER ENDO GIA GREY RELOADS 30MM,$744.26 
2313,STAPLER ENDO GIA GREY RELOADS 45MM,"$1,003.77 "
2314,O-RINGS FOR TOURNIQUETS BLACK,$4.14 
2315,PLATE #70-0112,"$4,599.00 "
2316,DRILL BIT 1.1MM (J-LATCH),$382.86 
2317,PLATE #02.112.140,"$2,838.38 "
2318,SCREW #202.212,$533.25 
2319,SCREW #202.822,$162.00 
2320,TIBIAL INSERT CURVED 5X15MM,"$5,400.00 "
2321,FEMORAL POSTERIOR SZ 5 RT,"$6,300.00 "
2322,BLADE SINUS #1884006,$813.92 
2323,QUICKANCHOR SUPER PLUS DS,"$2,443.50 "
2324,NAIL RT 130*  #8145-13-380,"$8,505.00 "
2325,VERSANAIL TIBIAL NAIL 11MM X 36CM,"$4,212.59 "
2326,SCREW #14022-48,$112.86 
2327,BIPOLAR HEAD SZ 55MM 1035-55-000,"$2,700.00 "
2328,CATHETER THORACIC STD RT/ANGLE #36,$36.45 
2329,IMPLANT BREAST #350-4501BC,"$3,595.50 "
2330,LENS TORIC #SN6AT8,"$2,124.00 "
2331,STEM UNIVERSAL FLUTED 75MMX12MM REV,"$8,584.88 "
2332,SLEEVE UNIVERSAL FEMORAL FULL POROUS 34,"$14,126.40 "
2333,FEMORAL TC3 CEMENTED SZ 2.5RT REV,"$26,030.70 "
2334,STEM SPLINED KNEWW W/SCREW BIOMET,"$8,158.50 "
2335,SHELL BIOFOAM 54MM WRIGHT MEDICAL,"$11,074.50 "
2336,LINER XLPE WRIGHT MEDICAL,"$4,275.00 "
2337,HEAD CERAMIC 38MM,"$4,918.50 "
2338,SLEEVE NECK WRIGHT MEDICAL,$643.50 
2339,STEM 8 TK WRIGHT MEDICAL,"$7,483.50 "
2340,HUMERAL IMPLANT DELTA XTEND SZ 1,"$13,950.00 "
2341,HUMERAL CUP STANDARD DELTA XTEND DIA 42,"$4,500.00 "
2342,TRACH 8CFS CUFFLESS,$136.40 
2343,PLATE #02.112.136,"$2,754.00 "
2344,CUP ACETABULAR BIPOLAR 28MM,"$2,925.00 "
2345,ADAPTER HUMERAL REVERSE SHOULDER +10,"$8,629.20 "
2346,SCREW 6.5MM CANCELLOUS,$146.79 
2347,SCREW #217.055,$146.79 
2348,PLATE #70-0359,"$4,900.50 "
2349,STEM PRIMARY SHOULDER REVERSE,"$17,100.00 "
2350,PLATE #02.112.139,"$3,025.35 "
2351,GRAFTJACKET 4CMX4CM ULCER REPAIR,"$7,744.50 "
2352,GRAFTJACKET 4 X 8CM ULCER REPAIR,"$15,484.50 "
2353,SUTURE MAXON 2-0 #6269-51,$11.61 
2354,STEM FEMORAL SZ 6 DEPUY,"$11,250.00 "
2355,STEM FEMORAL SZ 2,"$6,750.00 "
2356,PLATE #70-0358,"$4,869.00 "
2357,SCREW PEG 2.3X16MM,$486.00 
2358,SCREW #COS-2320,$486.00 
2359,SCREW #02.211.026,$734.76 
2360,SCREW #02.211.028,$641.25 
2361,PLATE #02.111.631,"$4,498.88 "
2362,SCREW #02.210.112,$610.88 
2363,PIN BUTTRESS 1.8MM X 26MM,$611.55 
2364,FEMUR EVO 5 LEFT,"$7,776.00 "
2365,INSERT CS LEFT #5 10MM WRIGHT MEDICAL,"$6,025.50 "
2366,EVO CS 10MM 5 LEFT,"$6,075.00 "
2367,PLATE #PL-LEM7,"$5,107.50 "
2368,AUGMENT DISTAL SIGMA 4MM RIGHT SZ 5,"$4,419.90 "
2369,AUGMENT DISTAL SIGMA 8MM RIGHT SZ 5,"$5,437.58 "
2370,FEMORAL POSTERIOR CEMENTED SZ 4N LEFT,"$6,300.00 "
2371,BLADE SAW #6113-089-090,$222.53 
2372,BOLT SYNTHES 458.968S,"$1,029.38 "
2373,FEMUR  EVO 5R,"$6,750.00 "
2374,TIBIA EVO 5R WRIGHT MEDICAL,"$6,025.50 "
2375,INSERT 5R 10MM CR,"$5,638.50 "
2376,SCREW #02.210.114,$610.88 
2377,PIN VA BUTTRESS 16MM,$611.55 
2378,SCREW #02.210.120,$699.93 
2379,SCREW #HCA-5350-S,$846.00 
2380,PLATE #02.111.620,"$4,326.75 "
2381,NAIL 11/130 400MM LEFT   #456.421S,"$8,008.88 "
2382,KYPHON 15/3 ADDL FRACTURE KPXI53NB,"$8,722.40 "
2383,CUP ACETABULAR BIOMET 11-165224,"$2,925.00 "
2384,PLATE #02.111.641,"$5,232.60 "
2385,SCREW #212.223,$680.40 
2386,SCREW #212.224,$761.40 
2387,INSERT TC3 SZ 3,"$12,258.00 "
2388,NAIL HUMERAL 7.5 X250MM,"$8,305.88 "
2389,SCREW #207.618,"$1,077.30 "
2390,RV LEAD 5092-58CM,"$2,515.14 "
2391,TRACH 8.0MM XLT PROXIMAL CUFFED,$251.10 
2392,STEM SHOULDER 13MMX83MM BIOMET,"$17,100.00 "
2393,PIN STEINMAN 3.2MM,$234.00 
2394,PLATE #6-2-36,"$10,800.00 "
2395,DRILL BIT #2274-45-500,"$1,012.50 "
2396,SCREW #202.870,$194.40 
2397,FEMUR EVOLUTION EFSR-N3PL,"$8,185.50 "
2398,TIBIA EVOLUTION ETPK-N3SL,"$6,340.50 "
2399,STEM FEMORAL SZ 7,"$11,250.00 "
2400,GRAFTJACKET 4X7 #86STX4X07,"$14,715.00 "
2401,BONE WAX 2.5 GRAMS,$18.61 
2402,TIBIAL NAIL 10MM TI CANNULATED 330MM,"$6,550.88 "
2403,DRILL BIT #316-0014,"$1,485.00 "
2404,SCREW #8145-50-048,$661.50 
2405,END CAP 04.004.008S,$958.50 
2406,TIBIAL VERSANAIL 11MMX31.5CM,"$4,212.59 "
2407,HEAD VERSA DIAL SHOULDER,"$5,400.00 "
2408,GLENOID POST PT-II3950,"$2,475.00 "
2409,GLENOID BASE 113954,"$4,275.00 "
2410,MESH VENTRALEX #5950007,"$1,755.00 "
2411,MESH VENTRALEX #5950008,"$2,092.50 "
2412,MESH VENTRALEX #5950009,"$2,700.00 "
2413,SCREW #214.024,$99.23 
2414,SCREW #214.820,$110.16 
2415,SCREW #214.826,$96.17 
2416,FEMORAL COMP 4 LT,"$6,750.00 "
2417,TIBIA EVO ETPN4SL,"$6,025.50 "
2418,INSERT C/R EIC4-S10L,"$5,638.50 "
2419,SYRINGE 12MM DR WARD,$0.59 
2420,CAPSURE FIX 5076-52CM,"$2,250.00 "
2421,FEMORAL HINGE CEMENTED,"$28,636.20 "
2422,ENDO CATCH SINGLE INCIS(Inzii) CD003,$234.00 
2423,J-PLATE CLAVICLE LOCKING,"$4,599.00 "
2424,CABLE 1.0MMX750MM WITH CRIMP,"$2,529.00 "
2425,STEM SHOULDER PRIMARY MINI 9MMX83MM,"$17,100.00 "
2426,MESH PROLENE #SPMXXL,"$1,513.26 "
2427,DISTAL BICEPS REPAIR IMPLANT,"$5,692.50 "
2428,SCREW #8145-10-085,"$2,362.50 "
2429,SCREW #8145-50-038,$661.50 
2430,NAIL #8145-13-180,"$5,985.00 "
2431,DRILL SHORT STANDARD AT2-2515,"$1,233.00 "
2432,BAND KIT TENSION 90MM,"$1,206.00 "
2433,SCREW #458.956S,"$1,029.38 "
2434,END CAP GREY 5MM,"$1,340.55 "
2435,NAIL #04.013.548S,"$8,671.05 "
2436,BLADE TI #04.013.045,"$3,078.09 "
2437,PLATE VOLAR RADIUS WIDE,"$4,900.50 "
2438,ANCHOR 5.5MM DEPUY MITEK,"$2,466.00 "
2439,ANCHOR 6.5MM DEPUY MITEK,"$2,349.00 "
2440,PLATE #70-0357,"$4,869.00 "
2441,NAIL #8145-13-340,"$8,505.00 "
2442,SCREW #8145-50-042,$706.50 
2443,DRAPE COVER L/F SONOSITE,$32.81 
2444,END CAP METRONIC 7MM #6287741,"$3,849.30 "
2445,END CAP MEDTRONIC 6MM #6287641,"$3,849.30 "
2446,KYPHOPLASTY 1ST FACTURE KIT 10/3,"$12,578.72 "
