Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
2820219,ANZEMET(DOLASETRON)IM:12.5MG/0.63ML,$147.00,
2820220,ANZEMET(DOLASETRON)TAB:50MG,$467.00,
2820223,APRESAZIDE(HCTZ/hydrALAZINE)TAB:25/25,$24.00,
2820224,APRESOLINE (hydrALAZINE) SDV 20MG/ML,$89.00,
2820225,APRESOLINE (hydrALAZINE) TAB : 10MG,$24.00,
2820226,APRESOLINE (hydrALAZINE) TAB : 25MG,$24.00,
2820227,APRESOLINE (hydrALAZINE) TAB : 50MG,$24.00,
2820228,APRESOLINE (HYDRALAZINE) TAB : 100MG,$24.00,
2820229,AQUA MEPHYTON (VITAMIN K) INJ 1MG/0.5ML,$111.00,
2820230,PHYTONADIONE (VITAMIN K) INJ 10MG/ML,$132.00,
2820232,AQUAPHOR OINTMENT: 1.75 OZ,$153.00,
2820233,AQUASOL-A (VIT A)   5 ML,$303.00,
2820236,ARAVA(LEFLUNOMIDE)TAB:20MG,$47.00,
2820239,AREDIA (PAMIDRONATE) SDV 30MG,$1833.00,
2820243,ARICEPT(DONEPEZIL) TAB:5MG,$41.00,
2820244,*CHEMO ARIMIDEX (ANASTROZOLE) TAB : 1MG,$95.00,
2820247,ARISTOCORT (TRIAMCINOLONE) CREAM  0.1%,$123.00,
2820249,ARISTOSPAN(TRIAMCINOLONE)INJ:20 MG,$185.00,
2820251,ARTANE (TRIHEXYPHENIDYL) TAB: 2MG,$19.00,
2820252,ARTANE(TRIHEXYPHENIDYL) TAB: 5MG,$19.00,
2820253,ARTANE(TRIHEXYPHENIDYL)SEQUEL:5MG,$19.00,
2820254,ARTIFICIAL TEARS: 15ML,$192.00,
2820256,ASACOL (MESALAMINE) TAB: 400MG,$23.00,
2820259,ASCRIPTIN (ASA/CA CARB/MAG/ALH) TAB,$24.00,
2820260,ASCRIPTIN-AD (ASA/CA CARB/MAG/ALH) TAB,$24.00,
2820261,ASENDIN (AMOXAPINE) TAB : 25MG,$24.00,
2820262,ASENDIN (AMOXAPINE) TAB : 50MG,$24.00,
2820263,ASENDIN (AMOXAPINE) TAB : 100MG,$24.00,
2820264,ASENDIN (AMOXAPINE) TAB : 150MG,$24.00,
2820266,ASPERCREME    EA,$153.00,
2820267,ASPERGUM   1 BX,$24.00,
2820268,ASPIRIN (ASA) EC TAB:81MG,$19.00,
2820269,ASPIRIN (ASA) CHEWTAB: 81MG,$23.00,
2820270,ASPIRIN (ASA) SUPP:300MG,$39.00,
2820271,ASPIRIN(ASA) SUPP:600MG,$39.00,
2820272,ASPIRIN (ASA) TAB:325MG,$19.00,
2820273,ASPIRIN(ASA) TAB:650MG,$19.00,
2820276,ASTRAMORPH (MORPHINE PF) INJ:1MG / 2ML,$311.00,
2820277,ATROSEPT(METHENAMINE/PHEN SALIC/ATR)TAB,$24.00,
2820278,ATACAND(CANDESARTAN)TAB:16MG,$32.00,
2820279,ATACAND(CANDESARTAN)TAB:32MG,$32.00,
2820281,ATARAX (hydrOXYzine) SYRP : 10MG/5ML,$19.00,
2820282,ATARAX (hydrOXYzine) TAB : 10MG,$19.00,
2820283,ATARAX (hydrOXYzine) TAB : 25MG,$19.00,
2820284,ATARAX (HYDROXYZINE) TAB : 50MG,$19.00,
2820287,ATIVAN (LORazepam) SDV: 2MG/ML,$111.00,
2820288,ATIVAN (LORAZEPAM) SDV : 4MG/ML,$111.00,
2820289,ATIVAN (LORazepam) TAB : 0.5MG,$19.00,
2820290,ATIVAN (LORazepam) TAB : 1MG,$19.00,
2820291,ATIVAN (LORazepam) TAB : 2MG,$19.00,
2820292,ATROMID-S(CLOFIBRATE) CAP:500MG,$24.00,
2820293,ATROPINE INHAL/TREATMENT,$37.00,
2820295,ATROPINE OO:,$131.00,
2820296,ATROPINE INJ:.3MG,$120.00,
2820297,ATROPINE SDV: 0.4MG/ML,$132.00,
2820298,ATROPINE INJ: 1MG,$120.00,
2820299,ATROPINE INJ: 0.5MG,$132.00,
2820300,ATROPINE INJ:.1.2MG,$132.00,
2820301,ATROPINE SYRINGE:1MG/10ML,$121.00,
2820302,ATROVENT (IPRATROPIUM) MDI,$415.00,
2820304,ATROVENT(IPRATROP)NASAL SPRAY:0.03% 30ML,$493.00,
2820307,AUGMENTIN (AMOX/CLAV) SUSP 250/62.5/5ML,$32.00,
2820308,AUGMENTIN(AMOXICIL/POT CLAV) TAB 250MG,$32.00,
2820309,AUGMENTIN (AMOXICIL/POT CLAV) TAB 500MG,$32.00,
2820310,AUGMENTIN (AMOXICIL/POT CLAV) TAB 875MG,$49.00,
2820311,AURALGAN (ANTIPYRIN/BENZ) OTIC 15ML,$141.00,
2820313,AVANDIA (ROSIGLITAZONE) TAB : 2MG,$39.00,
2820314,AVANDIA (ROSIGLITAZONE) TAB : 4MG,$47.00,
2820315,AVAPRO (IRBESARTAN) TAB : 150MG,$18.00,
2820318,AVEENO ANTI-ITCH CREAM(PRAM?CALAM)1 OZ,$135.00,
2820319,AVEENO COLL OAT BATH EA,$125.00,
2820322,AVEENO LOT 240ML,$67.00,
2820324,AVITENE(MICROFIB COLLAGEN HEMOSTAT)0.5GM,$3701.00,
2820325,AVITENE(MICROFIB COLLAGEN HEMOSTAT) 1GM,$890.00,
2820326,AVITENE(MICROFIB COLLAGEN HEMOSTAT)WEB,$627.00,
2820329,AZACTAM (AZTREONAM) SDV: 0.5GM,$131.00,
2820330,AZACTAM (AZTREONAM) SDV: 1GM,$258.00,
2820331,AZACTAM (AZTREONAM) SDV: 2GM,$488.00,
2820332,AZMACORT(TRIAMCINOLONE) AERO:20GM,$559.00,
2820334,AZOPT (BRINZOLAMIDE) 1% OPTH SUSP: 10ML,$224.00,
2820335,AZULFIDINE (sulfaSALAzine) TAB:500MG,$24.00,
2820336,B&O 15A(OPIUM/BELLADONNA) SUPP:16/30,$79.00,
2820337,B&O 16A(OPIUM/BELLADONNA) SUPP:16/60,$99.00,
2820339,BACITRACIN INJ 50000 UNITS,$220.00,
2820340,BACITRACIN OINTMENT: 15GM,$141.00,
2820341,BACITRACIN ZINC PKT OINT:500UNITS/ 0.9GM,$25.00,
2820342,BACITRACIN OPHTHALMIC OINTMENT,$141.00,
2820344,BACTRIM DS (SULFMTZ/TMP) TAB:800MG/160MG,$30.00,
2820345,BACTRIM(SULFAMETH/TMP)SDV:400MG/80MG 5ML,$179.00,
2820346,BACTRIM (SULFMT/TMP)SDV:800MG/160MG 10ML,$285.00,
2820347,BACTRIM (SULFMTZ/TMP) TAB: 400MG/80MG,$30.00,
2820348,BACTRIM (SULFMTZ/TMP) 200/40 SUSP: 5ML,$30.00,
2820349,BACTROBAN (MUPIROCIN) 2% OINTMENT: 22GM,$132.00,
2820356,BAYGAM(IMMUNE GLOBULIN) SDV:2ML,$111.00,
2820357,BAZA (MICONAZOLE) CREAM: 57 GM,$141.00,
2820358,BAYHEP B (HEPATITIS B IMM GLOB) SYR:1ML,$541.00,
2820360,BAYTET (TETANUS IMM GLOB)SYR:250UNITS/ML,$592.00,
2820362,BECLOVENT(BECLOMETHASONE)MDI,$491.00,
2820363,BECONASE AQ (BECLOMETHASONE) SPRAY: 25GM,$555.00,
2820364,BECONASE(BECLOMETHASONE)NASAL INHALER,$522.00,
2820368,BEMINAL(VIT B):500 MG,$24.00,
2820369,BenGAY (METHYL SAL/MENTHOL) CREAM,$90.00,
2820370,BENADRYL (DiphendyDRAMINE) INJ : 25MG,$121.00,
2820371,BENADRYL (diphenhydrAMINE) INJ  50MG,$121.00,
2820372,BENADRYL (DiphenhyDRAMINE) INJ : 100MG,$121.00,
2820373,BENADRYL (DIPHENHYDRAMINE) SPY : 25MG,$75.00,
2820374,BENADRYL (diphenhydrAMINE) CAP  25MG,$19.00,
2820375,BENADRYL (diphenhydrAMINE) CAP : 50MG,$18.00,
2820376,BENADRYL (diphenhydrAMINE) ELX 25MG/10ML,$24.00,
2820377,BENADRYL (diphenhyDRAMINE) 2% CRM: 15GM,$153.00,
2820378,BENEMID (PROBENECID) TAB : 500MG,$24.00,
2820379,BENICAR (OLMESARTAN) TAB :20MG,$16.00,
2820380,BENTYL (DICYCLOMINE) IM : 20MG/2ML,$131.00,
2820381,BENTYL (DICYCLOMINE) CAP 10MG,$26.00,
2820382,BENTYL (DICYCLOMINE) TAB 20MG,$26.00,
2820383,BENTYL(DICYCLOMINE)SYRUP 10MG/5ML,$26.00,
2820384,BENADRYL(DIPHENHYD) LIQ:12.5MG/5ML (PSA),$24.00,
2820385,BENYLIN(GUAIFENESIN/DM)EXPECT:10ML,$24.00,
2820386,BENZOIN TINCTURE,$19.00,
2820387,BENZOYL PEROXIDE 5% GEL,$135.00,
2820389,BENZAC(BENZOYL PEROXIDE) GEL:5%,$260.00,
2820394,BETADINE(POVIDONE IODINE) DUCH 0.3% 240M,$101.00,
2820395,BETADINE(POVIDONE IODINE) VAG. CR.,$247.00,
2820396,BETADINE(POVIDONE IODINE) OINT 10% 3OG,$132.00,
2820397,BETADINE(POVIDONE IODINE) OINT UD PKT,$19.00,
2820398,BETADINE(POVIDONE IODINE) GAUZE PKT,$34.00,
2820399,BETADINE(POVIDONE IODINE) SOLN:300ML,$153.00,
2820400,BETADINE(POVIDONE IODINE) SCRB BRUSH,$387.00,
2820402,BETAGAN (LEVOBUNOLOL) 0.25% SOLN: 5ML,$265.00,
2820403,BETAGAN (LEVOBUNOLOL) 0.5% DROP: 10ML,$278.00,
2820404,BETAPACE AF (SOTALOL) TAB: 80MG,$33.00,
2820405,BETAPACE (SOTALOL) TAB:80MG,$24.00,
2820406,BETASERON(INTERFERON BETA-1B) INJ:0.3MG,$601.00,
2820407,BETOPTIC S (BETAXOLOL) OPTH SOLN 0.25%,$277.00,
2820408,BETOPTIC (BETAXOLOL) 0.5% OPTH SOLN,$277.00,
2820411,BIAXIN (CLARITHROMYCIN) TAB : 250MG,$49.00,
2820412,BIAXIN (CLARITHROMYCIN) TAB : 500MG,$57.00,
2820413,BIAXIN (CLARITHROMYCIN) SUSP : 125MG/5ML,$49.00,
2820415,BICILLIN CR(PEN G/PROC) INJ: 2.4MU,$405.00,
2820416,BICILLIN CR (pen G/PROC)INJ:1200000UNITS,$224.00,
2820417,BICILLIN CR (penicil G/PRO) SYR:600MU/ML,$121.00,
2820418,penicillin G BENZ (BIC LA) INJ  1.2MU,$404.00,
2820419,penicillin G BENZ (BIC LA) INJ  0.6MU,$121.00,
2820420,BICILLIN LA (pen G BENZATHINE)INJ: 2.4MU,$405.00,
2820421,BICITRA (SOD. CIT/CIT ACID) SOLN: 30ML,$19.00,
2820423,BILTRICIDE(PRAZIQUANTEL)TAB:600MG,$24.00,
2820427,BLEPH-10 (SULFACETAMIDE) 10% OPHTH DROP,$109.00,
2820428,BLEPHAMIDE(SULFACETAMIDE) 0.2% OPTH OINT,$161.00,
2820429,BLEPHAMIDE(SULFACET/PREDNISOL) OS:10/0.2,$123.00,
2820430,BLISTEX LIP BALM 4.5G,$27.00,
2820431,BLOCADREN(TIMOLOL)TAB  : 5 MG,$24.00,
2820432,BLOCADREN(TIMOLOL)TAB  : 10 MG,$24.00,
2820433,BLOCADREN(TIMOLOL)TAB  : 20 MG,$24.00,
2820438,BOTOX (BOTULINUM TOXIN) SDV: 1 UNIT,$266.00,
2820441,BRETHINE (TERBUTALINE) TAB: 2.5MG,$26.00,
2820442,BRETHINE (TERBUTALINE) INJ: 1MG/ML,$121.00,
2820443,BRETHINE (TERBUTALINE) TAB: 5MG,$26.00,
2820444,BREVITAL(METHOHEXITAL)INJ   :1 GM,$170.00,
2820450,BREVIBLOC (ESMOLOL) INJ: 100MG,$216.00,
2820451,BREVIBLOC(ESMOLOL)INJ: 2.5GM,$545.00,
2820452,BRICANYL (TERBUTALINE) INJ: 1 MG,$121.00,
2820459,BSS (BALANCED SALT SOLUT) SOLN:15ML,$164.00,
2820462,BUMEX (BUMETANIDE) INJ 0.5 MG / 2 ML,$89.00,
2820463,BUMEX (BUMETANIDE) INJ 2.5 MG / 10 ML,$224.00,
2820464,BUMEX (BUMETANIDE) TAB:2MG,$24.00,
2820465,BUMEX (BUMETANIDE) TAB:1MG,$24.00,
2820466,BUMEX(BUMETANIDE) TAB:0.5MG,$24.00,
2820467,BUSPAR (busPIRone) TAB: 10MG,$20.00,
2820468,BUSPAR (busPIRone) TAB: 5MG,$11.00,
2820479,CAFFEINE &SOD BENZOATE INJ 250MG/ML: 2ML,$99.00,
2820480,CALADRYL (CALAMINE/DIPHENHYD) LOT: 120ML,$90.00,
2820481,CALAMINE LOTION: 120ML,$90.00,
2820482,CALAN SR (VERAPAMIL SR) TAB: 120MG,$30.00,
2820483,CALAN SR (VERAPAMIL SR) TAB: 180MG,$30.00,
2820484,CALAN SR (VERAPAMIL SR) TAB: 240MG,$30.00,
2820486,CALAN (VERAPAMIL) TAB: 120MG,$30.00,
2820487,CALAN (VERAPAMIL) TAB: 80MG,$30.00,
2820488,CALAN (VERAPAMIL) TAB: 40MG,$30.00,
2820489,CALCET (CALCIUM/VITAMIN D) TAB,$24.00,
2820491,CALCIJEX (CALCITRIOL) INJ: 1MCG/ML,$255.00,
2820492,CALCIUM CARBONATE TAB: 650MG,$19.00,
2820493,CALCIUM CARBONATE LIQUID: 1250MG/5ML,$24.00,
2820494,CALCIUM CARBONATE TAB:1250MG,$24.00,
2820496,CALCIUM CHLORIDE 10% SYRN: 1GM/ 10ML,$120.00,
2820497,CALCIUM GLUBIONATE SYRUP : 1.8GM/5ML,$24.00,
2820498,CALCIUM GLUCONATE 10% SDV: 4.7MEQ/10ML,$96.00,
2820499,CALCIUM GLUCONATE INJ: 1 GM,$96.00,
2820500,CALCIUM GLUCONATE TAB: 650MG,$24.00,
2820501,CALCIUM LACTATE TAB : 650MG,$24.00,
2820503,CALMOSEPTINE (MENTHOL/ZINC/CALA)OINT:4OZ,$153.00,
2820509,CANCIDAS(CASPOFUNGIN)INJ:50MG,$1292.00,
2820511,CANCIDAS (CASPOFUNGIN) SDV 50MG,$1233.00,
2820512,CANCIDAS (CASPOFUNGIN) SDV 70MG,$1588.00,
2820514,CANTIL (MEPENZOLATE) TAB : 25MG,$19.00,
2820523,CAPOTEN (CAPTOPRIL) TAB: 12.5MG,$21.00,
2820524,CAPOTEN (CAPTOPRIL) TAB: 25MG,$21.00,
2820525,CAPOTEN(CAPTOPRIL) TAB:50MG,$21.00,
2820526,CAPOTEN(CAPTOPRIL) TAB:100MG,$21.00,
2820527,CAPOZIDE(CAPTOPRIL/HCTZ)TAB:25/15,$24.00,
2820528,CAPOZIDE(CAPTOPRIL/HCTZ)TAB:25/25,$24.00,
2820530,CAPOZIDE(CAPTOPRIL/HCTZ)TAB:50/25,$24.00,
2820532,CARAFATE (SUCRALFATE) SUSP: 1GM/10ML,$30.00,
2820533,CARAFATE (SUCRALFATE) TAB: 1GRAM,$30.00,
2820535,CARBENICILLIN INJ 2GM,$147.00,
2820537,CARBOCAINE(MEPIVACIANE) INJ: 1.5% :30ML,$120.00,
2820538,CORDARONE (AMIODARONE) INJ : 150MG,$560.00,
2820540,CARDENE (niCARdipine) CAP: 20MG,$19.00,
2820541,CARDENE (niCARdipine) CAP: 30MG,$19.00,
2820543,CARDIZEM (diltiaZEM) TAB: 90MG,$26.00,
2820544,CARDIZEM CD (diltiaZEM) CAPSULE: 120MG,$24.00,
2820545,CARDIZEM CD (diltiaZEM) CAPSULE: 180MG,$26.00,
2820546,CARDIZEM CD (diltiaZEM) CAPSULE: 240MG,$41.00,
2820547,CARDIZEM CD (diltiaZEM) CAPSULE: 300MG,$41.00,
2820548,CARDIZEM SR (DILTIAZEM) CAPSULE: 60MG,$26.00,
2820549,CARDIZEM SR (diltiaZEM) CAPSULE: 90MG,$26.00,
2820550,CARDIZEM SR(diltiaZEM) CAP:120MG,$26.00,
2820551,CARDIZEM (diltiaZEM) SDV 25MG/5ML,$234.00,
2820552,CARDIZEM (diltiaZEM) SDV 125MG/25ML,$444.00,
2820553,CARDIZEM (diltiaZEM) TAB: 30MG,$24.00,
2820554,CARDIZEM (diltiaZEM) TAB: 60MG,$24.00,
2820555,CARDURA (DOXAZOSIN) TAB: 2MG,$20.00,
2820556,CARDURA (DOXAZOSIN) TAB: 4MG,$20.00,
2820557,CARDURA(DOXAZOSIN) TAB:8MG,$20.00,
2820558,CARMOL-20 (UREA )CREAM:20%,$153.00,
2820560,CARNITOR (levOCARNitine) TAB: 330MG,$34.00,
2820566,CASTOR OIL 60ML,$24.00,
2820567,CATAPRES TTS-1 (cloNIDine) PATCH: 0.1MG,$98.00,
2820568,CATAPRES TTS-2 (cloNIDine) PATCH: 0.2MG,$98.00,
2820569,CATAPRES TTS-3 (cloNIDine) PATCH: 0.3MG,$98.00,
2820570,CATAPRES (cloNIDine) TAB: 0.1MG,$21.00,
2820571,CATAPRES (cloNIDine) TAB: 0.2MG,$21.00,
2820572,CATAPRES (cloNIDine) TAB: 0.3MG,$21.00,
2820583,CECLOR (CEFACLOR) SUSP : 125MG/5ML,$21.00,
2820585,CECLOR (CEFACLOR) SUSP : 250MG/5ML,$21.00,
2820587,CECLOR (CEFACLOR) CAP : 250MG,$21.00,
2820588,CECLOR (CEFACLOR) CAP: 500MG,$16.00,
2820591,CEFOBID(CEFOPERAZONE) INJ:1 GM,$275.00,
2820593,CEFOTAN (CEFOTETAN) SDV: 1GM,$304.00,
2820594,CEFOTAN (CEFOTETAN) SDV: 2GM,$509.00,
2820595,CEFTIN(CEFUROXIME) TAB:125MG,$24.00,
2820596,CEFTIN (CEFUROXIME) TAB: 250MG,$50.00,
2820597,CEFTIN (CEFUROXIME) TAB: 500MG,$90.00,
2820598,CEFIZOX(CEFTIZOXIME)INJ:1GM,$208.00,
2820599,CEFIZOX(CEFTIZOXIME)INJ:2GM,$306.00,
2820600,CEFZIL(CEFPROZIL)TAB:   125 MG,$24.00,
2820601,CELEBREX (CELECOXIB) CAPSULE: 100 MG,$12.00,
2820602,CELEBREX (CELECOXIB) CAPSULE: 200 MG,$21.00,
2820603,CELESTONE SOLUSPAN 6MG/1ML: 5ML VIAL,$182.00,
2820605,CELEXA (CITALOPRAM) TAB : 20MG,$16.00,
2820606,CELEXA (CITALOPRAM) TAB : 40MG,$16.00,
2820607,CELLCEPT (MYCOPHENOLATE) CAP:250MG,$44.00,
2820608,CENTRUM TABLET,$24.00,
2820610,CEPACOL(BENZOCAINE/MENT) LOZ: 15MG/3.6MG,$24.00,
2820612,CEPASTAT (PHENOL) LOZENGE: 29MG,$24.00,
2820613,CEPHULAC(LACTULOSE)RETEN ENEMA,$172.00,
2820614,CEPHULAC (LACTULOSE)SYRUP: 20GM /30ML,$27.00,
2820615,CEREBYX (FOSPHENYTOIN) SDV 100MG/2ML,$299.00,
2820619,CERUMENEX(TROLAMINE) OTIC DROPS,$131.00,
2820620,CERVIDIL 10MG INSERT: 10 MG/EA,$844.00,
2820621,CETACAINEV (BENZOCAINE) AERO SPRAY,$61.00,
2820622,CETAMIDE(SULFACETAMIDE)OPTH OINT,$185.00,
2820623,CETAPHIL CLEANSER: 4 OZ,$75.00,
2820624,CETAPHIL LOTION 240ML,$72.00,
2820626,CHAPSTICK TUBE: 1 EA,$24.00,
2820627,ACTIDOSE(CHARCOAL) IN SORBITOL:25GM/120M,$68.00,
2820631,CHERRY SYRUP,$24.00,
2820633,CHLORASEPTIC(BENZOCAINE/MENTHOL) LOZENGE,$29.00,
2820634,CHLORASEPTIC SPRAY: 6 OZ,$29.00,
2820642,CHLORTRIMETON(CHLORPHENIRAMINE) SYR :2MG,$24.00,
2820643,CHLOR-TRIMETON(CHLORPHENIRAMINE) TAB:4MG,$24.00,
2820647,CHOLEDYL(OXTRIPHYLLINE)TAB   :200 MG,$24.00,
2820648,CHROMAGEN FA(FERROUS FUMARATE/ASC/FA/B12,$19.00,
2820649,CHROMAGEN(FERROUS FUMARATE/C/B12)TAB,$19.00,
2820651,CHRONULAC (LACTULOSE)LIQUID :  20GM/30ML,$27.00,
2820653,CILOXAN (CIPROFLOXACIN) OPTH SOLN: 2.5ML,$317.00,
2820656,CIPRO HC (CIPROFLOXACIN/HC) OTIC: 10ML,$427.00,
2820657,CIPRO (CIPROFLOXACIN) SDV 200MG,$210.00,
2820658,CIPRO (CIPROFLOXACIN) SDV: 400MG/40ML,$419.00,
2820659,CIPRO (CIPROFLOXACIN) TAB 250MG,$32.00,
2820660,CIPRO (CIPROFLOXACIN) TAB 500MG,$60.00,
2820661,CIPRO(CIPROFLOXACIN) TAB:750MG,$67.00,
2820666,CITRACAL+D (CALCIUM 600MG +VIT D 400 IU),$24.00,
2820667,CITRATE OF MAGNESIUM 10 OZ,$29.00,
2820669,CITRUCEL(METHYLCELLULOSE)   19 gm,$24.00,
2820672,CLAFORAN(CEFOTAXIME) NICU:100MG/ML,$99.00,
2820673,CLAFORAN(CEFOTAXIME) SDV:500MG,$182.00,
2820674,CLAFORAN (CEFOTAXIME) SDV 1GM,$263.00,
2820675,CLAFORAN(CEFOTAXIME) SDV:2GM,$392.00,
2820676,CLARINEX (DESLORATADINE) TAB : 5MG,$11.00,
2820677,CLARITIN-D (LORATADINE/PSEUDO) TAB,$37.00,
2820678,CLARITIN (LORATADINE) TAB : 10MG,$37.00,
2820679,CLEOCIN (CLINDAMYCIN) GEL : 1%,$344.00,
2820680,CLEOCIN (CLINDAMYCIN) CAPSULE : 75MG,$39.00,
2820681,CLEOCIN (CLINDAMYCIN) CAP : 150MG,$39.00,
2820682,CLEOCIN (CLINDAMYCIN) 1% SOLUTION : 30ML,$273.00,
2820683,CLEOCIN (CLINDAMYCIN) 2% VAGINAL CREAM,$411.00,
2820684,CLEOCIN (CLINDAMYCIN) MDV 600MG/4ML,$413.00,
2820685,CLEOCIN (CLINDAMYCIN) MDV : 300MG/2ML,$138.00,
2820686,CLEOCIN (CLINDAMYCIN) MDV 900MG/6ML,$455.00,
2820688,CLINORIL (SULINDAC) TAB:150MG,$21.00,
2820689,CLINORIL(SULINDAC) TAB:200MG,$27.00,
2820693,COCAINE 4% SOLUTION: 4ML,$246.00,
2820695,CODEINE TBX:60MG/ML,$89.00,
2820697,CODEINE TAB : 30MG,$24.00,
2820699,COGENTIN (BENZTROPINE) SDV: 2MG/2ML,$111.00,
2820700,COGENTIN(BENZTROPINE) TAB:0.5MG,$20.00,
2820701,COGENTIN (BENZTROPINE) TAB: 1MG,$24.00,
2820702,COGENTIN(BENZTROPINE) TAB:2MG,$24.00,
2820704,COLACE (DOCUSATE SOD) CAP : 100MG,$19.00,
2820705,COLACE (DOCUSATE SOD) CAP : 250MG,$23.00,
2820706,COLACE (DOCUSATE SOD) SYRUP: 100MG/10ML,$19.00,
2820707,COLACE (DOCUSATE SOD) SYRP 60MG/15ML,$19.00,
2820708,COL-BENEMID (COLC/PROBEN) TAB :0.5/500MG,$24.00,
2820709,COLCHICINE SDV:1MG,$111.00,
2820710,COLCHICINE TAB:0.5MG,$24.00,
2820711,COLCHICINE (COLCRYS) TAB: 0.6MG,$24.00,
2820713,COLY-MYCIN M (COLISTIMETHATE)INJ : 150MG,$248.00,
2820714,COLYTE BOTTLE    EA,$196.00,
2820715,COMBIVENT (ALBUTE/IPRATRO) AERO: 15GM,$156.00,
2820716,COMBIVIR (ZIDOVUDINE/LAMIVUDINE) CAPSULE,$88.00,
2820718,COMPAZINE(PROCHLORPERAZINE) SDV:10MG/2ML,$132.00,
2820719,COMPAZINE (PROCHLORPERAZINE) SUPP:25MG,$38.00,
2820720,COMPAZINE (PROCHLORPERAZINE) SUPP: 5MG,$38.00,
2820721,COMPAZINE(PROCHLORPERAZINE) SUPP:2.5MG,$38.00,
2820722,COMPAZINE(PROCHLORPERAZINE) SYRP:5MG/5ML,$26.00,
2820723,COMPAZINE (PROCHLORPERAZINE) TAB:10MG,$26.00,
2820724,COMPAZINE (PROCHLORPERAZINE) TAB:5MG,$26.00,
2820725,COMPAZINE (PROCHLORPERAZINE) TAB:25MG,$26.00,
2820726,COMPLEAT-B 240ML,$39.00,
2820730,COMTAN (ENTACAPONE) TABLET: 200MG,$24.00,
2820732,CONSTANT-T(THEOPHYLLINE)TAB   300 MG,$20.00,
2820737,CORDARONE (AMIODARONE) INJ 150MG/3ML,$1119.00,
2820738,CORDARONE (AMIODARONE) TAB : 200MG,$67.00,
2820739,COREG (CARVEDILOL) TAB: 12.5MG,$24.00,
2820740,COREG (CARVEDILOL) TABLET: 25MG,$24.00,
2820741,COREG (CARVEDILOL) TAB: 3.125MG,$24.00,
2820742,COREG (CARVEDILOL) TABLET: 6.25 MG,$24.00,
2820743,CORGARD (NADOLOL) TABLET: 20MG,$24.00,
2820744,CORGARD (NADOLOL) TABLET: 40MG,$24.00,
2820745,CORGARD(NADOLOL) TAB:80MG,$24.00,
2820750,CORTEF (HYDROCORTISONE) TABLET: 10MG,$24.00,
2820751,CORTENEMA(HYDROCORTISONE) SOLN:100/60,$99.00,
2820754,CORTISONE ACETATE INJ 100MG\4ML,$120.00,
2820757,CORTISPORIN(NEO/BACI/POLY) OPH OINT:3.5G,$351.00,
2820758,CORTISPORIN(NEO/BACI/POLY/HC) ONT:15GM,$220.00,
2820759,CORTISPORIN (NEOM/POLY/HC) OPTH. DROPS,$255.00,
2820760,CORTISPORIN(NEOM/POLY/HC) OTIC SOLN:10ML,$275.00,
2820761,CORTISPORIN(NEOM/POLY/HC) OTIC SUSP 10ML,$291.00,
2820764,CORTROSYN(COSYNTROPIN) SDV:0.25MG,$1485.00,
2820765,CORVERT(IBUTILIDE) SDV:0.1MGM,$1487.00,
2820770,COSOPT(DORZOLAMIDE/TIMOLOL)OPH SOLN:10ML,$330.00,
2820771,COUMADIN PER PHARMACY,$0.00,
2820772,COUMADIN (WARFARIN) TAB 10MG,$26.00,
2820773,COUMADIN (WARFARIN) TAB 1MG,$26.00,
2820774,COUMADIN (WARFARIN) TAB 2.5MG,$26.00,
2820775,COUMADIN (WARFARIN) TAB 2MG,$26.00,
2820777,COUMADIN (WARFARIN) TAB 5MG,$26.00,
2820778,COUMADIN (WARFARIN) TAB 7.5MG,$26.00,
2820780,COZAAR (LOSARTAN) TAB 50MG,$21.00,
2820781,CREON PO 1 CAP,$24.00,
2820782,CRITIC-AID (ZINC OXIDE) SKIN PASTE,$153.00,
2820785,CUBICIN (DAPTOMYCIN) SDV : 500MG,$1573.00,
2820788,CYCLOCORT(AMCINONIDE)CREAM:0.1%   15 GM,$121.00,
2820789,CYCLOCORT(AMCINONIDE)LOTION: 0.1%,$153.00,
2820791,CYCLOGYL (CYCLOPENTOLATE) 1%: 2ML,$141.00,
2820792,CYCLOMYDRIL(CYCLOPENT/PHENYLEPH) OS: 2ML,$141.00,
2820795,CYMBALTA (DULoxetine) CAP 30MG,$39.00,
2820796,CYSTOSPAZ PO    EA,$24.00,
2820797,CYTOMEL TABLET:  25 MCG,$24.00,
2820798,CYTOMEL (LIOTHYRONINE) TABLET: 25 MCG,$24.00,
2820801,CYTOSAR-U(CYTARABINE) SDV:100MG,$220.00,
2820802,CYTOTEC (miSOPROStol) TAB: 100MCG,$19.00,
2820803,CYTOTEC (miSOPROStol) TAB: 25MCG,$19.00,
2820805,CYTOVENE (GANCICLOVIR) SDV:500MG,$532.00,
2820806,CYTOXAN(CYCLOPHOSPHAMIDE)TAB:25MG *CHEMO,$29.00,
2820807,CYTOXAN(CYCLOPHOSPHAMIDE)INJ:50MG *CHEMO,$192.00,
2820808,CYTOXAN(CYCLOPHOSPHAMIDE)INJ:500MG *CHEM,$617.00,
2820809,DEXTROSE 10%   5 ML,$153.00,
2820810,DEXTROSE 10%   250 ML,$194.00,
2820811,D10W 1000ML,$194.00,
