Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
"43752 Naso/oro-gastric tube placement, req physician's skill & fluoroscopic guidance",,254
43753 Gastric intubation & aspiration(s) therapeutic necessitating physician's skill,,129
"43754 Gastric intubation & aspiration, diagnostic; single specimen",,227
43755 Gastric intubation and aspiration diagnostic; collection of multiple frational specimens with,,382
"43756 Duodenal intubation & aspiration, diagnostic incl image guidance; single specimen",,345
43757 Duodenal intubation and aspiration diagnostic incl image guidance; collection of multiple frac,,515
43760 Change Gastrostomy Tube,,597
"43761 Repositioning of naso- or oro-gastric feeding tube, through the duodenum for enteric nutrition",,641
"43770 Laparoscopy, Gastric Restrictive procedure; placement of adjustable device",,6976
"43771 Laparoscopy, gastric restrictive procedure; revision of adjustable gastric device component on",,7896
43772 Laparoscopy gastric restrictive procedure; removal of adjustable gastric restrictive device,,5908
43773 Laparoscopy gastric restrictive procedure; removal & replacement of adjustable gastric device,,7887
"43774 Laparoscopy,surgical;removal of adjustable gastric device or subcutaneous port components",,5963
"43775 Laparoscopy, longitudinal gastrectomy",,8104
43800 Pyloroplasty,,5757
43810 Gastroduodenostomy,,6291
43820 Gastrojejunostomy; w/o vagotomy,,8274
"43825 Gastrojejunostomy; w/ vagotomy, any type",,7972
"43830 Gastrostomy, open; w/o construction of gastric tube",,4406
"43831 Gastrostomy, open; neonatal, for feeding",,3812
"43832 Gastrostomy, open; w/ construction of gastric tube",,6490
43840 Gastrorrhaphy suture of perforated duodenal/gastric ulcer/wound/injury,,8390
43842 Gastric restrictive procedure w/o gastric bypass vertical banded gastroplasty for morbid obesi,,7318
43843 Gastric restrictive procedure w/o gastric bypass other than vertical banded gastroplasty,,7920
43845 Gastric restrictive procedure w/partial gastrectomy pylorus-preserv duodenoileostomy &ileoileo,,12097
43846 Gastric restrictive procedure w/gastric bypasss for morbid obesity; w/short limb (150 cm/<) Ro,,10029
43847 Gastric restrictive procedure w/gastric bypass for morbid obesity; w/small intestine reconstru,,11108
43848 Revision open of gastric restrictive procedure for morbid obesity other than adjustable gastri,,11868
43850 Revision of gastroduodenal anastomosis w/reconstruction; w/o vagotomy,,10018
43855 Revision of gastroduodenal anastomosis w/reconstruction; with vagotomy,,10384
43860 Revision of gastrojejunal anastomosis w/reconstruction w/wo partial gastrectomy/intestine rese,,10051
43865 Revision of gastrojejunal anastomosis w/reconstruction w/wo partial gastrectomy/intestine rese,,10504
"43870 Closure of gastrostomy, surgical",,4461
43880 Closure of gastrocolic fistula,,9813
"43886 Gastric restrictive procedure, open; revision of subcutaneous port component only",,2374
"43887 Gastric restrictive procedure, open; removal of subcutaneous port component only",,2130
"43888 Gastric restrictive prodecure, open; removal & replacement of subq port component only",,2951
44005 Freeing Of Bowel Adhesion,,6762
44010 Duodenotomy for exploration/biopsy(s)/FB removal,,5409
44015 Tube/needle catheter jejunostomy enteral alimentation,,861
"44020 Enterotomy, small intestine exploration/biopsy/FB removal",,6035
44021 Enterotomy small intestine other than duodenum; for decompression,,6046
"44025 Colotomy, for exploration, Bx, or foreign body removal",,6138
44050 Reduction of volvulus by laparotomy internal hernia,,6014
44055 Correction of malrotation by lysis of duodenal bands and/or reduction of midgut volvulus,,9209
44100 Biopsy of intestine by capsule/tube/peroral (1 or more specimens),,713
"44110 Excision of 1 or more lesions of small or large intestine not req. anastomosis,exteriorization",,5288
44111 Excision of 1/more lesions small/large intestine; single enterotomy,,6112
44120 Removal Of Small Intestine,,6849
"44121 Enterectomy, resection of small intestine;each add. Resection and anastomosis",,1465
"44125 Enterectomy, resection of small intestine; with enterostomy",,7316
44126 Enterectomy resection congenital atresia; w/o tapering,,18769
44127 Enterectomy resection of small intestine congenital atresia single resection; w/o tapering,,17444
44128 Enterectomy resection of small intestine congenital atresia; each addl resection and anastomos,,1472
"44130 Enteroenterostomy, anastomosis of intestine",,6995
44139 Mobilization splenic flexure w/partial colectomy,,746
"44140 Colectomy, partial; w/anastomosis",,8569
"44141 Colectomy, partial; w/skin level cecostomy or colostomy",,11388
"44143 Colectomy, partial; w/end colostomy and closure of distal segment",,10340
"44144 Colectomy, partial;w/ resection,w/ colostomy/ileostomy & creation of mucofistula",,10978
"44145 Colectomy, partial; w/coloproctostomy (low pelvic anastomosis)",,10264
"44146 Colectomy, partial;w/ coloproctostomy (low pelvic anastomosis)",,13239
44147 Colectomy partial; abdominal and transanal approach,,10720
"44150 Colectomy, total, abd., w/o proctectomy;w/ ileostomy or ileoproctostomy",,11757
44151 Colectomy total abdominal w/o protectomy; with continent ileostomy,,13378
44155 Colectomy total abdominal w/protectomy; with ileostomy,,13075
44156 Colectomy total abdominal w/protectomy; with continent ileostomy,,14413
44157 Colectomy total abdominal with protectomy; w/ileoanal anastomosis incl loop ileostomy & rectal,,13520
"44158 Colectomy,total,abd.,w/proctectomy;w/ ileoanal anastomosis, creation of ileal reservoir, incl.",,13877
"44160 Colectomy, partial, w/removal terminal ileum",,7887
"44180 Laparoscopy, surgical, enterolysis",,6662
44186 Laparoscopy;jejunostomy,,4081
"44187 Laparoscopy;ileostomy or jejunostomy,non-tube",,7050
44188 Laparoscopy colostomy,,8540
44202 Larparoscopy; enterectomy resection small intestine single resection & anastomosis,,8583
44203 Laparoscopy; each additional small intestine resection & anastomosis,,1463
"44204 Laparoscopy colectomy, partial w/anastomosis",,12131
44205 Laparoscopy colectomy partial w/ileum,,10754
"44206 Laparoscopy;colectomy,partial,w/end colostomy and closure of distal segment",,10907
44207 Laparoscopy colectomy/coloproctostomy,,14171
"44208 Laparoscopy;colectomy,partial w/anast,w/ coloproctostomy (low pelvic anast)",,12434
"44210 Laparoscopy; colectomy,total abd,w/o proctectomy,w/ileostomy or ileoproctostomy",,11250
"44211 Laparoscopy,colectomy,total,abd.w/proctectomy,w/ileoanal anast,crtj of ileal rsvr w/ loop ileo",,13958
"44212 Laparoscopy;colectomy,total,abd,w/proctectomy,w/ileostomy",,12997
44213 Laparoscopy mobil splenic flexure Add-on,,1455
44227 Laparoscopy closure enterostomy,,11954
"44300 Placement,enterostomy or cecostomy,tube open",,5251
"44310 Ileostomy or jejunostomy,non-tube",,6504
44312 Revision of ileostomy; simple (release of superficial scar),,3733
44314 Revision of ileostomy; complicated (reconstruction in-depth) (separate procedure),,6311
44316 Continent ileostomy (Kock procedure) (separate procedure),,8732
44320 Colostomy or skin level cecostomy,,5297
44322 Colostomy or skin level cecostomy;w/ multiple bx,,6518
44340 Revision of colostomy;simple(release of superficial scar),,3993
44345 Revision Of Colostomy,,6601
44346 Revision of colostomy; w/repair of paracolostomy hernia,,7405
44360 Small intestinal endoscopy/enteroscopy beyond sec portion of duodenum; diagnostic,,1005
"44361 Small intestinal endoscopy; w/biopsy, single/multiple",,1104
44363 Small intestinal endoscopy enteroscopy beyond 2nd portion of duodenum not incl ileum; w/remova,,1313
44364 Small intestinal endoscopy enteroscopy beyond 2nd portion of duodenum not incl ileum; w/remova,,1403
"44365 Small intestine endoscopy, enteroscopy beyond 2nd portion of duodenum, not incl ileum; w/remov",,1250
"44366 Small endoscopy, enteroscopy beyond 2nd portion of duodenum, not incl ileum; w/control of blee",,1650
"44369 Small intestinal endoscopy, enteroscopy beyond 2nd portion of duodenum, not incl ileum; w/abla",,1689
"44370 Small intestinal endoscopy, enteroscopy beyond 2nd portion of duodenum, not incl ileum; w/tran",,1832
44372 Small int endoscopy(excluding ileum);w/plmt perq jejunostomy tube,,1630
44373 Small int endoscopy(exlcluding ileum);w/conv of perq gastrostomy to jejunostomy,,1309
"44376 Small intestinal endoscopy, enteroscopy beyond second portion of duodenum incl ileum; diagnost",,1915
"44380 Ileoscopy, thru stoma; diagnostic w/wo collection of specimen(s) brushing/washing",,440
44500 Introduction of long gastrointestinal tube,,152
44602 Suture of Small Intestine for perforated ulcer/wound/injury/rupture; single perforation,,8643
"44603 Suture of small intestine perforated ulcer,diverticulum,wound,injury/rupture; multiple perfora",,9953
44604 Suture of Large Intestine for perforated ulcer/wound/injury,,6513
"44615 Intestinal stricturoplasty(enterotomy and enterorrhaphy)w/wo dilation,for intestinal obstrcj",,6663
"44620 Closure of enterostomy, large/small intestine",,5421
"44625 Closure enterostomy,large/small intestine; w/resection & anastomosis other than colorectal",,6361
"44626 Closure enterostomy,large/small intestine; w/resection & colorectal anastomosis",,9884
44640 Closure of intestinal cutaneous fistula,,8661
44650 Closure of enteroenteric or enterocolic fistula,,8963
44660 Closure of enterovesical fistula; w/o intestinal/bladder resection,,8247
44661 Closure of entervesical fistula;w/ intestine and/or bladder resection,,9561
44680 Intestinal plication (separate procedure),,6614
44700 Exclusion of small intestine from pelvic mesh/prosthesis/native tissue,,6386
44800 Excision Of Bowel Pouch,,4805
44820 Excision of lesion of mesentry,,5235
44850 Suture of mesentery,,4708
44900 Incision and drainage of appendiceal abscess; open,,4831
44950 Appendectomy,,5513
44955 Appendectomy Add-On,,871
44960 Appendectomy; for ruptured appendix w/abscess/generalized peritonitis,,5408
"44970 Laparoscopy, Appendectomy",,4084
"45005 I&D of submucosal abscess, rectum",,1044
"45100 Biopsy of anaorectal wall, anal approach",,1969
45110 Removal Of Rectum,,11455
45111 Proctectomy; partial resection of rectum,,8177
"45112 Proctectomy, combined abdominoperineal, pull-through procedure",,11735
"45113 Proctectomy, partial, with rectal mucosectomy, ileoanal anastomosis, creation of ileal reservo",,14741
"45119 Proctectomy,combined abdominoperineal,w/creation of reservoir,w/ diverting enterostomy",,12250
45126 Pelvic exeneration for colorectal malignancy,,17634
45130 Excision of rectal procidentia with anastomosis; perineal approach,,6168
"45160 Excision of rectal tumor by proctotomy, transsacral or transcoccygeal approach",,6381
"45171 Excision of rectal tumor, transanal approach; not including muscularis propria",,3423
"45172 Excision of rectal tumor, transanal approach; including muscularis propria (ie, full thickness",,4600
45190 Destruction of rectal tumor transanal approach,,3931
45300 Proctosigmoidoscopy; diagnostic,,339
45303 Proctosigmoidoscopy;w/ dilation,,589
"45305 Proctosigmoidoscopy;w/ Bx, single or multiple",,510
45307 Proctosigmoidoscopy;w/ removal of foreign body,,658
"45308 Proctosigmoidoscopy;w/rmvl of single tumor,polyp,lesion by hot bx or bipolar cautery",,559
"45315 Proctosigmoidoscopy;w/rmvl of multiple tumors,polyps,lesions by hot Bx,bipolar cautery,or sna",,699
45317 Proctosigmoidoscopy;w/control of bleeding,,755
"45320 Proctosigmoidoscopy;w/ablation of tumor(s),polyp(s),or other lesion(s)",,681
45327 Proctosigmoidoscopy;transendoscopic stent placement (incl predilation),,817
45330 Diagnostic Sigmoidoscopy,,516
45331 Sigmoidoscopy And Biopsy,,496
45332 Sigmoidoscopy;w/rmvl of foreign body,,716
"45333 Sigmoidoscopy;w/rmvl of tumor(s),polyp(s),other lesion(s) by hot bx or bipolar cautery",,708
45334 Sigmoidoscopy;w/control of bleeding,,1049
45335 Sigmoidoscopy w/direct submucosal injection(s),,597
45338 Sigmoidoscopy w/removal tumor/polyp(s)/lesion(s) snare technique,,904
45378 Diagnostic Colonoscopy,,2382
45378-53 Diagnostic colonoscopy discontinued procedure,,418
"45379 Colonoscopy, flexible, proximal to splenic flexure; w/removal of foreign body",,1725
"45380 Colonoscopy, flexible, w/biopsy",,1647
"45381 Colonoscopy, w/directed submucous injection",,1983
45382 Colonoscopy;w/control of bleeding,,2093
45384 Colonoscopy w/removal of tumor/polyp/lesion,,2819
"45385 Colonoscopy, flexible, proximal to splenic flexure; w/removal tumor(s).polyp(s)/lesion(s) snar",,1953
"45386 Colonoscopy;w/dilation by balloon,1 or more strictures",,1690
45391 Colonoscopy;w/endoscopic US exam,,1879
45392 Colonoscopy;w/transendoscopic US guided intramural or transmural fine needle aspiration/bx,,2400
"45395 Laparoscopy, surgical; proctectomy, complete, combined abdominoperineal w/colostomy",,12520
"45397 Laparoscopy;proctectomy,combined abdominoperineal,w/creation of colonic reservoir,w/diverting",,13607
45400 Laparoscopy surgical; proctopexy (for prolapse),,7257
"45402 Laparoscopy; proctopexy (for prolapse), w/ sigmoid resection",,9569
45500 Proctoplasty; for stenosis,,2408
45505 Proctoplasty; for prolapse of mucous membrane,,2604
45520 Perirectal injection of sclerosing solution for prolapse,,180
"45540 Protopexy (eg, for prolapse); abdominal approach",,5921
"45541 Proctopexy (eg, for prolapse); perineal approach",,5214
"45550 Proctopexy (eg, for prolapse); with sigmoid resection, abdominal approach",,8201
45560 Repair of rectocele (separate procedure),,3933
"45562 Exploration, repair, and presacral drainage for rectal injury",,6239
"45563 Exploration, repair, and presacral drainage for rectal injury; with colostomy",,9084
45800 Colsure of rectovesical fistula;,,7465
45805 Closure of rectovesical fistula;w/colostomy,,9119
45820 Closure of rectourethral fistula;,,6977
45825 Closure of rectourethral fistula;w/colostomy,,9329
45900 Reduction of procidentia (separate procedure) under anesthesia,,916
45905 Dilation of anal sphincter (separate procedure) under anesthesia other than local,,744
45910 Dilation of rectal stricture (separate procedure) under anesthesia other than local,,848
45915 Removal of fecal impaction/foreign body under anesthesia,,1476
"45990 Anorectal exam, surgical, req anesthesia (gen/spinal/epidural), diagnostic",,672
46020 Placement of seton,,1552
"46030 Removal of anal seton, other marker",,330
46040 Incision of ischiorectal/perirectal Abscess,,2707
"46045 Incision & drainage of intramural,intramuscular/submucosal abscess,transanal under anesthesia",,2819
