No.,General Description,Charge
36100671,HC CORRECT SKIN COLR DEFCT ADDN 20 SQCM,602.00
36100672,HC REMOVE TISSUE EXPANDER(S),4468.00
36100673,"HC IMPLANT,HORMONE,SUBCUTANEOUS",129.00
36100673,"HC IMPLANT,HORMONE,SUBCUTANEOUS",128.00
36100674,"HC LAYR CLOS WND TRUNK,ARM,LEG 12.6-20 CM",260.00
36100675,HC ADJ TISS XFER TRUNK <10SQCM,3065.00
36100676,"HC WOUND PREP, PED, TRK/ARM/LG 1ST 100 CM",848.00
36100677,"HC WND PREP PED, FACE/NCK/HND/FT/GEN",848.00
36100678,"HC SKIN GRAFT, HARVEST CULTURED TISSUE",602.00
36100679,"HC SPLIT GRFT TRUNK,ARM,LEG <100SQCM",4571.00
36100680,HC EPI AUTOGRFT FACE/NCK/HND/FT/GEN <100SQCM,848.00
36100681,"HC SPLIT GRFT,HEAD,FAC,HAND,FEET EA 100SQCM",4571.00
36100682,HC FULL THICK GRFT TRUNK ADD 20 SQCM,3065.00
36100683,"HC FULL THICK GRFT HEAD,FAC,HA ADD 20SQ",848.00
36100687,HC FORM SKIN PEDICLE FLAP TRUNK,4571.00
36100688,"HC FORM SKIN PEDICLE FLAP FACE,GEN,HAND",4571.00
36100689,"HC MUSCLE-SKIN FLAP,HEAD/NECK",4571.00
36100690,"HC MUSCLE-SKIN FLAP,TRUNK",4571.00
36100691,"HC MUSCLE-SKIN FLAP,LEG",4571.00
36100692,HC ISLAND PEDICLE FLAP GRAFT,3065.00
36100693,HC DERMABRAS RX SKIN REGIONAL,833.00
36100694,HC EXPLO/DRAIN BREAST ABSCESS,3707.00
36100695,HC NIPPLE EXPLORATION,4728.00
36100696,HC EXCISE BREAST DUCT FISTULA,4728.00
36100697,HC REMOVAL OF BREAST LESION,4728.00
36100698,HC EXCISE BREAST LES W XRAY MARKER,4728.00
36100699,HC PLACE POSTOP BREAST CATH FOR RAD,11122.00
36100700,HC NIPPLE/AREOLA RECONSTRUCTION,4728.00
36100701,HC DEEP MUSCLE BIOPSY,3342.00
36100701,HC DEEP MUSCLE BIOPSY,3341.00
36100702,HC REMOVAL SUPERFICIAL IMPLANT,3342.00
36100703,HC CLOSED RX NOSE FX W STABILIZATN,3283.00
36100704,HC OPEN RX MANDIBLE FX,8210.00
36100705,HC INTERDENTAL WIRING,3283.00
36100706,HC EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBQ <3CM,3342.00
36100706,HC EXC TUMOR SOFT TISSUE NECK/ANT THORAX SUBQ <3CM,3341.00
36100707,"HC BIOPSY SOFT TISSUE BACK,SUPERF",1567.00
36100708,"HC BIOPSY SOFT TISSUE BACK,DEEP",4468.00
36100709,HC EXCISION TUMOR SOFT TISSUE BACK/FLANK SUBQ <3CM,3342.00
36100710,HC EXCISION TUMOR SOFT TISSUE SHOULDER SUBQ <3CM,3342.00
36100711,"HC BX ARM/ELBOW SOFT TISSUE,DEEP",3342.00
36100712,HC EXC TUMOR SOFT TISS UPPER ARM/ELBOW SUBQ <3CM,3342.00
36100713,HC EXC TUMOR SOFT TISSUE PELVIS & HIP SUBQ <3CM,3342.00
36100714,"HC BX LOW LEG SOFT TISSUE,DEEP",4468.00
36100715,HC EXC TUMOR SOFT TISSUE LEG/ANKLE SUBQ <3CM,3342.00
36100716,HC EXC TUMOR SOFT TISSUE LEG/ANKLE SUBFASCIAL <3CM,3342.00
36100717,HC EXCISION TUMOR SOFT TISSUE FOOT/TOE SUBQ 1.5+CM,4468.00
36100718,HC EXCISION TUMOR SOFT TISSUE FOOT/TOE SUBQ <1.5CM,3342.00
36100719,HC RAD RESECTION TUMOR SOFT TISSUE FOOT/TOE <3CM,3342.00
36100720,HC REMV TALUS/HEEL BENIGN BONE LESN,4171.00
36100721,HC REMV TARSAL/METATARSAL BENIGN BONE LESN,4171.00
36100722,"HC AMPUTATION TOE,MT-P JT",4171.00
36100723,"HC AMPUTATION TOE,I-P JT",4171.00
36100724,HC INTRANASAL BIOPSY,1456.00
36100725,HC EXCIS/DEST INTRANAS LESION; INT APP,3283.00
36100726,HC INJECTION INTO TURBINATE,1456.00
36100727,HC REPAIR ORO-MAXILLARY FISTULA,8210.00
36100728,"HC CTRL NOSEBLEED,POST,W/PACKS &/OR CAUT",222.00
36100729,"HC EXPLOR MAXILL SINUS,RADICAL",8210.00
36100730,"HC NASAL/MAXILL SINUS ENDOSCOPY,DX",353.00
36100731,"HC NASAL/SPHENOID SINUS ENDOSCOPY,DX",4136.00
36100732,"HC NASAL/SINUS SCOPY,W/CONTROL NASAL HEM",4136.00
36100733,"HC LARYNGOSCOPY,DIRECT FOR ASPIRATION",4136.00
36100734,"HC LARYNGOSCOPY,DIRCT,INJ VOCAL CORD",4136.00
36100735,"HC BRONCHOSCOPY,DIAGNOSTIC W BRUSH",1981.00
36100736,"HC BRONCHOSCOPY,DIAGNOSTIC W LAVAGE",1981.00
36100737,"HC BRONCHOSCOPY,BIOPSY",1981.00
36100738,"HC BRONCHOSCOPY,REMV FOR. BODY",1981.00
36100739,"HC BRONCHOSCOPY,RX ASPIR PULM TREE",1981.00
36100740,HC SURG CLOSURE TRACH/FISTULA,4767.00
36100741,HC REVISE TRACHEOSTOMY SCAR,4767.00
36100742,"HC BX/REMV,LYMPH NODE,DEEP CERV",4701.00
36100743,"HC PARTIAL EXCIS LIP,WEDGE PRIM CLOS",4767.00
36100744,"HC PARTIAL EXCIS LIP,V-EXC PRIM CLOS",3283.00
36100745,HC BIOPSY OF MOUTH LESION,654.00
36100746,"HC EXCIS MOUTH MUCOSA/SUB,NO REPAIR",3283.00
36100747,"HC EXCIS MOUTH COMPLEX,EXC THRU MUSCLE",4767.00
36100748,HC EXCISE ORAL MUCOSA FOR GRAFT,654.00
36100749,"HC I&D MOUTH/TONG INTRA,LINGUAL",3283.00
36100750,"HC BIOPSY TONGUE,POSTER 1/3",3283.00
36100751,HC BIOPSY OF FLOOR OF MOUTH,833.00
36100752,HC EXCIS TONGUE LESN,3283.00
36100753,"HC EXCIS TONGUE LESN,ANT 2/3+CLOS",3283.00
36100754,HC EXCIS FLOOR MOUTH LESION,3283.00
36100755,"HC REPAIR TONGUE LACER,2.6CM+/COMPLX",1456.00
36100756,"HC REMOVAL FOREIGN BODY,JAWBONE",3283.00
36100757,HC EXCIS DENTOALVEOLAR LESION,3283.00
36100758,"HC EXCIS DENTOALV LESN,SIMPL REPR",4767.00
36100759,"HC EXCIS DENTOALV LESN,COMPLX REP",4767.00
36100760,"HC EXCIS LESN,PALATE/UVULA",3283.00
36100761,"HC EXCIS LESN,PALETE/UVULA-FLAP CLOS",4767.00
36100762,HC REPAIR PALATE LACER <2CM,654.00
36100763,"HC INSERTION, PALATE PROSTHESIS",3283.00
36100764,"HC REMOVAL SALIVARY STONE,UNCOMPLIC",3283.00
36100765,"HC REMOVAL SUBMAND STONE,COMPLICATED",3283.00
36100766,HC REMOVAL PAROTID STONE,3283.00
36100767,"HC BIOPSY SALIVARY GLAND,INCISIONAL",4767.00
36100768,HC DRAINAGE SUBLING SALIVARY CYST,3283.00
36100769,HC EXCISION SUBLINGUAL GLAND,4767.00
36100770,HC REPAIR SALIVARY DUCT SIMPLE,4767.00
36100771,HC REPAIR SALIVARY DUCT COMPLICATED,8210.00
36100772,HC DILATION OF SALIVARY DUCT,1456.00
36100773,"HC BIOPSY NASOPHARYNX,SIMPLE",3283.00
36100774,"HC ESOPHAGOSCOPY,BIOPSY",1672.00
36100775,"HC UPPER GI ENDOSCOPY,DIAGNOSIS",1672.00
36100776,"HC UPPER GI ENDOSCOPY,W/DIR SUBMUC INJ",1672.00
36100777,"HC UPPER GI ENDOSCOPY,BIOPSY",1672.00
36100778,HC ENDOSCOPY OF BOWEL POUCH,1739.00
36100779,"HC ENDOSCOPY, BOWEL POUCH, BIOPSY",1739.00
36100780,HC COLONOSCOPY THRU STOMA,1739.00
36100781,"HC COLONOSCOPY THRU STOMA,BIOPSY",1739.00
36100782,"HC PROCTOSIGMOIDOSCOPY,RIGID,DIAGNOS",1103.00
36100783,"HC SIGMOIDOSCOPY,DIAGNOSTIC",1103.00
36100784,"HC SIGMOIDOSCOPY,BIOPSY",1103.00
36100785,"HC SIGMOIDOSCOPY,FLEX,W/DIR SUBMUC INJECT",1103.00
36100786,"HC SIGMOIDOSCOPY,REMV LESN,SNARE",1767.00
36100788,"HC SIGMOIDOSCOPY,FLEX,W/DILAT,1/>STRICTURES",1767.00
36100789,"HC COLONOSCOPY,REMV FOREIGN BODY",1739.00
36100790,"HC COLONOSCOPY,BIOPSY",1739.00
36100791,"HC COLONOSCPY,FLEX,W/DIR SUBMUC INJECT",1739.00
36100793,"HC COLONOSCOPY,REMV LESN,SNARE",1739.00
36100794,"HC COLONOSCOPY,FLEX,W/DILAT, 1/>STRICTURES",1739.00
36100795,HC HEMORRHOIDECTOMY INTERNAL RUBBER BAND LIGATIONS,1024.00
36100796,HC INJECT SCLEROS SOLN IN HEMORRHOIDS,2697.00
36100797,HC REPLACE GASTROSTOMY/CECOSTOMY TUBE PERCUTANEOUS,679.00
36100798,"HC RENAL ENDOSCOPY,CATH URETER",4876.00
36100799,"HC RENAL ENDOSCOPY,BIOPSY",1362.00
36100800,HC FRAGMENT KIDNEY STONE/ ESWL,7901.00
36100801,HC ENDOSCOPIC INJECTION/IMPLANT,5994.00
36100802,HC CYSTOURETHROSCOPY W/IRRIG & EVAC CLOTS,3254.00
36100803,"HC CYSTOURETHROSCOPY,BIOPSIES",4876.00
36100804,"HC CYSTOURETHROSCOPY,FULGURATN",4876.00
36100805,"HC CYSTOSCOPY,STEROID INJ,STRICTURE",4876.00
36100806,"HC CYSTOSCOPY,REMV CALCULUS,COMPLIC",4876.00
36100807,"HC REMOVE BLADDER STONE,<2.5CM",4876.00
36100808,"HC CYSTOSCOPY,INJECT IMPLNT MATERIAL",6914.00
36100809,"HC CYSTOSCOPY,INSERT URETERAL STENT",4876.00
36100810,HC INCISION OF URETHRAL MEATUS,3885.00
36100811,HC BIOPSY OF URETHRA,3885.00
36100812,HC EXCIS URETHRAL POLYP(S),3885.00
36100813,"HC DIL URETHRA STRIC,MALE,INITIAL",575.00
36100813,"HC DIL URETHRA STRIC,MALE,INITIAL",575.00
36100814,"HC DIL URETHRA STRIC,MALE,SUBSEQ",210.00
36100815,"HC DIL URET STRIC,MALE,INIT,FILIFORM",3823.00
36100816,"HC DIL URET STRIC,MALE,SUBSEQ,FILIFORM",387.00
36100817,"HC DIL URETHRA,FEMALE,SUBSEQUENT",210.00
36100817,"HC DIL URETHRA,FEMALE,SUBSEQUENT",210.00
36100818,"HC DESTR PENIS LESN,SIMPL,SURG EXCIS",4061.00
36100819,HC REMV FOR.BODY DEEP PENILE TISS,3707.00
36100820,"HC LYSIS/EXCIS,PENILE POSTCIRCUM ADHESIONS",4447.00
36100821,"HC IRRIGAT CORPUS CAVERN,PRIAPISM",387.00
36100822,HC DYNAMIC CAVERNOSOMETRY,3823.00
36100823,"HC DRAINAGE OF HYDROCELE,TUNICA",878.00
36100824,HC DRAINAGE SCROTAL WALL ABSCESS,2411.00
36100825,HC REMOVAL OF SPERM DUCT(S),4447.00
36100826,HC LYSIS OF LABIAL LESION(S),3829.00
36100827,"HC BIOPSY OF VAGINA,EXTENSIVE",3829.00
36100828,HC TREAT VAGINA INFECTION,292.00
36100829,HC TREAT VAGINAL BLEEDING,292.00
36100830,HC PELVIC EXAMINATION W ANESTH,3829.00
36100831,"HC CONIZATION CERVIX,KNIFE/LASER",3829.00
36100832,HC REVISE/REMOVE NEUROELECTRODE,3751.00
36100833,HC IMPLANT GASTRIC NEUROSTIM/RECEIVER,39365.00
36100834,HC REVISE/REMOVE GASTRIC NEUROSTIM/RECEIVER,5475.00
36100835,HC CANTHOPLASTY,3468.00
36100836,"HC DRAIN EXT EAR ABSC/BLOOD,SIMPLE",277.00
36100837,"HC REMOVAL EXTERNAL EAR,PARTIAL",3342.00
36100839,HC INSERT DRUG IMPLANT DEVICE,131.00
36100840,HC SKIN SUB GRAFT TRNK/ARM/LEG,640.00
36100841,HC SKIN SUB GRAFT T/A/L ADD-ON,237.00
36100842,HC SKIN SUB GRFT T/ARM/LG CHILD,976.00
36100843,HC SKN SUB GRFT T/A/L CHILD ADD,640.00
36100844,HC SKIN SUB GRAFT FACE/NK/HF/G,640.00
36100845,HC SKIN SUB GRAFT F/N/HF/G ADDL,237.00
36100846,HC SKN SUB GRFT F/N/HF/G CHILD,976.00
36100847,HC SKN SUB GRFT F/N/HF/G CH ADD,640.00
36100848,HC ABD PARACENTESIS,1090.00
36100849,HC ABD PARACENTESIS W/IMAGING,1090.00
36100850,HC SHAVE LES S/N/H/F/G; 0.5CM/<,167.00
36100850,HC SHAVE LES S/N/H/F/G; 0.5CM/<,167.00
36100851,HC TATTOO <= 6.0 SQ CM,602.00
36100851,HC TATTOO <= 6.0 SQ CM,602.00
36100852,HC TX S WND DEHIS; W PACK,602.00
36100852,HC TX S WND DEHIS; W PACK,602.00
36100853,HC INTMD WND RPR FACE/MM 12.6-20.0 CM,602.00
36100853,HC INTMD WND RPR FACE/MM 12.6-20.0 CM,602.00
36100854,HC BLEPHAROPL UL; W EXC SKIN,4571.00
36100854,HC BLEPHAROPL UL; W EXC SKIN,4570.00
36100855,HC DESTR MLES S/N/H/F/G; 3.1-4.0,536.00
36100855,HC DESTR MLES S/N/H/F/G; 3.1-4.0,535.00
36100856,HC DESTR MLES F/E/E/N/L/MM; 3.1-4CM,536.00
36100856,HC DESTR MLES F/E/E/N/L/MM; 3.1-4CM,535.00
36100857,"HC THER INJ, CARP TUNNEL",488.00
36100857,"HC THER INJ, CARP TUNNEL",487.00
36100858,HC TREATMENT OF NOSE FRACTURE,3283.00
36100858,HC TREATMENT OF NOSE FRACTURE,3283.00
36100859,HC STRAPPING OF ANKLE AND/OR FT,200.00
36100859,HC STRAPPING OF ANKLE AND/OR FT,199.00
36100860,HC BIOPSY OF UPPER NOSE/THROAT,4767.00
36100860,HC BIOPSY OF UPPER NOSE/THROAT,4767.00
36100861,HC REMOVAL OF ANAL TAG,2697.00
36100861,HC REMOVAL OF ANAL TAG,2696.00
36100862,HC INTRAABDOMINAL PRESSURE TEST,751.00
36100862,HC INTRAABDOMINAL PRESSURE TEST,750.00
36100863,"HC CYSTOSCOPY, REMOVAL OF CLOTS",3254.00
36100863,"HC CYSTOSCOPY, REMOVAL OF CLOTS",3254.00
36100864,HC DRAIN THYROID/TONGUE CYST,1456.00
36100864,HC DRAIN THYROID/TONGUE CYST,1456.00
36100865,HC ANAL SP INF PMP W/REPRG&FILL,474.00
36100865,HC ANAL SP INF PMP W/REPRG&FILL,474.00
36100866,"HC N BLOCK INJ, AXILLARY",710.00
36100866,"HC N BLOCK INJ, AXILLARY",710.00
36100867,"HC N BLOCK INJ, PLANTAR DIGIT",488.00
36100867,"HC N BLOCK INJ, PLANTAR DIGIT",487.00
36100868,HC DESTROY CERV/THOR FACET JNT,1478.00
36100868,HC DESTROY CERV/THOR FACET JNT,1477.00
36100869,HC DESTROY C/TH FACET JNT ADDL,518.00
36100869,HC DESTROY C/TH FACET JNT ADDL,517.00
36100870,HC DESTROY LUMB/SAC FACET JNT,2537.00
36100870,HC DESTROY LUMB/SAC FACET JNT,2536.00
36100871,HC CURETTE/TREAT CORNEA,1461.00
36100871,HC CURETTE/TREAT CORNEA,1461.00
36100872,HC CORRECTION OF ASTIGMATISM,3103.00
36100872,HC CORRECTION OF ASTIGMATISM,3103.00
36100873,HC INCISION OF EYELID,1461.00
36100873,HC INCISION OF EYELID,1461.00
36100874,HC REPAIR BROW DEFECT,5127.00
36100874,HC REPAIR BROW DEFECT,5127.00
36100875,HC REPAIR EYELID DEFECT,3468.00
36100875,HC REPAIR EYELID DEFECT,3468.00
36100876,HC INCISE TEAR DUCT OPENING,617.00
36100876,HC INCISE TEAR DUCT OPENING,616.00
36100878,HC ECMO ADDL RN PER HR,213.00
36100879,HC ECMO CIRCUIT PREPARE-NEONATAL,15649.00
36100880,HC ECMO CIRCUIT PREP-PEDS-ADULT,18151.00
36100881,HC REMOVE DRUG IMPLANT DEVICE,131.00
36100882,HC REMOVE/INSERT DRUG IMPLANT,131.00
36100883,"HC HYSTEROSCOPY, REMOVE FB",4554.00
36100884,"HC HYSTEROSCOPY, STERILIZATION",8592.00
36100885,HC SPERM WASHING,690
36100885,HC SPERM WASHING,690.00
36100887,HC CLEARANCE OF TEAR DUCT,569.00
36100888,HC DESTROY L/S FACET JNT ADDL,1477.00
36100889,HC PERC IMPL NS ELECTRDE ARRY EPI,12550.00
36100890,HC EXC/TRANSPOS PTERYGIUM; W GRAFT,4661.00
36100891,HC DSTRJ RETINOPATHY 1+ SESS DIATHERMY,3956.00
36100892,HC EXTENSIVE ECTROPIAN REPAIR,3468.00
36100893,HC REVISE/GRAFT EYELID LINING,5127.00
36100894,HC CYSTOMETROGRAM W/UP,575.00
36100895,HC CYSTOMETROGRAM W/VP,575.00
36100896,HC CYSTOMETROGRAM W/VP&UP,575.00
36100897,HC URINE FLOW MEASUREMENT,158.00
36100898,HC ANAL/URINARY MUSCLE STUDY,893.00
36100899,HC URINARY REFLEX STUDY,1246.00
36100902,HC NJX PARAVERT W/US CER/THOR SINGLE LEVEL,1503.00
36100903,HC NJX PARAVERT W/US CER/THOR SECOND LEVEL,485.00
36100904,HC  STRAPPING OF TOES,238.00
36100904,HC  STRAPPING OF TOES,238.00
36100905,HC CYSTOSCOPY CHEMODENERVATION,3005.00
36100906,HC CHEMODENERV MUSC MIGRAINE,485.00
36100907,HC CHEMODENERV MUSC NECK DYSTON,710.00
36100908,HC CHEMODENERV 1 EXTREMITY 1-4,710.00
36100909,HC CHEMODENERV 1 EXTREM 1-4 EA,710.00
36100910,HC CHEMODENERV 1 EXTREM 5/> MUS,710.00
36100911,HC CHEMODENERV 1 EXTREM 5/> EA,710.00
36100912,HC CHEMODENERV TRUNK MUSC 1-5,710.00
36100913,HC CHEMODENERV TRUNK MUSC 6/>,710.00
36100914,HC CHEMODENER MUSCLE LARYNX EMG,1053.00
36100915,HC ARTIFICIAL INSEMINATION,299
36100915,HC ARTIFICIAL INSEMINATION,299.00
36100916,"HC INJECTION,RETROBULBAR,ALCOHOL",607.00
36100917,"HC DESTRUCT CHOROID LESN,CRYO",1023.00
36100918,"HC DESTRUCT IRIS LESN,CRYO",1020.00
36100919,"HC DESTRUCT RETINA LESN,CRYO",1023.00
36100920,HC GONIOPHOTOCOAGULATION,410.00
36100921,HC I&D/DRAINAGE CONJUNCTIVA,607.00
36100922,"HC PTOSIS REPAIR,LEVATR ADVANC,INTERN",3452.00
36100923,"HC RECONSTRUCT EYELID, 2ND STAGE",3452.00
36100924,HC REPAIR OF CANALICULI,3452.00
36100925,"HC REPAIR LACERATION CORNEA, NONPERFOR",4165.00
36100926,"HC REPAIR EYELID WND,FULL THICK",3452.00
36100927,"HC REPAIR EYELID WND, PARTL THICK",3452.00
36100928,HC RELEASE OF EYE FLUID,7288.00
36100929,"HC CORRCT EVERTED PUNCTUM,CAUTERY",607.00
36100930,HC REDUCTN OVERCORRECTN PTOSIS,3452.00
36100931,HC FOCAL COAGULATION,1010.00
36100932,"HC BIOPSY, CORNEA",2841.00
36100933,HC CANTHOTOMY,3452.00
36100935,HC CORRECTION EYELID RETRACTION,3452.00
36100936,HC DESTRUCT LESION CONJUNCTIVA,1532.00
36100937,"HC WEDGE RESECTION, <= 1/4 LID",3452.00
36100938,HC HC CORRECTION OF TRICHIASIS,1532.00
36100939,"HC DESTRUCTION CILIARY BODY, CRYO",2841.00
36100940,HC LATERAL CANTHOPEXY,2899.00
36100941,HC LATE CLOSURE OF WOUND,3265.00
36100942,"HC STRABISMUS SURG,PLACE/ADJUST SUTURE",1732.00
36100943,HC AMNIOTIC MEMBRANE GRAFT,2841.00
36100944,HC LC SKN SUB  GRFT TRNK/ARM/LEG<100SCM/<1ST 25 SCM,979.00
36100945,HC LC SKIN SUB GRFT TRNK/ARM/LEG<100SCM/ADL 25 SCM,489.00
36100946,HC LC SKN SUB GRFT TRNK/ARM/LEG/>100SCM 1ST 100SCM,3207.00
36100947,HC LC SKN SUB GRFT TRNK/ARM/LEG/>100SCM ADL 100SCM,1602.00
36100948,HC LC SKN SUB F/S/N/H/F/G/M/D /<100SCM/<1ST 25 SCM,979.00
36100949,HC LC SKN SUB F/S/N/H/F/G/M/D/<100SCM EA ADL 25SCM,489.00
36100950,HC LC SKN SUB F/S/N/H/F/G/M/D />100SCM 1ST 100SCM,979.00
36100951,HC LC SKN SUB F/S/N/H/F/G/M/D />100SCM ADL 100SCM,489.00
36100952,HC ANLYS PAIN PUMP W/PROG/REFI,1131.00
36100953,HC INSERT TISSUE EXPANDER OTHER THAN BREAST,1574.00
36100954,HC NJX INTERLAMINAR CRV/THRC W/O IMAG,1129.00
36100955,HC NJX INTERLAMINAR CRV/THRC W/IMAG,1129.00
36100956,HC NJX INTERLAMINAR LMBR/SAC W/O IMAG,1129.00
36100957,HC NJX INTERLAMINAR LMBR/SAC W/IMAG,1129.00
36100958,HC NJX INTERLAMINAR CRV/THRC W/O IMAG,1423.00
36100959,HC NJX INTERLAMINAR CRV/THRC W/IMAG,1423.00
36100960,HC NJX INTERLAMINAR LMBR/SAC W/O IMAG,1423.00
36100961,HC NJX INTERLAMINAR LMBR/SAC W/IMAG,1423.00
36100962,HC COLLAGEN CROSS-LINKING OF CORNEA,1726.00
36100963,HC DRAIN/INJ MAJOR JOINT OR BURSA W/US,514.00
36100964,HC MULTIFETAL PREGNANCY REDUCTION(S),614.00
36100965,"HC CIRCUMCISION,OTHER,<28 D/O",5874.00
36100966,HC UMBILICAL CORD OCCLUD W/ US,985.00
36100967,"HC FETAL SHUNT PLACEMENT, W/ US",985.00
36100968,"HC OPEN UTERUS,ABD FOR MOLE,ABORTN",7448.00
36100969,HC MEAS POST-VOIDING RESIDUAL URINE&/BLADDER CAP,121.00
36100970,HC LABYRINTHOTOMY TRANSCANAL,3709.00
36100970,HC LABYRINTHOTOMY TRANSCANAL,2225
36200001,HC HMSC PROCESSING,3658.00
36200002,HC IEC THAW DILUTE,3657.68
36200003,HC AUTO HPC-M PROCESSING,3080.00
36200004,HC AUTOLOG SC PROC-CONG,3169.00
36200005,HC CORD BLOOD THAW,5534.00
37000001,HC OR ANESTH ADD'L MIN,44.00
37000002,HC OR ANESTH INIT 30 MIN,1244.00
37000003,HC OR LOCAL/LOC W SED ADD'L MIN,21.00
37000004,HC OR LOCAL/LOC W SED INIT 30 MIN,554.00
37000005,HC OFF SITE ANESTHESIA-OB,953.00
37000006,HC OFFSITE ANESTH ADD'L MIN,44.00
37000007,HC OFFSITE ANESTH INIT 30 MIN,1244.00
37000008,HC MOD CS BY SAME PHYS LESS 5YRS,282.00
37000009,HC MOD CS BY SAME PHYS 5YRS+,282.00
37000010,HC MOD CS DIFF PHYS < 5 YRS,630.00
37000011,HC MOD CS DIFF PHYS 5YRS+,630.00
37000012,HC MOD CS SAME PHYS EA ADD 15MIN,138.00
37000013,HC MOD CS BY SAME PHYS ADD ON,138.00
37000015,HC MOD SED SAME PHYS/QHP INTIAL 15 MIN <5 YRS,109.00
37000016,HC MOD SED SAME PHYS/QHP INITIAL 15 MINS > 5 YRS,59.00
37000017,HC MOD SED SAME PHYS/QHP EA ADD 15 MINS,62.00
37000018,HC MOD SED OTHER PHYS/QHP INITIAL 15 MINS <5 YRS,435.00
37000019,HC MOD SED OTHER PHYS/QHP INITIAL 15 MINS > 5 YRS,350.00
37000020,HC MOD SED OTHER PHYS/QHP EACH ADDL 15 MINS,266.00
38400001,"HC PRT PLTPHERESIS, UNDVD LEUKORED",2993.00
38400002,HC PRT PLTPHERESIS DVD LR 1-50 ML,778
38400003,HC PRT PLTPHERESIS DVD LR 51-99 ML,958
38400004,HC PRT PLTPHERESIS DVD LR 100-150  ML,1257.00
39000001,HC IRRADIATE BLOOD,0.00
39000003,HC CRYOPRECIPITATE EA UNIT,101.00
39000004,HC RBCS LR,409.00
39000005,HC UCSF RBCS LR,428.00
39000006,"HC UCSF WHOLE BLOOD, LEUKORED",347.00
39000007,HC RBCS DVD LR 1-50ML,131.00
39000008,HC UCSF RBCS DVD LR 1-50ML,125.00
39000009,HC RBCS DVD LR 51-99ML,195.00
39000010,HC UCSF RBCS DVD LR 51-99ML,189.00
39000011,HC RBCS DVD LR 100-150ML,258.00
39000012,HC UCSF RBCS DVD LR 100-150ML,252.00
39000013,HC FRESH FROZ PLASMA,164.00
39000014,HC UCSF FRESH FROZ PLASMA,164.00
39000015,HC PEDI PLASMA PACK SGL DON,76.00
39000016,HC FROZEN PLASMA 24HRS OLD,117.00
39000017,"HC PLATELETPHERESIS, LOW CO    BCP",730.00
39000018,"HC UCSFPLATELETPHERESIS, LOW CO",730.00
39000019,HC RBCS WASHED LR,573.00
39000020,HC UCSF RBCS WASHED LR,567.00
39000021,HC GLA-MATCHED PLATELETPH,1339.00
39000022,HC PLATELETPHERESIS LR,1154.00
39000023,"HC UCSF PLATELETPHERESIS, LR",1197.00
39000024,HC PLATELETPHERESIS IRR,1278.00
39000025,HC UCSF PLATELETPHERESIS IRR,1322.00
39000026,"HC HLA PLTPHERSIS, IRR, LEUKORED",1347.00
39000027,HC PED PLT PHER IRR LR EA UN   BCP,422.00
39000028,"HC UCSF PEDI PLTPHE,IRR, LEUKORED",422.00
39000029,HC PLATELETPHERESIS IRRAD LR,1297.00
39000030,HC UCSF PLATELETPHERES IRRAD LR,1341.00
39000031,HC PLATELEPHR DVD IRR LR 1-50ML,383.00
39000032,HC PLATELETPH DVD IRR LR 51-99ML,447.00
39000033,HC PLATELETP DVD IRR LR 100-150ML,573.00
39000034,HC UCSF PLATE DVD IRR LR 100-150,567.00
39000035,HC RBCS IRR NON LR,447.00
39000036,HC WASHED RBCS IRR EA UNIT,409.00
39000037,HC UCSF WASHED RBCS IRR EA UNIT,403.00
39000038,HC RBCS DEGLYCEROLIZED,736.00
39000039,HC UCSF WHOLE BLOOD IRR LEUKORED,409.00
39000040,HC RBCS IRRAD LR,473.00
39000041,HC UCSF RBCS IRRAD LR,491.00
39000042,"HC UCSF QUAD RBC, IRR, LEUKORED",145.00
39000043,HC RBCS DVD IRR LR 1-50ML,195.00
39000044,HC UCSF RBCS DVD IRR LR 1-50ML,189.00
39000045,HC RBCS DVD IRR LR 51-99ML,258.00
39000046,HC UCSF RBCS DVD IRR LR 51-99ML,252.00
39000047,HC RBCS DVD IRR LR 100-150ML,321.00
39000048,HC UCSF RBCS DVD IRR LR 100-150ML,315.00
39000049,HC GRANDULO PHERESIS,1250.00
39000050,HC GRANULOCYTE APHERESIS IRR,3092.00
39000051,HC PLATELETPHR DVD LR 100-150ML,510.00
39000052,HC UCSF PLATELET DVD IRR LR 51-99,441.00
39000053,"HC ANTIBODY TITER (RH,ETC.)",303.00
39000054,HC DONATH-LANDSTEINER,220.00
39000055,HC COLD/WARM ANTIBODY ABSOR,268.00
39000056,HC FETAL BLEED SCREEN,170.00
39000057,"HC ANTIBODY IDENT., NON-STA",511.00
39000058,HC ANTIBODY ID ADD'L CELLS,511.00
39000059,HC ELECTRONIC CROSSMATCH,253.00
39000061,HC UCSF RBCS IRR LR WASHED,629.00
39000062,HC PLATELETPHERESIS LR LOW CNT,939.00
39000063,HC PLATELETPHR DVD LR 1-50ML,321.00
39000064,HC UCSF PLATELETPHERES LR LOW CNT,1038.00
39000065,HC UCSFPLATELETPH DVD IRR LR 1-50,377.00
39000066,HC RH PHENOTYPING,130.00
39000067,HC RBCS NON LR BCP,377.00
39000068,HC UCSF PLATELETPHR DVD LR 1-50ML,315.00
39000069,HC PLATELETPHR DVD LR 51-99ML,383.00
