Charge Description,Charge Amount
SCR LCK EXTMLCK 3.5X16  ,"2,357.00"
SCR LCK EXTMLCK 3.5X18  ,"2,357.00"
SCREW LCK DBLD 3.5X22MM ,"2,357.00"
SCREW XTRMFX LCK 3.5X28 ,"2,357.00"
SCREW XTRMFX LCK 3.5X20 ,"2,357.00"
SCREW LCK XTRMLC 2.7X20 ,"2,357.00"
SCREW LCK XTRMLC 2.7X14 ,"2,357.00"
SCR LCK XTRMLC FT 2.7X30,"2,357.00"
SCR LCK XTRMLC FT 2.7X24,"2,357.00"
SCR LCK XTRMLC FT 2.7X22,"2,357.00"
SCR LCK XTRMLOC 2.7X12MM,"2,357.00"
SCR LCK XTRMLOC 2.7X18  ,"2,357.00"
SCR LCK XTRMLOC 2.7X30  ,"2,357.00"
ANCHOR SUT 2 MINI CRKSCR,"2,357.00"
SCR NLCKG HX 3.5X4.75X30,"2,358.00"
SCR NLCKG HEX 4.75X20MM ,"2,358.00"
PLATE BN SPN 50X36MM MSH,"2,358.00"
DEVICE SUT PERCLS W/LNG ,"2,358.00"
BOLT NECK FIXATION 41MM ,"2,358.00"
SCREW TI 18MM 2.4MM S/T ,"2,359.00"
PLATE OTHGN RT ANG 0.75 ,"2,362.00"
PLATE 4.5mm90deg 8H-30MM,"2,363.50"
SCREW BNE SS L140MM OD12,"2,367.00"
SCREW LAG HIP 80X12.7MM ,"2,367.00"
PROSTHESIS INDWLLNG VOIC,"2,372.00"
SCREW LCK 3DI 3.5X55MM  ,"2,374.00"
SCREW LCK 3DI 3.5X50MM  ,"2,374.00"
SCREW BN LCK 3.5X36MM   ,"2,374.00"
SCREW BN 3.5MM 22MM ORTH,"2,374.00"
SCREW CORT LCK 3.5X22   ,"2,374.00"
SCREW CORT LCK 3.5X18   ,"2,374.00"
PLATE UPFC MLBL 2X2HL 3D,"2,374.00"
HP MAG INSRT 52-60      ,"2,380.00"
INS FEM M2A-MAG 52-60TPR,"2,380.00"
GRAFT BN CANC 1-8MM CHP ,"2,380.00"
SCREW CANN CNCL 7.3X95MM,"2,382.00"
SET CBL SLV 2.0X750     ,"2,382.00"
SCREW CONICAL 7.3 80MM  ,"2,382.00"
SCREW CONICAL 7.3 85MM  ,"2,382.00"
SCREW CONICAL PT 7.3 CAN,"2,382.00"
SCREW 22MM SLFTAP SLIMLO,"2,385.00"
PLATE TI DCP 2.0 8HOLE  ,"2,389.00"
SYSTEM BNCMNT VAC MX    ,"2,390.00"
PLT MDFC 8HL T-SHP      ,"2,393.00"
PLATE MDFC ORBT 6HL .6MM,"2,393.00"
PLATE MDFC 7 HL 2 Y LCK ,"2,395.00"
SCREW 4.0X15 SLF TAP    ,"2,396.00"
SCREW CORT LCK 5.5X55   ,"2,397.00"
SCRW 5.5 34MM NON LOCK  ,"2,397.00"
SCRW 5.5X36MM LOCK CANC ,"2,397.00"
SCREW BN CMPR PLT 3.5X14,"2,397.00"
SCREW CMPRN PLT 3.5X16MM,"2,397.00"
SCREW BN 59214560 ANK 3 ,"2,397.00"
CARRIER SEED 22MM       ,"2,397.00"
PLATE TT ADAPTION 2.0 X ,"2,397.00"
FULLY THREADED INTERLOCK,"2,397.00"
THREADED SCREW 4.5MMX52.,"2,397.00"
THREADED SCREW 4.5MMX50M,"2,397.00"
FULLY THREADED SCREW 4.5,"2,397.00"
FULLY THRD INTERLOCK SCR,"2,397.00"
PIN FX CMPR TRNSV 48MM O,"2,398.00"
GRAFT DURAGEN 1PK 1X3   ,"2,404.00"
PLATE 2.0 LC DCP 6H 39  ,"2,405.00"
PLATE OTHGN RT ANG .75MM,"2,407.00"
CABLE DLMLS HIP SS 2MM  ,"2,407.00"
CABLE SLV DLMLS HIP 2.0 ,"2,407.00"
SCREW BN CANN 5X115MM   ,"2,407.00"
ANCH SUT AR-1934BF      ,"2,407.00"
DEVICE DUETT VASCULAR SE,"2,407.00"
SCREW INTFR RGNSB 30MM 8,"2,407.00"
SCREW REGENESORB 9X30MM ,"2,407.00"
SCREW BIOSUR 10X30MM    ,"2,407.00"
SCREW INTFR SLD 20MM 6MM,"2,407.00"
PATCH CV THK.15-.25MM 5X,"2,410.00"
CAPSURE PERMNNT FIXATION,"2,411.00"
SCREW BN 3.5MM RDC      ,"2,413.00"
SCREW BN HIP 14.3X100MM ,"2,413.00"
SCREW LAG RCHD 95MM     ,"2,413.00"
SCREW LAG CHS 75MM      ,"2,413.00"
SCREW BN HIP 14.3X80MM  ,"2,413.00"
SCREW BN HIP 14.3X90MM  ,"2,413.00"
SCREW SET BRKOF G5 4.75 ,"2,414.00"
PLATE MXLFCL CRV 3X2HL  ,"2,414.00"
SCREW BN CANN 7X120X50  ,"2,415.00"
SCREW BN CANN 7X60X32   ,"2,415.00"
SCREW BN CANN 7X70X32   ,"2,415.00"
SCREW BN CANN 7X75X32   ,"2,415.00"
SCREW CANN 7MM X 32MM   ,"2,415.00"
SCREW CANNULATED 7MM X 8,"2,415.00"
SCRW BN 7MM X 32MM X 65M,"2,415.00"
SCREW BN CANN 7X90X32   ,"2,415.00"
SCREW 7MM X 95MM 32MM   ,"2,415.00"
SCREW BN CANN 7X100X32  ,"2,415.00"
SCREW BN CANN 7X105X32  ,"2,415.00"
SCREW 7MM X 110MM 32MM  ,"2,415.00"
SCREW BN CANN 7X115X32  ,"2,415.00"
SCREW BN CANN 7X120X32  ,"2,415.00"
MESH PROLENE 330943 107 ,"2,416.00"
PROS PLATEY 2.4 3H      ,"2,422.00"
BOLT INSRTN F/TI CNULA T,"2,423.00"
BRNG HUM E1 STD 44-41MM ,"2,424.00"
SCREW CANN FT SS 6.5X75 ,"2,424.00"
SCREW CANN FT SS 6.5X70 ,"2,424.00"
SCREW CANN FT SS 6.5X65 ,"2,424.00"
GRAFT CV HMSH PLTM 15X12,"2,425.00"
SCREW BN SS L105MM OD7.3,"2,427.00"
LEAD PCNG ADPTR IMPL15CM,"2,429.00"
GRAFT HEMASIELD 12MX15CM,"2,429.00"
GRAFT HEMASHIELD 16MMX15,"2,429.00"
SCREW HEX LOBE 14MM BONE,"2,433.00"
PRSTHSS VCE 10MM 16FR BL,"2,437.00"
PRSTHSS VCE 6MM 16FR BLM,"2,437.00"
PRSTHSS VCE 16MM 16FR BL,"2,437.00"
PROSTH VC 20FR 16MM CLAS,"2,437.00"
PROSTH VC 20FR 18MM CLAS,"2,437.00"
PROSTH VC 20FR 20MM CLAS,"2,437.00"
PRSTHSS VCE 6MM 20FR BLM,"2,437.00"
PRSTHSS VCE 8MM 20FR BLM,"2,437.00"
PRSTHSS VCE 10MM 20FR BL,"2,437.00"
PRSTHSS VCE 16MM 20FR BL,"2,437.00"
PROS VC 20FR 14MM BLOM-S,"2,437.00"
CLIP ANRSM MINI 3.5MM OP,"2,438.00"
SCR CANN THRD 7X16X30MM ,"2,439.00"
SCR CANN THRD 7X16X45MM ,"2,439.00"
SCREW CANN THRD 7X50X16 ,"2,439.00"
SCREW CANN THRD 7X55X16 ,"2,439.00"
SCREW CANN THRD 7X60X16 ,"2,439.00"
SCREW CANN THRD 7X65X16 ,"2,439.00"
SCREW CANN THRD 7X70X16 ,"2,439.00"
SCREW CANN THRD 7X75X16 ,"2,439.00"
SCREW CANN THRD 7X80X16 ,"2,439.00"
SCREW CANN THRD 7X85X16 ,"2,439.00"
SCREW CANN THRD 7X90X16 ,"2,439.00"
SCREW CANN THRD 7X95X16 ,"2,439.00"
SCREW CANN THRD 7X100X16,"2,439.00"
SCREW CANN THRD 7X105X16,"2,439.00"
SCREW CANN THRD 7X110X16,"2,439.00"
SCREW CANN THRD 7X115X16,"2,439.00"
SCREW CANN THRD 7X120X16,"2,439.00"
CEMENT BN VRTBPL LVISC  ,"2,440.00"
NAIL 2.5MM 440MM IM ELAS,"2,440.00"
PIN FX SONIC RX 1.6X4MM ,"2,445.00"
MESH KUGL LG CRC 4.5X4.5,"2,445.00"
SCREW BNE HRBRT 3X28    ,"2,446.00"
PLATE 101MM 2.7/3.5MM   ,"2,447.00"
PLATE BRD 124MM SS 4.5MM,"2,449.00"
BUTTON ENDO FX PLY ACL  ,"2,451.00"
ROD TI 3.2X120MM        ,"2,452.00"
CABLE SPNL SS DBL W/INTE,"2,453.00"
ROD SPNL OD4 L120 TI    ,"2,453.00"
ROD SPNL 240 4 NXLNK TI ,"2,453.00"
PLATE LOCKING 21MM      ,"2,455.00"
ANCHOR SUT ORTH TK 3MM  ,"2,456.00"
SCREW SURFX 3.5X26      ,"2,456.00"
SCREW BN TI L65 4.5MM   ,"2,456.00"
PATCH CV 10X5CM ENCAP   ,"2,456.00"
PROS VC INDWL 20FR 8MM  ,"2,456.00"
PROS VC INDWL 20FR 10MM ,"2,456.00"
SCREW BN TI L60 4.5MM   ,"2,456.00"
SCREW CANN 6.7XL60      ,"2,456.00"
NAIL 2MM IM FLX WIN     ,"2,456.00"
PLATE 8-PLT 2HL 12MM PED,"2,456.00"
PARTICLES EMB 100-300MU ,"2,456.00"
PARTICLES EMB 500-700MU ,"2,456.00"
PARTICLES EMB 700-900MU ,"2,456.00"
PARTICLES EMB 900-1200MU,"2,456.00"
KIT ADV INDW 20FR 12MM  ,"2,456.00"
SCREW ARTRX AR-8945-36PT,"2,456.00"
SCREW CANN 6.7XL55      ,"2,456.00"
ANCHOR HTO IBAL CORT 32 ,"2,456.00"
GRAFT BN 2.5CC DBM      ,"2,456.00"
LOCKING PEG 5.0X70MM    ,"2,456.00"
SCREW SURFX 6.5X35      ,"2,457.00"
SCREW SURFX 6.5X40      ,"2,457.00"
RING 3/4 140 ID         ,"2,458.00"
SCREW BN SS L100MM OD7.3,"2,460.00"
SCREW BN SS L110MM OD7.3,"2,460.00"
SCREW BN 28.25.014      ,"2,462.00"
NAIL HUM SURG RAD F/TI  ,"2,463.00"
PLATE MDFC 4X6 HL LNG RT,"2,464.00"
SCREW CONICAL 7.3 CANN 7,"2,464.00"
SCREW CONICAL 7.3 CANN 8,"2,464.00"
PLATE RGD RT MDFC 2X2 HL,"2,464.00"
PLATE MDFC LRNZ 2X2 HL  ,"2,464.00"
SCREW CANN FULL THREAD 7,"2,465.00"
SCREW CANN 7MMX30MM FULL,"2,465.00"
SCREW BN 7MMX35MM       ,"2,465.00"
SCRW BN CANN 7MM X 40MM ,"2,465.00"
SCRW BN CANN 7MM X 45MM ,"2,465.00"
SCRW BN CANN 7MM X 50MM ,"2,465.00"
SCRW BN CANN 7MM X 55MM ,"2,465.00"
SCRW BN CANN 7MMX60MM   ,"2,465.00"
SCRW BN CANN 7MM X 65MM ,"2,465.00"
SCRW BN CANN 7MM X 70MM ,"2,465.00"
SCRW BN CANN 7MM X 80MM ,"2,465.00"
SCREW CANN 7MM X 90MM   ,"2,465.00"
SCRW BN CANN 7MM X 100MM,"2,465.00"
SCREW BN CANN 7X110 FT  ,"2,465.00"
SCRW BN CANN 7MM X 105MM,"2,465.00"
SCREW BN CANN 7X115 FT  ,"2,465.00"
SCREW BN CANN 7X120 FT  ,"2,465.00"
PLATE 4.5MM90DEG 8H-40MM,"2,466.50"
MESH THIN PROCEED 2X4   ,"2,468.00"
DHS)/DCS) ONE-STEP LAG S,"2,468.00"
SCREW STRTCT SHORT      ,"2,468.00"
SCREW CANN 6.5X55       ,"2,469.00"
MAMMARY PROS 350-3270   ,"2,473.00"
SCR BN 2.7MM 18MM       ,"2,473.00"
IMPLANT BRST STY3K 560ML,"2,473.00"
IMPLANT BRST STY3K 500ML,"2,473.00"
SYS MNSCL REPAIR 12DG   ,"2,473.00"
SYS MNSCL REPAIR 0DG    ,"2,473.00"
SCREW CANN FT SS 8X95MM ,"2,476.00"
SCREW CANN FT SS 8X85MM ,"2,476.00"
CLIP ANRSM STD BYNT 7X11,"2,480.00"
SCREW BIOCORT AR-5025B22,"2,480.00"
SCREW LCK FT/ANK 4X36MM ,"2,481.00"
SCREW LCK FT/ANK 4X30MM ,"2,481.00"
CEMENT BN CBLT MED VSC  ,"2,481.00"
SCREW LCK 3.5X14MM      ,"2,481.00"
LINER BIPOLAR 22M 40/41 ,"2,481.00"
PLATE CONNECTION 175MM T,"2,481.00"
PIN FXTN THREADED       ,"2,481.00"
SLEEVE LOCKING 130 DE/P ,"2,481.00"
SCREW BN L60MM OD5MM LOK,"2,482.00"
GRAFT BN DBM ALGRFT 1ML ,"2,483.00"
SCREW 7.3X35 CANN LCK   ,"2,484.00"
SCREW CANN LCK 7.3X75   ,"2,484.00"
SCREW LOCKING 7.3 CANN 8,"2,484.00"
SCREW BNE SS L45M LCP   ,"2,484.00"
COMPNT ARTCSRF KN 623684,"2,484.00"
PTCH CV 04X3X6          ,"2,486.00"
SCREW BONE NAIL LAG 110M,"2,487.00"
PLATE 169MM SS 3.5MM SCR,"2,487.00"
SLEEVE 2.0 CABLE        ,"2,487.00"
PLATE MDFC 7H LSHP 0.6MM,"2,490.00"
PLATE MDFC 7HL STR 1MM  ,"2,490.00"
PLATE 1MM 1.5MM TI MDFC ,"2,490.00"
CEMENT BN SIMPLX 9-010  ,"2,492.00"
SLEEVE CNTRNG 21MM CPS H,"2,493.00"
GRAFT VAS 30MM15CM HEMAS,"2,494.00"
SCRW BN 25MM 6.5MM TI   ,"2,495.00"
ANCH SUT PDS PRLC PNC   ,"2,495.00"
PLATE LCP 3.5MM 223.551 ,"2,497.00"
STRAIGHT 5MMX40CMX40CM  ,"2,498.00"
NUT LOCK SPNL TI ST SCR ,"2,499.00"
IMPLANT                 ,"2,500.00"
PACEMAKER               ,"2,500.00"
PLATE BN 1.0MM 4-HOLE   ,"2,501.00"
ANCH SUT TWNFX 2 6.5MM  ,"2,503.00"
ANCH SUT 3 TWNFX 5.5MM  ,"2,503.00"
NAIL IM ELASTIC 475.925 ,"2,503.00"
SCREW CNCL VA 4.0       ,"2,504.00"
SCREW BN 4X16 ATLNTS TI ,"2,504.00"
SCREW 4.0X14 CANC FA    ,"2,504.00"
SCREW BN 4X13 ATLNTS TI ,"2,504.00"
PLT CMPR MED 8HL 2MM    ,"2,505.00"
WEIGHT EYELID AU 1X1G   ,"2,505.00"
SCREW CANNULATED 6.5 32 ,"2,508.00"
CMPNT PTLR FNDTN 9X38MM ,"2,509.00"
CMPNT PTLA POLY 8X29MM  ,"2,509.00"
COMPNENT PTLA 40MM 3PEG ,"2,509.00"
COMPNENT PTLA THN 28X6.2,"2,509.00"
COMPNT PTLR 3PEG 25MM   ,"2,509.00"
SCREW CONICAL 7.3 CANN 5,"2,511.00"
SCREW CONICAL 7.3 CANN 7,"2,511.00"
SCREW CONICAL PT 7.3 CAN,"2,511.00"
SCREW CONICAL 7.3 CANN 6,"2,511.00"
SCREW CONICAL 7.3 50MM  ,"2,511.00"
SCREW CONICAL 7.6 60MM  ,"2,511.00"
SCREW CONICAL 7.3 65MM  ,"2,511.00"
SCREW CONICAL 7.3 70MM  ,"2,511.00"
COIL EMBL AZUR P35 4X4  ,"2,515.00"
PLATE T CMPR NAR T 10H  ,"2,515.00"
SCREW BN FT/ANK 5MMX80  ,"2,515.00"
PROS PLATE2.0 6H 36     ,"2,515.00"
WASHER BOLT FIXATION 4MM,"2,515.00"
GFT VSC SWL 7X40        ,"2,516.00"
PLATE T 1.5 4 HOLE HEAD ,"2,520.00"
T PLATE 3X4 HOLE 5MM    ,"2,522.00"
SCREW BN 6MM 80MM PHNX R,"2,523.00"
SCREW BN 6MM 65MM PHNX P,"2,523.00"
SCREW BNE TI L54MM OD5MM,"2,524.00"
SCREW BNE TI L62MM OD5MM,"2,524.00"
SCREW BNE TI L28MM OD5MM,"2,524.00"
PLATE MXLFCL 8HL        ,"2,524.00"
PLT TBL 4 HOLE 1/4 2.7MM,"2,526.00"
PLATE 4.5 LC DCP NAR    ,"2,529.00"
PLATE 2.0 TI CRVD BRDPLT,"2,529.00"
SCREW MF TT X           ,"2,530.00"
PLATE CUSHED 6H MAX ORBI,"2,530.00"
LOCKING PEG 4.0X25MM    ,"2,535.00"
LOCKING PEG 5.0X35MM    ,"2,535.00"
LOCKING PEG 5.0X50MM    ,"2,535.00"
COUPLER ANSTM GM 3.0MM  ,"2,538.00"
COUPLER ANSTM GM 3.5MM  ,"2,538.00"
COUPLER ANSTM GM 2.5MM  ,"2,538.00"
COUPLER MIC GM 2 1.5MM  ,"2,538.00"
NAIL 1.5MM FLEX ROUND TI,"2,538.00"
NAIL 4.0MM FLEX ROUND TI,"2,538.00"
MTL HEAD 36MM UPC ACCS  ,"2,538.00"
PLATE T 3 HOLE          ,"2,538.00"
CVR BUR HLE 17 MTRX     ,"2,539.00"
CLIP ANRSM TEMP FT261T  ,"2,540.00"
CLIP ANRSM PERM FT603T  ,"2,540.00"
CLIP ANRSM STD 9.6 OPN 1,"2,540.00"
CLIP ANRSM PERM FT622T  ,"2,540.00"
CLIP ANRSM PERM FT682T  ,"2,540.00"
CLIP ANRSM PERM FT694T  ,"2,540.00"
CLIP ANRSM PERM FT711T  ,"2,540.00"
CLIP ANRSM PERM FT712T  ,"2,540.00"
CLIP ANRSM PERM FT754T  ,"2,540.00"
CLIP ANRSM PERM FT759T  ,"2,540.00"
CLIP ANRSM PERM FT770T  ,"2,540.00"
CLIP ANRSM PERM FT771T  ,"2,540.00"
CLIP ANRSM PERM FT784T  ,"2,540.00"
CLIP ANRSM PERM FT790D  ,"2,540.00"
CLIP ANRSM PERM FT792D  ,"2,540.00"
CLIP ANRSM PERM FT806T  ,"2,540.00"
CLIP ANRSM PERM FT810T  ,"2,540.00"
CLIP ANRSM PERM FT824T  ,"2,540.00"
CLIP ANRSM STD 6.2 OPN 1,"2,540.00"
CLIP ANRSM PERM FT830T  ,"2,540.00"
CLIP ANRSM PERM FT832T  ,"2,540.00"
CLIP ANRSM PERM FT833T  ,"2,540.00"
PREBENT PLT 6 HOLE STRT ,"2,545.00"
PREBNT PLT 6 HOLE STRT R,"2,545.00"
PLATE 6HLE 2.0MMXW41MM  ,"2,548.00"
SLEEVE LOCKING TI STAND ,"2,549.00"
SCREW SPNE MTNR 4.5X16MM,"2,550.00"
SCREW SPN PYR 4.0X14    ,"2,550.00"
SCREW SPN RFLX 4X18MM   ,"2,550.00"
PLATE CERVICAL VERTEBRAL,"2,550.00"
SCRW BN 4.2 14 TRNC TI A,"2,550.00"
SCREW BN 4.6MM 16MM     ,"2,550.00"
PLATE MXLFCL 1.5MM 4X2HL,"2,551.00"
ANCH SUT DBLPLAY NDL 5MM,"2,554.00"
ANCH SUT AR-1925BF      ,"2,554.00"
SCREW INFAST ULTRA SWVL ,"2,554.00"
SCREW BIOSR RGN 7X20MM  ,"2,554.00"
SCREW INTRF RGNSRB 7X25 ,"2,554.00"
SCREW REGENESORB 9X20MM ,"2,554.00"
SCREW BIOSURE RGNSRB 10X,"2,554.00"
SCREW BIOSURE INTRF RGNS,"2,554.00"
SCREW BIOSURE 9X25MM    ,"2,554.00"
PLATE HAND PRFL 57-15321,"2,554.00"
SCRW INTFR RGNSORB 25MM ,"2,554.00"
PLATE LOCK MINI 6H NAR 2,"2,557.00"
PLATE Y 8HL 3LF 1.5TI   ,"2,558.00"
STAPLE ANT IS 1 HOLE 16X,"2,564.00"
SCREW 7X23 ABS MLGRO    ,"2,564.00"
PLATE 12MM ADV MDFC 6 HL,"2,566.00"
COIL EMBL AZUR P18 6X4  ,"2,567.00"
COIL EMBL AZUR P18 6X5  ,"2,567.00"
COIL EMBL AZUR P18 6X6  ,"2,567.00"
SLEEVE CTR CMPRS 18MM   ,"2,567.00"
PLATE T 2.4 2 HOLE HEAD ,"2,572.00"
SCREW BN SS 7X85X32MM   ,"2,575.00"
SCREW BN SS 7X90X32MM   ,"2,575.00"
PLATE 84MM SS LG FRAG ST,"2,578.00"
SCREW BN TI ALOY 19X2MM ,"2,579.00"
PLATE Y MDFC 1X3HL 0.4MM,"2,584.00"
DEV FX TGHTRP ATCH IMPL ,"2,584.00"
SCR BN TIB 18MM KTLYST  ,"2,584.00"
PLATE 10X5X.5 CRNMXF 4 H,"2,584.00"
PLATE STD MED .7 4 HL X ,"2,584.00"
PLATE BN BX 7MM DENTAL  ,"2,584.00"
PLATE MDFC 1X3HL .5MM   ,"2,584.00"
PLATE 10X5X.4MM 4 HL    ,"2,584.00"
PLATE STD MIC .4MMX4 HL ,"2,584.00"
PLATE BN MATRIXMIDFACE H,"2,584.00"
PLATE Y .7 MDFC TI      ,"2,584.00"
SHT TIB 30X9 BIO INTRFX ,"2,584.00"
SCREW BNE TI L2.5IN BIPH,"2,584.00"
PLATE CLVRLF 88X15      ,"2,586.00"
SCREW CSPN VAR ANG4.5X16,"2,588.00"
SCREW LCKNG 2.7X22MM    ,"2,593.00"
SCREW LOCKNG 2.7MMX14MM ,"2,593.00"
SCREW LCKNG 2.7X24MM    ,"2,593.00"
SCREW BN 2.7MM 10MM TI 4,"2,593.00"
SCREW 2.7MM LCK 12MM    ,"2,593.00"
SCREW CANC XPN HD TI L16,"2,595.00"
SCREW BN 3.5X15 ZPHR TI ,"2,595.00"
GFT VSC SHUNT PED 4X10  ,"2,597.00"
ENDCAP SPNL 14MM VBOSS S,"2,598.00"
ENDCAP SPN VBOSS 12MM 5D,"2,598.00"
ENDCAP SPN VBOSS 12MM LG,"2,598.00"
CAP 33661200SR          ,"2,598.00"
SCREW BN 2.3MM 12MM NLCK,"2,599.00"
SCREW BN 127050         ,"2,600.00"
NAIL INTRAMEDULLARY STAI,"2,600.00"
CAP END SURG NL SS 20MM ,"2,604.00"
BIO-SURETAK/ TGTL       ,"2,604.00"
COMPNT PTLA 3PST LG 37MM,"2,605.00"
CMPNT PTLA POST SM 31MM ,"2,605.00"
SCREW CANN HRBRT 4.5X35 ,"2,605.00"
SCREW CANN HRBRT 4.5X30 ,"2,605.00"
SCREW 10MMX700 BIOABS AC,"2,606.00"
SCREW TNODSIS CMPR 8X12 ,"2,606.00"
PLATE 195MM SS 3.5MM SCR,"2,608.00"
SCREW CRTX XPN 4.0X14   ,"2,608.00"
CLIP ANRSM PERM 4.9X7.5 ,"2,610.00"
CLIP ANRSM TEMP 6.5X9MM ,"2,610.00"
CLIP ANRSM STD 6.5 OPN 7,"2,610.00"
CLIP ANRSM STD 4.5 OPN 7,"2,610.00"
CLIP ANRSM PERM FT604T  ,"2,610.00"
CLIP ANRSM PERM FT638T  ,"2,610.00"
CLIP ANRSM PERM FT758T  ,"2,610.00"
CLIP ANRSM PERM FT763T  ,"2,610.00"
CLIP ANRSM PERM FT806T  ,"2,610.00"
CLIP ANRSM TEMP FT242T  ,"2,610.00"
CLIP ANRSM TEMP T252T   ,"2,610.00"
CLIP ANRSM PERM FT752T  ,"2,610.00"
CLIP ANRSM STD 5.6 OPN 5,"2,610.00"
CLIP ANRSM PERM FT850T  ,"2,610.00"
SCREW BN 5MM 57.5MM T2 T,"2,612.00"
PLATE T-BUTTRESS 80MM   ,"2,613.00"
SCREW CANN LCK 7.3X80   ,"2,613.00"
PLATE BN ANG MNDB16HL   ,"2,614.00"
MSH GEN DL 10X15X1      ,"2,615.00"
ANCHOR SUT TWNFX 4.5MM  ,"2,616.00"
CMPNT BSHING POLY KN    ,"2,617.00"
SCREW BN 2.5MM 24MM CPTR,"2,618.00"
COVER BUR HL .3MM 15MM T,"2,620.00"
PLATE H CRNFCL 11HL .5MM,"2,621.00"
PLATE 10X10X.5MM 4 HL   ,"2,621.00"
PLATE BN TI OD.8 L OBLG ,"2,621.00"
CLIP ANRSM PERM FT851T  ,"2,621.00"
PLATE 10X10X.4MM 4 HL FR,"2,621.00"
PLT H.8 RT MDFC 2X3 HL L,"2,621.00"
PLATE .5 2X3 04.503.324 ,"2,621.00"
PLATE CRNMXF 2X3HL .5MM ,"2,621.00"
PLATE MIDFACE 8MM       ,"2,621.00"
PLATE TMRX-MDFC 11HL.5MM,"2,621.00"
ANCHR SUT 12D RPDLOC    ,"2,623.00"
PLATE CNDYLR 7HL 36RT   ,"2,625.00"
PLATE STRT MD 8H        ,"2,628.00"
ROD 3.5 X 120MM         ,"2,629.00"
SCREW BN LCKNG 2.7X28MM ,"2,630.00"
SCR BN MDFT LCK 2.7X20  ,"2,630.00"
SCR BN MDFT LCK 2.7X16  ,"2,630.00"
ROD XIA SPNE 6X110      ,"2,631.00"
ROD SPN TI XIA 70MM     ,"2,631.00"
PLATE BN TI LFRT MDFC FL,"2,633.00"
OASIS WND MTRX 1SQCM 210,"2,633.00"
SCREW BONE E.R. 1.2X14  ,"2,633.00"
PROSTH DRNHFR HAPX MLBL ,"2,634.00"
SYR CLGN IMPL 2.5CC     ,"2,635.00"
COVER BURR HL .3X12MM   ,"2,635.00"
SCREW BN 2.4MM 2MM      ,"2,637.00"
SCREW HDLS CMP LO 3X28  ,"2,637.00"
SCREW BN 3MM 27MM       ,"2,637.00"
SCREW 7.3 CAN FULL THRED,"2,640.00"
SCREW BNE L80MM OD7.3MM ,"2,640.00"
SCREW BNE L85MM OD7.3MM ,"2,640.00"
SCREW BNE L75MM OD7.3MM ,"2,640.00"
SCREW BNE L95MM OD7.3MM ,"2,640.00"
SCREW BONE CANNULATED 7.,"2,640.00"
NAIL 3.5MM FLEX ROUND TI,"2,640.00"
NAIL 4.5MM FLEX ROUND TI,"2,640.00"
SCREW BN 7.3MM 75MM 32MM,"2,640.00"
SCREW BNE L90MM OD7.3MM ,"2,640.00"
PLATE LEFT 8MM MXLFCL 7 ,"2,641.00"
PLATE MIDFC 10 HOLE L-SH,"2,641.00"
PLATE MDFC 7HL Y .8 THK ,"2,641.00"
PLATE MDFC 10HL L SHP0.8,"2,641.00"
PLT SM MDFC INS 7HL LVL1,"2,641.00"
SCREW TCP GEN2 2.7X16MM ,"2,643.00"
SCREW TCP GEN2 2.7X20MM ,"2,643.00"
SCR BN 2.7MM 12MM LCK   ,"2,643.00"
SCRW TCP GEN2 2.7X10MM  ,"2,643.00"
ANCH SUT SHRT RCUF THRDR,"2,643.00"
PLATE TI STR 2.4 12HL   ,"2,644.00"
CMNT BN PLC R STRL 40GM ,"2,647.00"
TISSUE PELVICOL 2x20cm A,"2,647.00"
ROD SPNL STR 5.5X500MM  ,"2,649.00"
ROD SPN CHR ALOY 5.5MM  ,"2,649.00"
ROD 5.5 CCM NS STRHT 500,"2,649.00"
NAIL IM ELASTIC 475.930 ,"2,650.00"
GFT VSC SWL 8X40        ,"2,650.00"
MESH HRN PARIETX 15X9CM ,"2,651.00"
PLT MXLFCL STR MED 8 HL ,"2,653.00"
SCREW ACTB TI 5.1X40MM T,"2,655.00"
SCREW BN 6.5MM 55MM SS O,"2,656.00"
SCREW CANN 6.5X70X32MM  ,"2,656.00"
SCREW CANN 6.5X80X32MM  ,"2,656.00"
PLATE BN LGHTGR 14X14X.3,"2,657.00"
PLATE X-PLATE MTRX-NEUR ,"2,657.00"
PORT IMPL INFN 8FR PWR  ,"2,657.00"
SCREW 3.2X28 PRFL TWNFX ,"2,657.00"
GFT VSC SHUNT PED 3.5X10,"2,663.00"
MESH PRLN INGUINAL HRN  ,"2,668.00"
PLATE CONDYLAR 2.4MM LFT,"2,669.00"
CLIP RESLTN 360 HEMOSTAS,"2,671.00"
KIT PIN TRMIT DRL 2X100 ,"2,672.00"
SCREW AS3 CANN 61-1095S ,"2,672.00"
PLATE BN SPN 55-65MM TI ,"2,672.00"
SCREW LOCKING 7.3 CANN 6,"2,672.00"
PLATE BN SPN 50-70MM TI ,"2,672.00"
SCREW LOCKING 7.3 CANN 9,"2,672.00"
S HOOK RIGHT            ,"2,672.00"
S HOOK LEFT             ,"2,672.00"
SCREW RECON LCK 80X4.5MM,"2,675.00"
PLATE MDFC 24H 1MM STR  ,"2,675.00"
SM T-PLATE 3 HL HEAD/   ,"2,676.00"
PLATE BRD 142MM SS 4.5MM,"2,676.00"
PLATE BRD 160MM SS 4.5MM,"2,676.00"
